# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -5.2815 -3.7274 -2.3548 -2.1843 -2.0370 0.3000 0.4886
2.0000 -3.5177 -2.8767 -2.1546 -1.9548 -1.7482 0.3000 0.5921
3.0000 -3.2018 -2.6827 -2.2312 -1.9554 -1.6890 0.3000 0.6417
4.0000 -3.1924 -2.6781 -2.2218 -1.9582 -1.6798 0.3000 0.6391
5.0000 -3.1925 -2.6835 -2.1753 -1.9653 -1.6604 0.3000 0.6242
6.0000 -3.1930 -2.6998 -2.0704 -1.9807 -1.6719 0.3000 0.5916
7.0000 -3.1933 -2.7215 -1.9956 -1.9562 -1.6877 0.3000 0.5580
8.0000 -3.1928 -2.7401 -2.0039 -1.8854 -1.7007 0.3000 0.5364
9.0000 -3.1924 -2.7531 -2.0078 -1.8408 -1.7092 0.3000 0.5246
10.0000 -3.1923 -2.7605 -2.0085 -1.8117 -1.7136 0.3000 0.5191
11.0000 -3.1923 -2.7670 -2.0076 -1.7827 -1.7170 0.3000 0.5150
12.0000 -3.1923 -2.7736 -2.0059 -1.7510 -1.7201 0.3000 0.5115
13.0000 -3.1923 -2.7804 -2.0035 -1.7234 -1.7156 0.3000 0.5081
14.0000 -3.1923 -2.7902 -1.9994 -1.7275 -1.6619 0.3000 0.5034
15.0000 -3.1923 -2.7998 -1.9949 -1.7314 -1.6062 0.3000 0.4989
16.0000 -3.1923 -2.8073 -1.9921 -1.7348 -1.5606 0.3000 0.4954
17.0000 -3.1923 -2.8137 -1.9900 -1.7378 -1.5393 0.3000 0.4924
18.0000 -3.1924 -2.8180 -1.9886 -1.7398 -1.5429 0.3000 0.4903
19.0000 -3.1924 -2.8233 -1.9867 -1.7424 -1.5475 0.3000 0.4875
20.0000 -3.1924 -2.8268 -1.9852 -1.7441 -1.5509 0.3000 0.4855
21.0000 -3.1924 -2.8308 -1.9838 -1.7458 -1.5548 0.3000 0.4832
22.0000 -3.1924 -2.8343 -1.9828 -1.7475 -1.5585 0.3000 0.4809
23.0000 -3.1923 -2.8359 -1.9823 -1.7483 -1.5605 0.3000 0.4796
24.0000 -3.1923 -2.8377 -1.9819 -1.7492 -1.5626 0.3000 0.4782
25.0000 -3.1923 -2.8398 -1.9813 -1.7501 -1.5648 0.3000 0.4766
26.0000 -3.1923 -2.8410 -1.9807 -1.7505 -1.5664 0.3000 0.4754
27.0000 -3.1923 -2.8421 -1.9797 -1.7508 -1.5682 0.3000 0.4738
28.0000 -3.1923 -2.8425 -1.9789 -1.7510 -1.5694 0.3000 0.4727
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.31325
# penalization: 3.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
