# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -11.6776 -9.8449 -9.7495 -8.5631 -8.4658 0.3000 4.0021
2.0000 -11.2762 -9.4635 -9.4456 -8.2212 -8.1857 0.3000 4.0646
3.0000 -11.1097 -9.3976 -9.1693 -8.2135 -8.1459 0.3000 4.1097
4.0000 -10.8055 -9.3397 -9.1123 -8.1751 -8.1526 0.3000 4.1392
5.0000 -9.5076 -8.9959 -8.6637 -7.9927 -7.9101 0.3000 4.2979
6.0000 -8.7267 -8.6744 -7.8021 -7.6979 -7.5575 0.3000 4.5000
7.0000 -8.7023 -8.5976 -7.7786 -7.7166 -7.5958 0.3000 4.4998
8.0000 -8.5098 -8.4542 -7.6822 -7.6002 -7.0871 0.3000 4.6680
9.0000 -8.4082 -7.7153 -7.5288 -7.4129 -7.1735 0.3000 4.6457
10.0000 -8.1622 -7.6762 -7.4049 -7.3209 -7.1300 0.3000 4.7835
11.0000 -7.9987 -7.5549 -7.4893 -7.2995 -7.0804 0.3000 4.6453
12.0000 -7.7928 -7.4384 -7.3652 -7.1484 -7.0211 0.3000 4.5309
13.0000 -7.6669 -7.3543 -7.2842 -7.0648 -6.9602 0.3000 4.4363
14.0000 -7.6581 -7.3496 -7.2641 -7.0565 -7.0059 0.3000 4.4290
15.0000 -7.6210 -7.3364 -7.2413 -7.0326 -6.9452 0.3000 4.3920
16.0000 -7.5516 -7.4292 -7.0609 -7.0162 -7.0018 0.3000 4.3152
17.0000 -7.4560 -7.3495 -6.9894 -6.9536 -6.9327 0.3000 4.2721
18.0000 -7.3395 -7.2365 -7.1378 -6.9579 -6.8034 0.3000 4.2594
19.0000 -7.0551 -6.9697 -6.8733 -6.8209 -6.7369 0.3000 4.2187
20.0000 -7.0603 -6.8286 -6.6822 -6.5414 -6.4764 0.3000 4.1085
21.0000 -7.0228 -6.7277 -6.5905 -6.5154 -6.4932 0.3000 4.1412
22.0000 -6.9919 -6.7071 -6.5795 -6.5622 -6.4837 0.3000 4.1395
23.0000 -6.9275 -6.6817 -6.5334 -6.5168 -6.4508 0.3000 4.0816
24.0000 -6.8652 -6.6385 -6.5187 -6.4781 -6.4044 0.2999 4.1378
25.0000 -6.7593 -6.6061 -6.4914 -6.4432 -6.3771 0.2999 4.1340
26.0000 -6.7416 -6.6461 -6.4623 -6.4215 -6.3763 0.2993 4.1656
27.0000 -6.6981 -6.5557 -6.4642 -6.4383 -6.3814 0.2994 4.1515
28.0000 -6.6550 -6.5058 -6.5022 -6.3987 -6.3775 0.2995 4.0806
29.0000 -6.6550 -6.5058 -6.5022 -6.3987 -6.3775 0.2995 4.0806
30.0000 -6.6550 -6.5058 -6.5022 -6.3987 -6.3775 0.2995 4.0806
31.0000 -6.6550 -6.5058 -6.5022 -6.3987 -6.3775 0.2995 4.0806
32.0000 -6.5964 -6.5373 -6.4931 -6.3966 -6.3429 0.2994 3.9676
33.0000 -6.5650 -6.5131 -6.4591 -6.3764 -6.3595 0.2993 4.0103
34.0000 -6.5269 -6.4746 -6.4005 -6.3591 -6.3019 0.2991 3.9404
35.0000 -6.5269 -6.4746 -6.4005 -6.3591 -6.3019 0.2991 3.9404
36.0000 -6.5269 -6.4746 -6.4005 -6.3591 -6.3019 0.2991 3.9404
37.0000 -6.5269 -6.4746 -6.4005 -6.3591 -6.3019 0.2991 3.9404
38.0000 -6.5269 -6.4746 -6.4005 -6.3591 -6.3019 0.2991 3.9404
39.0000 -6.5269 -6.4746 -6.4005 -6.3591 -6.3019 0.2991 3.9404
40.0000 -6.5269 -6.4746 -6.4005 -6.3591 -6.3019 0.2991 3.9404
41.0000 -6.5269 -6.4746 -6.4005 -6.3591 -6.3019 0.2991 3.9404
42.0000 -6.5269 -6.4746 -6.4005 -6.3591 -6.3019 0.2991 3.9404
43.0000 -6.5269 -6.4746 -6.4005 -6.3591 -6.3019 0.2991 3.9404
44.0000 -6.5269 -6.4746 -6.4005 -6.3591 -6.3019 0.2991 3.9404
45.0000 -6.5269 -6.4746 -6.4005 -6.3591 -6.3019 0.2991 3.9404
46.0000 -6.5269 -6.4746 -6.4005 -6.3591 -6.3019 0.2991 3.9404
47.0000 -6.5269 -6.4746 -6.4005 -6.3591 -6.3019 0.2991 3.9404
48.0000 -6.5269 -6.4746 -6.4005 -6.3591 -6.3019 0.2991 3.9404
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.18795
# penalization: 3.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 0.2, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
