# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.2011 -0.2011 -0.1928 -0.1927 -0.1853 0.4000 22.4719
2.0000 -0.1462 -0.1461 -0.1391 -0.1389 -0.1327 0.4000 17.8651
3.0000 -0.1138 -0.1119 -0.1113 -0.1036 -0.1031 0.4000 14.7679
4.0000 -0.1045 -0.0989 -0.0954 -0.0949 -0.0946 0.4000 11.5587
5.0000 -0.1020 -0.0978 -0.0872 -0.0838 -0.0819 0.4000 9.0945
6.0000 -0.0993 -0.0965 -0.0815 -0.0811 -0.0774 0.4000 7.7783
7.0000 -0.0975 -0.0947 -0.0810 -0.0795 -0.0734 0.4000 7.0181
8.0000 -0.0961 -0.0931 -0.0803 -0.0779 -0.0716 0.4000 6.5055
9.0000 -0.0949 -0.0916 -0.0794 -0.0763 -0.0703 0.4000 6.1770
10.0000 -0.0936 -0.0900 -0.0783 -0.0744 -0.0689 0.4000 5.9131
11.0000 -0.0924 -0.0882 -0.0770 -0.0725 -0.0676 0.4000 5.7079
12.0000 -0.0912 -0.0861 -0.0756 -0.0705 -0.0661 0.4000 5.5139
13.0000 -0.0901 -0.0840 -0.0744 -0.0687 -0.0648 0.4000 5.3454
14.0000 -0.0891 -0.0819 -0.0731 -0.0668 -0.0632 0.4000 5.1826
15.0000 -0.0883 -0.0804 -0.0719 -0.0654 -0.0620 0.4000 5.0546
16.0000 -0.0876 -0.0789 -0.0706 -0.0641 -0.0606 0.4000 4.9291
17.0000 -0.0868 -0.0775 -0.0695 -0.0630 -0.0593 0.4000 4.8112
18.0000 -0.0863 -0.0766 -0.0687 -0.0622 -0.0583 0.4000 4.7292
19.0000 -0.0856 -0.0754 -0.0675 -0.0612 -0.0571 0.4000 4.6215
20.0000 -0.0851 -0.0746 -0.0666 -0.0604 -0.0561 0.4000 4.5468
21.0000 -0.0844 -0.0736 -0.0656 -0.0594 -0.0550 0.4000 4.4559
22.0000 -0.0839 -0.0729 -0.0649 -0.0589 -0.0543 0.4000 4.3974
23.0000 -0.0834 -0.0721 -0.0641 -0.0581 -0.0534 0.4000 4.3237
24.0000 -0.0830 -0.0716 -0.0635 -0.0575 -0.0529 0.4000 4.2709
25.0000 -0.0826 -0.0711 -0.0630 -0.0571 -0.0524 0.4000 4.2287
26.0000 -0.0821 -0.0703 -0.0622 -0.0564 -0.0517 0.4000 4.1622
27.0000 -0.0817 -0.0698 -0.0617 -0.0559 -0.0512 0.4000 4.1169
28.0000 -0.0814 -0.0694 -0.0613 -0.0556 -0.0508 0.4000 4.0879
29.0000 -0.0809 -0.0686 -0.0607 -0.0551 -0.0503 0.4000 4.0391
30.0000 -0.0805 -0.0680 -0.0602 -0.0546 -0.0498 0.4000 3.9971
31.0000 -0.0802 -0.0676 -0.0599 -0.0543 -0.0494 0.4000 3.9669
32.0000 -0.0800 -0.0673 -0.0596 -0.0540 -0.0492 0.4000 3.9451
33.0000 -0.0798 -0.0670 -0.0593 -0.0537 -0.0489 0.4000 3.9266
34.0000 -0.0794 -0.0666 -0.0589 -0.0533 -0.0485 0.4000 3.8925
35.0000 -0.0791 -0.0662 -0.0586 -0.0530 -0.0482 0.4000 3.8665
36.0000 -0.0789 -0.0658 -0.0583 -0.0528 -0.0479 0.4000 3.8434
37.0000 -0.0787 -0.0654 -0.0580 -0.0525 -0.0477 0.4000 3.8225
38.0000 -0.0785 -0.0650 -0.0578 -0.0523 -0.0475 0.4000 3.8023
39.0000 -0.0784 -0.0648 -0.0576 -0.0522 -0.0473 0.4000 3.7882
40.0000 -0.0782 -0.0645 -0.0574 -0.0520 -0.0471 0.4000 3.7739
41.0000 -0.0780 -0.0643 -0.0572 -0.0518 -0.0469 0.4000 3.7581
42.0000 -0.0779 -0.0641 -0.0570 -0.0516 -0.0467 0.4000 3.7444
43.0000 -0.0778 -0.0639 -0.0569 -0.0515 -0.0466 0.4000 3.7318
44.0000 -0.0776 -0.0636 -0.0566 -0.0512 -0.0464 0.4000 3.7111
45.0000 -0.0774 -0.0634 -0.0564 -0.0510 -0.0462 0.4000 3.6943
# OPTIMIZATION PARAMETERS 
# nelx: 50
# nely: 50
# max buckling: 0.0
# penalization: 4.0
# initial densities: 0.4
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([2549, 2651, 2753], dtype=int64)}
# bc: Left Clamped
# 
