# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.0561 -0.0508 -0.0494 -0.0482 -0.0464 0.4000 4.7930
2.0000 -0.0529 -0.0517 -0.0494 -0.0492 -0.0475 0.4000 4.8037
3.0000 -0.0524 -0.0516 -0.0502 -0.0492 -0.0472 0.4000 4.7827
4.0000 -0.0520 -0.0511 -0.0509 -0.0501 -0.0468 0.4000 4.6997
5.0000 -0.0519 -0.0514 -0.0512 -0.0500 -0.0471 0.4000 4.6746
6.0000 -0.0519 -0.0516 -0.0514 -0.0497 -0.0474 0.4000 4.6448
7.0000 -0.0523 -0.0518 -0.0508 -0.0489 -0.0468 0.4000 4.4797
8.0000 -0.0516 -0.0513 -0.0501 -0.0482 -0.0461 0.4000 4.4559
9.0000 -0.0516 -0.0512 -0.0500 -0.0483 -0.0459 0.4000 4.4183
10.0000 -0.0516 -0.0512 -0.0498 -0.0483 -0.0458 0.4000 4.3681
11.0000 -0.0516 -0.0512 -0.0497 -0.0483 -0.0457 0.4000 4.3283
12.0000 -0.0516 -0.0512 -0.0496 -0.0482 -0.0456 0.4000 4.3023
13.0000 -0.0516 -0.0512 -0.0495 -0.0481 -0.0455 0.4000 4.2643
14.0000 -0.0516 -0.0511 -0.0494 -0.0478 -0.0455 0.4000 4.2258
15.0000 -0.0516 -0.0511 -0.0492 -0.0476 -0.0455 0.4000 4.1941
16.0000 -0.0516 -0.0511 -0.0491 -0.0474 -0.0454 0.4000 4.1697
17.0000 -0.0516 -0.0511 -0.0490 -0.0473 -0.0454 0.4000 4.1477
18.0000 -0.0516 -0.0510 -0.0489 -0.0473 -0.0454 0.4000 4.1297
19.0000 -0.0516 -0.0510 -0.0488 -0.0472 -0.0455 0.4000 4.0930
20.0000 -0.0516 -0.0510 -0.0486 -0.0472 -0.0456 0.4000 4.0685
21.0000 -0.0516 -0.0510 -0.0485 -0.0472 -0.0456 0.4000 4.0489
22.0000 -0.0516 -0.0510 -0.0484 -0.0472 -0.0457 0.4000 4.0247
23.0000 -0.0516 -0.0510 -0.0483 -0.0472 -0.0457 0.4000 4.0081
24.0000 -0.0516 -0.0509 -0.0482 -0.0472 -0.0458 0.4000 3.9897
# OPTIMIZATION PARAMETERS 
# nelx: 50
# nely: 50
# max buckling: 19.38
# penalization: 4.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([2549, 2651, 2753], dtype=int64)}
# bc: Left Clamped
# 
