# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.4706 -0.4701 -0.4051 -0.4011 -0.3573 0.4000 48.0949
2.0000 -0.3311 -0.3263 -0.2789 -0.2731 -0.2450 0.4000 33.0468
3.0000 -0.2365 -0.2172 -0.2099 -0.2010 -0.1877 0.4000 26.0419
4.0000 -0.2113 -0.2079 -0.2001 -0.1937 -0.1914 0.4000 20.4168
5.0000 -0.2912 -0.2905 -0.2639 -0.2621 -0.2363 0.4000 12.8588
6.0000 -0.2145 -0.2025 -0.1574 -0.1413 -0.1261 0.4000 7.5097
7.0000 -0.2042 -0.1821 -0.1331 -0.1167 -0.1046 0.4000 6.7618
8.0000 -0.1971 -0.1692 -0.1211 -0.1076 -0.0979 0.4000 6.3748
9.0000 -0.1914 -0.1603 -0.1137 -0.1028 -0.0927 0.4000 6.1242
10.0000 -0.1859 -0.1527 -0.1077 -0.0983 -0.0882 0.4000 5.9052
11.0000 -0.1812 -0.1466 -0.1032 -0.0941 -0.0848 0.4000 5.7225
12.0000 -0.1768 -0.1415 -0.0994 -0.0906 -0.0822 0.4000 5.5722
13.0000 -0.1734 -0.1380 -0.0969 -0.0880 -0.0805 0.4000 5.4648
14.0000 -0.1706 -0.1348 -0.0948 -0.0863 -0.0793 0.4000 5.3665
15.0000 -0.1673 -0.1317 -0.0926 -0.0845 -0.0781 0.4000 5.2652
16.0000 -0.1652 -0.1296 -0.0912 -0.0833 -0.0774 0.4000 5.2024
17.0000 -0.1623 -0.1270 -0.0895 -0.0817 -0.0765 0.4000 5.1182
18.0000 -0.1599 -0.1250 -0.0882 -0.0807 -0.0758 0.4000 5.0554
19.0000 -0.1579 -0.1234 -0.0871 -0.0801 -0.0752 0.4000 4.9965
20.0000 -0.1564 -0.1222 -0.0862 -0.0797 -0.0747 0.4000 4.9514
21.0000 -0.1552 -0.1212 -0.0856 -0.0793 -0.0744 0.4000 4.9132
22.0000 -0.1539 -0.1200 -0.0850 -0.0789 -0.0740 0.4000 4.8739
23.0000 -0.1521 -0.1186 -0.0842 -0.0784 -0.0734 0.4000 4.8238
24.0000 -0.1504 -0.1174 -0.0834 -0.0780 -0.0729 0.4000 4.7814
25.0000 -0.1493 -0.1166 -0.0829 -0.0778 -0.0725 0.4000 4.7509
26.0000 -0.1483 -0.1160 -0.0824 -0.0777 -0.0722 0.4000 4.7252
27.0000 -0.1475 -0.1154 -0.0821 -0.0776 -0.0720 0.4000 4.7047
28.0000 -0.1462 -0.1144 -0.0816 -0.0774 -0.0716 0.4000 4.6710
29.0000 -0.1449 -0.1134 -0.0811 -0.0772 -0.0712 0.4000 4.6381
30.0000 -0.1442 -0.1129 -0.0808 -0.0771 -0.0709 0.4000 4.6205
31.0000 -0.1428 -0.1119 -0.0803 -0.0769 -0.0705 0.4000 4.5874
32.0000 -0.1419 -0.1113 -0.0799 -0.0768 -0.0703 0.4000 4.5676
33.0000 -0.1403 -0.1104 -0.0794 -0.0765 -0.0700 0.4000 4.5371
34.0000 -0.1397 -0.1100 -0.0791 -0.0764 -0.0698 0.4000 4.5243
35.0000 -0.1385 -0.1092 -0.0787 -0.0761 -0.0696 0.4000 4.5034
36.0000 -0.1381 -0.1089 -0.0786 -0.0760 -0.0695 0.4000 4.4933
37.0000 -0.1372 -0.1080 -0.0783 -0.0758 -0.0691 0.4000 4.4682
38.0000 -0.1367 -0.1075 -0.0782 -0.0756 -0.0689 0.4000 4.4546
39.0000 -0.1359 -0.1069 -0.0781 -0.0754 -0.0686 0.4000 4.4345
40.0000 -0.1349 -0.1060 -0.0779 -0.0750 -0.0682 0.4000 4.4098
41.0000 -0.1344 -0.1056 -0.0779 -0.0749 -0.0680 0.4000 4.3985
# OPTIMIZATION PARAMETERS 
# nelx: 50
# nely: 50
# max buckling: 0.0
# penalization: 6.0
# initial densities: 0.4
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 2000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([2549, 2651, 2753], dtype=int64)}
# bc: Left Clamped
# 
