# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.0921 -0.0672 -0.0557 -0.0476 -0.0409 0.4000 1.4307
2.0000 -0.0692 -0.0536 -0.0451 -0.0396 -0.0356 0.4000 1.3074
3.0000 -0.0580 -0.0463 -0.0398 -0.0355 -0.0322 0.4000 1.2448
4.0000 -0.0559 -0.0445 -0.0383 -0.0344 -0.0313 0.4000 1.2299
5.0000 -0.0546 -0.0433 -0.0371 -0.0333 -0.0304 0.4000 1.2176
6.0000 -0.0517 -0.0405 -0.0345 -0.0307 -0.0283 0.4000 1.1892
7.0000 -0.0508 -0.0393 -0.0334 -0.0296 -0.0273 0.4000 1.1766
8.0000 -0.0501 -0.0384 -0.0324 -0.0287 -0.0263 0.4000 1.1643
9.0000 -0.0497 -0.0378 -0.0317 -0.0279 -0.0254 0.4000 1.1533
10.0000 -0.0490 -0.0367 -0.0305 -0.0265 -0.0238 0.4000 1.1322
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.0
# penalization: 1.0
# initial densities: 0.4
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
