# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.0686 -0.0679 -0.0663 -0.0638 -0.0618 0.4000 4.2126
2.0000 -0.0651 -0.0586 -0.0569 -0.0568 -0.0525 0.4000 3.8150
3.0000 -0.0638 -0.0557 -0.0475 -0.0459 -0.0454 0.4000 3.0793
4.0000 -0.0633 -0.0548 -0.0463 -0.0440 -0.0425 0.4000 2.7417
5.0000 -0.0627 -0.0541 -0.0454 -0.0425 -0.0401 0.4000 2.4783
6.0000 -0.0619 -0.0537 -0.0446 -0.0413 -0.0380 0.4000 2.2614
7.0000 -0.0611 -0.0533 -0.0439 -0.0401 -0.0361 0.4000 2.0673
8.0000 -0.0600 -0.0528 -0.0431 -0.0389 -0.0343 0.4000 1.8854
9.0000 -0.0587 -0.0520 -0.0421 -0.0375 -0.0327 0.4000 1.7281
10.0000 -0.0573 -0.0511 -0.0413 -0.0363 -0.0315 0.4000 1.6144
11.0000 -0.0563 -0.0503 -0.0406 -0.0355 -0.0307 0.4000 1.5427
12.0000 -0.0555 -0.0496 -0.0402 -0.0349 -0.0302 0.4000 1.5004
13.0000 -0.0546 -0.0489 -0.0398 -0.0343 -0.0297 0.4000 1.4680
14.0000 -0.0537 -0.0482 -0.0394 -0.0338 -0.0293 0.4000 1.4417
15.0000 -0.0525 -0.0471 -0.0389 -0.0331 -0.0287 0.4000 1.4058
16.0000 -0.0515 -0.0462 -0.0385 -0.0325 -0.0283 0.4000 1.3803
17.0000 -0.0505 -0.0452 -0.0380 -0.0319 -0.0278 0.4000 1.3561
18.0000 -0.0498 -0.0445 -0.0376 -0.0314 -0.0274 0.4000 1.3361
19.0000 -0.0493 -0.0441 -0.0374 -0.0310 -0.0271 0.4000 1.3197
20.0000 -0.0488 -0.0437 -0.0371 -0.0307 -0.0269 0.4000 1.3049
21.0000 -0.0485 -0.0435 -0.0369 -0.0306 -0.0267 0.4000 1.2962
22.0000 -0.0478 -0.0432 -0.0365 -0.0302 -0.0264 0.4000 1.2785
23.0000 -0.0472 -0.0429 -0.0361 -0.0299 -0.0261 0.4000 1.2623
24.0000 -0.0469 -0.0426 -0.0359 -0.0297 -0.0259 0.4000 1.2514
25.0000 -0.0465 -0.0424 -0.0356 -0.0295 -0.0257 0.4000 1.2402
26.0000 -0.0461 -0.0422 -0.0353 -0.0293 -0.0255 0.4000 1.2298
27.0000 -0.0460 -0.0422 -0.0352 -0.0293 -0.0255 0.4000 1.2268
28.0000 -0.0457 -0.0420 -0.0350 -0.0291 -0.0253 0.4000 1.2183
29.0000 -0.0455 -0.0419 -0.0348 -0.0290 -0.0252 0.4000 1.2121
30.0000 -0.0452 -0.0418 -0.0346 -0.0290 -0.0252 0.4000 1.2036
31.0000 -0.0450 -0.0417 -0.0344 -0.0289 -0.0251 0.4000 1.1976
32.0000 -0.0447 -0.0416 -0.0341 -0.0288 -0.0250 0.4000 1.1891
33.0000 -0.0445 -0.0415 -0.0339 -0.0287 -0.0249 0.4000 1.1811
34.0000 -0.0444 -0.0414 -0.0337 -0.0287 -0.0249 0.4000 1.1756
35.0000 -0.0443 -0.0413 -0.0336 -0.0287 -0.0248 0.4000 1.1715
36.0000 -0.0442 -0.0413 -0.0335 -0.0286 -0.0248 0.4000 1.1691
37.0000 -0.0441 -0.0413 -0.0334 -0.0286 -0.0248 0.4000 1.1674
38.0000 -0.0441 -0.0412 -0.0334 -0.0286 -0.0248 0.4000 1.1649
39.0000 -0.0440 -0.0412 -0.0333 -0.0286 -0.0248 0.4000 1.1623
40.0000 -0.0439 -0.0411 -0.0332 -0.0286 -0.0248 0.4000 1.1596
41.0000 -0.0439 -0.0411 -0.0331 -0.0285 -0.0247 0.4000 1.1569
42.0000 -0.0438 -0.0410 -0.0330 -0.0285 -0.0247 0.4000 1.1526
43.0000 -0.0437 -0.0409 -0.0329 -0.0285 -0.0247 0.4000 1.1498
44.0000 -0.0437 -0.0409 -0.0328 -0.0285 -0.0247 0.4000 1.1472
45.0000 -0.0436 -0.0408 -0.0327 -0.0284 -0.0247 0.4000 1.1443
46.0000 -0.0436 -0.0408 -0.0326 -0.0284 -0.0247 0.4000 1.1414
47.0000 -0.0435 -0.0407 -0.0325 -0.0284 -0.0246 0.4000 1.1389
48.0000 -0.0435 -0.0407 -0.0324 -0.0284 -0.0246 0.4000 1.1364
49.0000 -0.0434 -0.0406 -0.0324 -0.0284 -0.0246 0.4000 1.1341
50.0000 -0.0434 -0.0406 -0.0323 -0.0284 -0.0246 0.4000 1.1327
51.0000 -0.0434 -0.0405 -0.0323 -0.0284 -0.0246 0.4000 1.1306
52.0000 -0.0433 -0.0405 -0.0322 -0.0283 -0.0246 0.4000 1.1292
53.0000 -0.0433 -0.0405 -0.0322 -0.0283 -0.0246 0.4000 1.1281
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.0
# penalization: 3.0
# initial densities: [0.5012 0.6335 0.5197 ... 0.3301 0.3095 0.3537]
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
