# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.1465 -0.1043 -0.0877 -0.0804 -0.0759 0.4000 5.4922
2.0000 -0.1065 -0.0821 -0.0748 -0.0715 -0.0693 0.4000 5.1906
3.0000 -0.0744 -0.0644 -0.0631 -0.0618 -0.0600 0.4000 4.8383
4.0000 -0.0578 -0.0559 -0.0557 -0.0528 -0.0521 0.4000 4.5535
5.0000 -0.0559 -0.0522 -0.0521 -0.0496 -0.0490 0.4000 4.4286
6.0000 -0.0538 -0.0460 -0.0459 -0.0440 -0.0437 0.4000 4.2099
7.0000 -0.0530 -0.0428 -0.0425 -0.0421 -0.0411 0.4000 4.0888
8.0000 -0.0522 -0.0408 -0.0404 -0.0389 -0.0377 0.4000 3.9442
9.0000 -0.0517 -0.0400 -0.0400 -0.0379 -0.0361 0.4000 3.8636
10.0000 -0.0512 -0.0400 -0.0395 -0.0377 -0.0355 0.4000 3.8137
11.0000 -0.0506 -0.0401 -0.0389 -0.0376 -0.0352 0.4000 3.7643
12.0000 -0.0501 -0.0404 -0.0384 -0.0377 -0.0351 0.4000 3.7124
13.0000 -0.0496 -0.0409 -0.0380 -0.0379 -0.0353 0.4000 3.6565
14.0000 -0.0492 -0.0413 -0.0383 -0.0375 -0.0355 0.4000 3.6176
15.0000 -0.0490 -0.0416 -0.0385 -0.0373 -0.0356 0.4000 3.5949
16.0000 -0.0487 -0.0420 -0.0388 -0.0370 -0.0358 0.4000 3.5679
17.0000 -0.0484 -0.0426 -0.0392 -0.0368 -0.0361 0.4000 3.5432
18.0000 -0.0481 -0.0433 -0.0398 -0.0365 -0.0364 0.4000 3.5151
19.0000 -0.0477 -0.0441 -0.0404 -0.0370 -0.0361 0.4000 3.4894
20.0000 -0.0475 -0.0445 -0.0407 -0.0373 -0.0360 0.4000 3.4791
21.0000 -0.0473 -0.0449 -0.0410 -0.0375 -0.0358 0.4000 3.4684
22.0000 -0.0471 -0.0453 -0.0413 -0.0377 -0.0356 0.4000 3.4567
23.0000 -0.0468 -0.0457 -0.0417 -0.0380 -0.0354 0.4000 3.4441
# OPTIMIZATION PARAMETERS 
# nelx: 50
# nely: 50
# max buckling: 0.0
# penalization: 1.484
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([2549, 2651, 2753], dtype=int64)}
# bc: Left Clamped
# 
