# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.2296 -0.2197 -0.2128 -0.2058 -0.2008 0.5000 21.9086
2.0000 -0.1420 -0.1419 -0.1395 -0.1394 -0.1368 0.5000 16.2268
3.0000 -0.1137 -0.1137 -0.1120 -0.1119 -0.1104 0.5000 12.6899
4.0000 -0.1089 -0.1089 -0.1065 -0.1053 -0.1040 0.5000 11.4274
5.0000 -0.1081 -0.1053 -0.1045 -0.1038 -0.0975 0.5000 10.7276
6.0000 -0.1121 -0.1066 -0.1004 -0.1001 -0.0922 0.5000 10.2167
7.0000 -0.1168 -0.1088 -0.0970 -0.0964 -0.0910 0.5000 9.8303
8.0000 -0.1214 -0.1108 -0.0941 -0.0933 -0.0905 0.5000 9.4468
9.0000 -0.1242 -0.1120 -0.0936 -0.0923 -0.0901 0.5000 9.1584
10.0000 -0.1258 -0.1124 -0.0939 -0.0924 -0.0902 0.5000 8.9063
11.0000 -0.1265 -0.1122 -0.0944 -0.0934 -0.0907 0.5000 8.6879
12.0000 -0.1263 -0.1115 -0.0958 -0.0949 -0.0910 0.5000 8.5001
13.0000 -0.1257 -0.1105 -0.0983 -0.0974 -0.0907 0.5000 8.3087
14.0000 -0.1249 -0.1093 -0.1014 -0.1007 -0.0901 0.5000 8.1356
15.0000 -0.1236 -0.1081 -0.1047 -0.1038 -0.0894 0.5000 7.9843
16.0000 -0.1222 -0.1089 -0.1078 -0.1048 -0.0902 0.5000 7.8425
17.0000 -0.1210 -0.1114 -0.1103 -0.1037 -0.0920 0.5000 7.7203
18.0000 -0.1200 -0.1136 -0.1123 -0.1025 -0.0938 0.5000 7.6126
19.0000 -0.1191 -0.1156 -0.1141 -0.1013 -0.0957 0.5000 7.4959
20.0000 -0.1183 -0.1172 -0.1151 -0.1003 -0.0972 0.5000 7.3849
21.0000 -0.1184 -0.1179 -0.1152 -0.1001 -0.0978 0.5000 7.3109
22.0000 -0.1190 -0.1184 -0.1149 -0.1000 -0.0979 0.5000 7.2428
23.0000 -0.1205 -0.1193 -0.1143 -0.0998 -0.0979 0.5000 7.1566
24.0000 -0.1229 -0.1210 -0.1134 -0.0994 -0.0976 0.5000 7.0649
25.0000 -0.1253 -0.1228 -0.1130 -0.0988 -0.0975 0.5000 6.9978
26.0000 -0.1278 -0.1250 -0.1127 -0.0982 -0.0974 0.5000 6.9361
27.0000 -0.1303 -0.1272 -0.1123 -0.0978 -0.0974 0.5000 6.8768
28.0000 -0.1324 -0.1291 -0.1118 -0.0979 -0.0970 0.5000 6.8191
29.0000 -0.1344 -0.1309 -0.1111 -0.0983 -0.0964 0.5000 6.7521
30.0000 -0.1357 -0.1320 -0.1104 -0.0987 -0.0959 0.5000 6.6987
31.0000 -0.1368 -0.1329 -0.1098 -0.0990 -0.0956 0.5000 6.6509
32.0000 -0.1375 -0.1335 -0.1092 -0.0994 -0.0953 0.5000 6.6073
33.0000 -0.1381 -0.1340 -0.1085 -0.0997 -0.0949 0.5000 6.5643
34.0000 -0.1384 -0.1341 -0.1080 -0.1000 -0.0948 0.5000 6.5325
35.0000 -0.1386 -0.1342 -0.1076 -0.1002 -0.0946 0.5000 6.5015
36.0000 -0.1386 -0.1341 -0.1072 -0.1004 -0.0945 0.5000 6.4735
37.0000 -0.1386 -0.1339 -0.1067 -0.1006 -0.0943 0.5000 6.4467
38.0000 -0.1384 -0.1334 -0.1061 -0.1006 -0.0942 0.5000 6.4195
39.0000 -0.1380 -0.1328 -0.1055 -0.1007 -0.0940 0.5000 6.3935
40.0000 -0.1374 -0.1320 -0.1047 -0.1007 -0.0938 0.5000 6.3672
41.0000 -0.1369 -0.1312 -0.1041 -0.1007 -0.0936 0.5000 6.3449
42.0000 -0.1363 -0.1304 -0.1035 -0.1006 -0.0935 0.5000 6.3250
43.0000 -0.1358 -0.1295 -0.1030 -0.1005 -0.0934 0.5000 6.3075
44.0000 -0.1352 -0.1287 -0.1027 -0.1004 -0.0935 0.5000 6.2897
45.0000 -0.1346 -0.1279 -0.1025 -0.1000 -0.0936 0.5000 6.2749
46.0000 -0.1340 -0.1270 -0.1024 -0.0995 -0.0937 0.5000 6.2595
47.0000 -0.1333 -0.1264 -0.1024 -0.0990 -0.0938 0.5000 6.2467
48.0000 -0.1327 -0.1257 -0.1024 -0.0985 -0.0940 0.5000 6.2337
49.0000 -0.1320 -0.1251 -0.1024 -0.0979 -0.0942 0.5000 6.2201
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.0
# penalization: 3.0
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([3659, 3781], dtype=int64)}
# bc: Left Clamped
# 
