# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.2654 -0.2597 -0.2424 -0.2080 -0.1958 0.4000 51.4513
2.0000 -0.1994 -0.1830 -0.1744 -0.1726 -0.1598 0.4000 42.1239
3.0000 -0.1673 -0.1656 -0.1586 -0.1561 -0.1526 0.4000 32.8761
4.0000 -0.1411 -0.1336 -0.1280 -0.1200 -0.1189 0.4000 27.4712
5.0000 -0.1252 -0.1233 -0.1179 -0.1150 -0.1139 0.4000 23.3342
6.0000 -0.1211 -0.1132 -0.1117 -0.1042 -0.0999 0.4000 19.3516
7.0000 -0.1182 -0.1176 -0.1105 -0.1052 -0.1026 0.4000 15.2425
8.0000 -0.1211 -0.1160 -0.1138 -0.1119 -0.1091 0.4000 12.1008
9.0000 -0.1276 -0.1258 -0.1210 -0.1185 -0.1120 0.4000 11.0355
10.0000 -0.1268 -0.1248 -0.1216 -0.1197 -0.1142 0.4000 9.9604
11.0000 -0.1234 -0.1227 -0.1222 -0.1189 -0.1167 0.4000 9.3436
12.0000 -0.1265 -0.1256 -0.1215 -0.1171 -0.1140 0.4000 8.8471
13.0000 -0.1353 -0.1228 -0.1191 -0.1135 -0.1110 0.4000 8.3130
14.0000 -0.1242 -0.1228 -0.1167 -0.1124 -0.1098 0.4000 8.0121
15.0000 -0.1338 -0.1317 -0.1202 -0.1167 -0.1134 0.4000 7.6440
16.0000 -0.1393 -0.1367 -0.1256 -0.1159 -0.1097 0.4000 7.3151
17.0000 -0.1268 -0.1199 -0.1109 -0.1108 -0.1045 0.4000 7.0570
18.0000 -0.1240 -0.1183 -0.1126 -0.1102 -0.1061 0.4000 6.8593
19.0000 -0.1229 -0.1196 -0.1176 -0.1107 -0.1042 0.4000 6.7389
20.0000 -0.1275 -0.1224 -0.1200 -0.1075 -0.1024 0.4000 6.5852
21.0000 -0.1352 -0.1251 -0.1200 -0.1101 -0.1087 0.4000 6.4185
22.0000 -0.1249 -0.1212 -0.1163 -0.1077 -0.1037 0.4000 6.3562
23.0000 -0.1307 -0.1228 -0.1173 -0.1104 -0.1031 0.4000 6.1608
24.0000 -0.1260 -0.1198 -0.1181 -0.1072 -0.1064 0.4000 6.0886
25.0000 -0.1221 -0.1197 -0.1163 -0.1055 -0.1043 0.4000 6.0613
26.0000 -0.1239 -0.1232 -0.1126 -0.1104 -0.1029 0.4000 5.9309
27.0000 -0.1246 -0.1203 -0.1164 -0.1043 -0.1028 0.4000 5.7903
28.0000 -0.1239 -0.1164 -0.1098 -0.1049 -0.1002 0.4000 5.6820
29.0000 -0.1202 -0.1178 -0.1124 -0.1056 -0.0969 0.4000 5.5432
30.0000 -0.1191 -0.1176 -0.1068 -0.0985 -0.0964 0.4000 5.4014
31.0000 -0.1149 -0.1084 -0.0992 -0.0922 -0.0850 0.4000 5.2080
32.0000 -0.1089 -0.0959 -0.0899 -0.0825 -0.0814 0.4000 5.0634
33.0000 -0.0983 -0.0875 -0.0800 -0.0772 -0.0691 0.4000 4.9304
34.0000 -0.0928 -0.0858 -0.0756 -0.0722 -0.0628 0.4000 4.8648
35.0000 -0.0875 -0.0827 -0.0709 -0.0631 -0.0560 0.4000 4.7781
36.0000 -0.0857 -0.0801 -0.0664 -0.0566 -0.0551 0.4000 4.7177
37.0000 -0.0848 -0.0783 -0.0617 -0.0551 -0.0522 0.4000 4.6596
38.0000 -0.0843 -0.0775 -0.0595 -0.0550 -0.0507 0.4000 4.6259
