# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.0784 -0.0765 -0.0673 -0.0642 -0.0566 0.4000 5.2609
2.0000 -0.0761 -0.0675 -0.0616 -0.0590 -0.0557 0.4000 5.9199
3.0000 -0.0775 -0.0568 -0.0516 -0.0476 -0.0465 0.4000 6.0306
4.0000 -0.0552 -0.0531 -0.0516 -0.0509 -0.0461 0.4000 7.1560
5.0000 -0.0619 -0.0528 -0.0498 -0.0465 -0.0452 0.4000 7.1013
6.0000 -0.0538 -0.0486 -0.0473 -0.0463 -0.0453 0.4000 7.0028
7.0000 -0.0519 -0.0470 -0.0458 -0.0455 -0.0445 0.4000 6.5882
8.0000 -0.0474 -0.0449 -0.0444 -0.0428 -0.0426 0.4000 7.0089
9.0000 -0.0466 -0.0459 -0.0438 -0.0435 -0.0422 0.4000 7.1569
10.0000 -0.0456 -0.0447 -0.0440 -0.0435 -0.0429 0.4000 7.3310
11.0000 -0.0454 -0.0445 -0.0439 -0.0436 -0.0429 0.4000 7.3455
12.0000 -0.0449 -0.0441 -0.0435 -0.0434 -0.0428 0.4000 7.3541
13.0000 -0.0442 -0.0437 -0.0435 -0.0431 -0.0429 0.4000 7.3689
14.0000 -0.0434 -0.0430 -0.0430 -0.0429 -0.0423 0.4000 7.3477
15.0000 -0.0426 -0.0425 -0.0423 -0.0423 -0.0423 0.4000 7.3268
16.0000 -0.0428 -0.0418 -0.0416 -0.0413 -0.0412 0.4000 7.2216
17.0000 -0.0429 -0.0416 -0.0410 -0.0407 -0.0406 0.4000 7.1621
18.0000 -0.0414 -0.0412 -0.0407 -0.0405 -0.0403 0.4000 7.1694
19.0000 -0.0409 -0.0408 -0.0407 -0.0407 -0.0404 0.4000 7.1608
20.0000 -0.0409 -0.0401 -0.0401 -0.0400 -0.0399 0.4000 7.1033
21.0000 -0.0407 -0.0403 -0.0400 -0.0399 -0.0397 0.4000 7.0782
22.0000 -0.0407 -0.0401 -0.0397 -0.0396 -0.0391 0.4000 6.9231
23.0000 -0.0399 -0.0398 -0.0394 -0.0392 -0.0390 0.4000 6.9110
24.0000 -0.0400 -0.0395 -0.0392 -0.0388 -0.0386 0.4000 6.8294
25.0000 -0.0391 -0.0389 -0.0387 -0.0387 -0.0385 0.4000 6.7821
26.0000 -0.0393 -0.0387 -0.0385 -0.0384 -0.0383 0.4000 6.7754
27.0000 -0.0388 -0.0385 -0.0382 -0.0381 -0.0381 0.4000 6.7545
28.0000 -0.0386 -0.0384 -0.0383 -0.0381 -0.0380 0.4000 6.7283
29.0000 -0.0385 -0.0383 -0.0382 -0.0380 -0.0380 0.4000 6.7054
30.0000 -0.0383 -0.0382 -0.0379 -0.0378 -0.0378 0.4000 6.6848
31.0000 -0.0382 -0.0380 -0.0379 -0.0378 -0.0378 0.4000 6.6690
32.0000 -0.0381 -0.0381 -0.0378 -0.0377 -0.0376 0.4000 6.6999
33.0000 -0.0381 -0.0379 -0.0377 -0.0376 -0.0375 0.4000 6.6911
34.0000 -0.0379 -0.0379 -0.0378 -0.0377 -0.0376 0.4000 6.6874
35.0000 -0.0379 -0.0378 -0.0378 -0.0377 -0.0376 0.4000 6.6886
36.0000 -0.0378 -0.0377 -0.0377 -0.0376 -0.0375 0.4000 6.6808
37.0000 -0.0377 -0.0376 -0.0376 -0.0375 -0.0373 0.4000 6.6545
38.0000 -0.0377 -0.0375 -0.0374 -0.0373 -0.0372 0.4000 6.6564
39.0000 -0.0377 -0.0375 -0.0374 -0.0373 -0.0373 0.4000 6.6880
40.0000 -0.0376 -0.0375 -0.0374 -0.0373 -0.0373 0.4000 6.6983
41.0000 -0.0375 -0.0375 -0.0375 -0.0373 -0.0373 0.4000 6.6950
42.0000 -0.0375 -0.0374 -0.0373 -0.0373 -0.0372 0.4000 6.6710
43.0000 -0.0375 -0.0373 -0.0372 -0.0372 -0.0371 0.4000 6.6346
44.0000 -0.0374 -0.0373 -0.0371 -0.0370 -0.0369 0.4000 6.5916
45.0000 -0.0374 -0.0370 -0.0369 -0.0368 -0.0367 0.4000 6.5314
46.0000 -0.0371 -0.0369 -0.0369 -0.0368 -0.0367 0.4000 6.5597
47.0000 -0.0370 -0.0369 -0.0369 -0.0368 -0.0367 0.4000 6.5951
48.0000 -0.0369 -0.0369 -0.0368 -0.0368 -0.0367 0.4000 6.6211
49.0000 -0.0369 -0.0369 -0.0368 -0.0368 -0.0367 0.4000 6.6417
50.0000 -0.0369 -0.0368 -0.0368 -0.0368 -0.0366 0.4000 6.6574
51.0000 -0.0368 -0.0368 -0.0368 -0.0367 -0.0366 0.4000 6.6612
52.0000 -0.0368 -0.0367 -0.0367 -0.0366 -0.0365 0.4000 6.6603
53.0000 -0.0367 -0.0366 -0.0366 -0.0365 -0.0364 0.4000 6.6494
54.0000 -0.0366 -0.0366 -0.0366 -0.0365 -0.0365 0.4000 6.6406
55.0000 -0.0366 -0.0366 -0.0366 -0.0365 -0.0364 0.4000 6.6249
56.0000 -0.0366 -0.0366 -0.0366 -0.0365 -0.0364 0.4000 6.6141
57.0000 -0.0366 -0.0365 -0.0365 -0.0364 -0.0364 0.4000 6.5650
58.0000 -0.0365 -0.0365 -0.0364 -0.0364 -0.0363 0.4000 6.4973
59.0000 -0.0365 -0.0364 -0.0363 -0.0362 -0.0362 0.4000 6.4429
60.0000 -0.0364 -0.0363 -0.0363 -0.0362 -0.0361 0.4000 6.4152
# OPTIMIZATION PARAMETERS 
# nelx: 50
# nely: 50
# max buckling: 27.655
# penalization: 6.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([2549, 2651, 2753], dtype=int64)}
# bc: Left Clamped
# 
