# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.0814 -0.0803 -0.0723 -0.0681 -0.0667 0.4000 5.7936
2.0000 -0.0814 -0.0731 -0.0705 -0.0666 -0.0638 0.4000 5.9494
3.0000 -0.0717 -0.0715 -0.0670 -0.0655 -0.0651 0.4000 6.6007
4.0000 -0.0712 -0.0691 -0.0673 -0.0616 -0.0596 0.4000 7.0922
5.0000 -0.0700 -0.0677 -0.0664 -0.0617 -0.0592 0.4000 7.2475
6.0000 -0.0691 -0.0664 -0.0656 -0.0618 -0.0598 0.4000 7.3810
7.0000 -0.0675 -0.0637 -0.0634 -0.0624 -0.0623 0.4000 7.5550
8.0000 -0.0671 -0.0631 -0.0628 -0.0621 -0.0619 0.4000 7.5889
9.0000 -0.0660 -0.0647 -0.0645 -0.0636 -0.0632 0.4000 7.6567
10.0000 -0.0652 -0.0640 -0.0638 -0.0634 -0.0633 0.4000 7.6387
11.0000 -0.0645 -0.0641 -0.0635 -0.0633 -0.0622 0.4000 7.5565
12.0000 -0.0640 -0.0635 -0.0632 -0.0626 -0.0618 0.4000 7.4941
13.0000 -0.0635 -0.0631 -0.0628 -0.0621 -0.0612 0.4000 7.3841
14.0000 -0.0626 -0.0619 -0.0614 -0.0600 -0.0594 0.4000 6.9936
15.0000 -0.0621 -0.0614 -0.0606 -0.0597 -0.0593 0.4000 6.9048
16.0000 -0.0618 -0.0613 -0.0604 -0.0596 -0.0588 0.4000 6.9308
17.0000 -0.0616 -0.0613 -0.0602 -0.0597 -0.0589 0.4000 6.9432
18.0000 -0.0614 -0.0612 -0.0601 -0.0599 -0.0588 0.4000 6.9488
19.0000 -0.0613 -0.0612 -0.0602 -0.0601 -0.0587 0.4000 6.9499
20.0000 -0.0611 -0.0611 -0.0604 -0.0602 -0.0587 0.4000 6.9482
21.0000 -0.0611 -0.0611 -0.0605 -0.0603 -0.0587 0.4000 6.9449
22.0000 -0.0610 -0.0610 -0.0604 -0.0603 -0.0588 0.4000 6.9401
23.0000 -0.0609 -0.0609 -0.0604 -0.0602 -0.0588 0.4000 6.9329
24.0000 -0.0609 -0.0608 -0.0601 -0.0599 -0.0585 0.4000 6.9216
25.0000 -0.0608 -0.0608 -0.0600 -0.0596 -0.0583 0.4000 6.9103
26.0000 -0.0607 -0.0607 -0.0601 -0.0595 -0.0582 0.4000 6.8970
27.0000 -0.0606 -0.0606 -0.0603 -0.0595 -0.0582 0.4000 6.8850
28.0000 -0.0606 -0.0606 -0.0604 -0.0594 -0.0581 0.4000 6.8703
# OPTIMIZATION PARAMETERS 
# nelx: 50
# nely: 50
# max buckling: 16.593
# penalization: 6.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 2000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([2549, 2651, 2753], dtype=int64)}
# bc: Left Clamped
# 
