# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -6.3609 -4.3584 -2.6669 -2.3001 -2.2525 0.3000 0.4702
2.0000 -5.4230 -3.9779 -2.4525 -2.1898 -2.1023 0.3000 0.4830
3.0000 -5.3219 -3.9352 -2.4280 -2.1629 -2.0863 0.3000 0.4838
4.0000 -5.3206 -3.9353 -2.4280 -2.1418 -2.0856 0.3000 0.4823
5.0000 -5.3207 -3.9391 -2.4297 -2.0844 -2.0646 0.3000 0.4771
6.0000 -5.3209 -3.9461 -2.4331 -2.0831 -1.9412 0.3000 0.4686
7.0000 -5.3207 -3.9512 -2.4359 -2.0822 -1.8830 0.3000 0.4628
8.0000 -5.3207 -3.9552 -2.4386 -2.0818 -1.8853 0.3000 0.4575
9.0000 -5.3206 -3.9575 -2.4399 -2.0816 -1.8868 0.3000 0.4531
10.0000 -5.3206 -3.9590 -2.4409 -2.0812 -1.8877 0.3000 0.4497
11.0000 -5.3206 -3.9594 -2.4414 -2.0805 -1.8880 0.3000 0.4469
12.0000 -5.3206 -3.9585 -2.4411 -2.0795 -1.8879 0.3000 0.4446
13.0000 -5.3206 -3.9567 -2.4405 -2.0784 -1.8874 0.3000 0.4429
14.0000 -5.3206 -3.9535 -2.4391 -2.0768 -1.8865 0.3000 0.4412
15.0000 -5.3206 -3.9489 -2.4370 -2.0748 -1.8855 0.3000 0.4394
16.0000 -5.3206 -3.9440 -2.4347 -2.0729 -1.8845 0.3000 0.4379
17.0000 -5.3206 -3.9387 -2.4322 -2.0708 -1.8835 0.3000 0.4367
18.0000 -5.3206 -3.9352 -2.4305 -2.0694 -1.8831 0.3000 0.4356
19.0000 -5.3206 -3.9305 -2.4281 -2.0677 -1.8828 0.3000 0.4341
20.0000 -5.3206 -3.9238 -2.4245 -2.0656 -1.8826 0.3000 0.4321
21.0000 -5.3206 -3.9181 -2.4215 -2.0639 -1.8823 0.3000 0.4305
22.0000 -5.3206 -3.9155 -2.4201 -2.0633 -1.8827 0.3000 0.4295
23.0000 -5.3206 -3.9114 -2.4181 -2.0624 -1.8832 0.3000 0.4278
24.0000 -5.3206 -3.9081 -2.4166 -2.0616 -1.8833 0.3000 0.4267
25.0000 -5.3202 -3.9023 -2.4140 -2.0603 -1.8835 0.3000 0.4252
26.0000 -5.3206 -3.8973 -2.4121 -2.0593 -1.8838 0.3000 0.4241
27.0000 -5.3205 -3.8908 -2.4099 -2.0579 -1.8844 0.3000 0.4227
28.0000 -5.3205 -3.8851 -2.4082 -2.0567 -1.8851 0.3000 0.4214
29.0000 -5.3205 -3.8800 -2.4068 -2.0556 -1.8855 0.3000 0.4203
30.0000 -5.3205 -3.8755 -2.4055 -2.0546 -1.8858 0.3000 0.4194
31.0000 -5.3205 -3.8711 -2.4042 -2.0537 -1.8859 0.3000 0.4185
32.0000 -5.3205 -3.8667 -2.4028 -2.0527 -1.8859 0.3000 0.4177
33.0000 -5.3206 -3.8629 -2.4014 -2.0518 -1.8857 0.3000 0.4171
34.0000 -5.3206 -3.8601 -2.4004 -2.0511 -1.8855 0.3000 0.4167
35.0000 -5.3206 -3.8566 -2.3991 -2.0502 -1.8852 0.3000 0.4162
36.0000 -5.3206 -3.8527 -2.3974 -2.0491 -1.8847 0.3000 0.4156
37.0000 -5.3206 -3.8492 -2.3960 -2.0482 -1.8842 0.3000 0.4152
38.0000 -5.3206 -3.8468 -2.3950 -2.0475 -1.8839 0.3000 0.4149
39.0000 -5.3206 -3.8435 -2.3938 -2.0464 -1.8834 0.3000 0.4145
40.0000 -5.3206 -3.8414 -2.3932 -2.0459 -1.8831 0.3000 0.4141
41.0000 -5.3206 -3.8383 -2.3923 -2.0450 -1.8826 0.3000 0.4136
42.0000 -5.3206 -3.8356 -2.3915 -2.0442 -1.8822 0.3000 0.4133
43.0000 -5.3205 -3.8328 -2.3904 -2.0433 -1.8816 0.3000 0.4129
44.0000 -5.3205 -3.8296 -2.3889 -2.0424 -1.8809 0.3000 0.4125
45.0000 -5.3206 -3.8274 -2.3878 -2.0418 -1.8805 0.3000 0.4122
46.0000 -5.3206 -3.8247 -2.3866 -2.0411 -1.8800 0.3000 0.4120
47.0000 -5.3205 -3.8173 -2.3832 -2.0394 -1.8786 0.3000 0.4113
48.0000 -5.3205 -3.8101 -2.3799 -2.0376 -1.8773 0.3000 0.4107
49.0000 -5.3206 -3.8072 -2.3786 -2.0368 -1.8767 0.3000 0.4105
50.0000 -5.3206 -3.8052 -2.3775 -2.0362 -1.8763 0.3000 0.4103
51.0000 -5.3206 -3.8016 -2.3755 -2.0353 -1.8757 0.3000 0.4101
52.0000 -5.3205 -3.7960 -2.3726 -2.0337 -1.8747 0.3000 0.4096
53.0000 -5.3206 -3.7929 -2.3709 -2.0330 -1.8741 0.3000 0.4094
54.0000 -5.3205 -3.7887 -2.3686 -2.0319 -1.8734 0.3000 0.4091
55.0000 -5.3206 -3.7857 -2.3669 -2.0311 -1.8728 0.3000 0.4088
56.0000 -5.3205 -3.7773 -2.3621 -2.0289 -1.8711 0.3000 0.4082
57.0000 -5.3206 -3.7744 -2.3603 -2.0281 -1.8705 0.3000 0.4080
58.0000 -5.3206 -3.7730 -2.3593 -2.0276 -1.8702 0.3000 0.4078
59.0000 -5.3206 -3.7710 -2.3582 -2.0271 -1.8699 0.3000 0.4076
60.0000 -5.3206 -3.7677 -2.3566 -2.0262 -1.8694 0.3000 0.4073
61.0000 -5.3206 -3.7657 -2.3558 -2.0259 -1.8693 0.3000 0.4071
62.0000 -5.3206 -3.7642 -2.3551 -2.0256 -1.8692 0.3000 0.4069
63.0000 -5.3206 -3.7628 -2.3543 -2.0252 -1.8690 0.3000 0.4068
64.0000 -5.3206 -3.7614 -2.3534 -2.0250 -1.8688 0.3000 0.4066
65.0000 -5.3206 -3.7596 -2.3524 -2.0247 -1.8685 0.3000 0.4064
66.0000 -5.3206 -3.7591 -2.3518 -2.0246 -1.8685 0.3000 0.4063
67.0000 -5.3206 -3.7583 -2.3508 -2.0245 -1.8684 0.3000 0.4061
68.0000 -5.3206 -3.7573 -2.3492 -2.0244 -1.8683 0.3000 0.4058
69.0000 -5.3206 -3.7563 -2.3480 -2.0243 -1.8682 0.3000 0.4056
70.0000 -5.3206 -3.7554 -2.3467 -2.0241 -1.8681 0.3000 0.4054
71.0000 -5.3206 -3.7544 -2.3455 -2.0240 -1.8681 0.3000 0.4052
72.0000 -5.3206 -3.7536 -2.3444 -2.0240 -1.8681 0.3000 0.4050
73.0000 -5.3206 -3.7522 -2.3428 -2.0239 -1.8680 0.3000 0.4048
74.0000 -5.3206 -3.7509 -2.3412 -2.0239 -1.8680 0.3000 0.4046
75.0000 -5.3206 -3.7500 -2.3401 -2.0239 -1.8681 0.3000 0.4044
76.0000 -5.3206 -3.7490 -2.3387 -2.0239 -1.8681 0.3000 0.4042
