# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -5.6941 -4.1157 -2.5247 -2.2238 -2.1581 0.3000 0.4787
2.0000 -4.2326 -3.4087 -2.1418 -2.0805 -1.9073 0.3000 0.5241
3.0000 -3.9960 -3.2679 -2.0732 -2.0612 -1.8661 0.3000 0.5372
4.0000 -3.9904 -3.2652 -2.0720 -2.0464 -1.8657 0.3000 0.5358
5.0000 -3.9905 -3.2682 -2.0745 -1.9892 -1.8679 0.3000 0.5287
6.0000 -3.9908 -3.2756 -2.0807 -1.8859 -1.8732 0.3000 0.5152
7.0000 -3.9907 -3.2828 -2.0866 -1.8783 -1.8085 0.3000 0.5045
8.0000 -3.9909 -3.2925 -2.0951 -1.8854 -1.7191 0.3000 0.4909
9.0000 -3.9907 -3.3010 -2.1019 -1.8906 -1.7098 0.3000 0.4807
10.0000 -3.9905 -3.3050 -2.1051 -1.8927 -1.7131 0.3000 0.4753
11.0000 -3.9904 -3.3084 -2.1078 -1.8942 -1.7162 0.3000 0.4702
12.0000 -3.9904 -3.3098 -2.1090 -1.8946 -1.7178 0.3000 0.4675
13.0000 -3.9904 -3.3105 -2.1097 -1.8947 -1.7190 0.3000 0.4649
14.0000 -3.9904 -3.3118 -2.1107 -1.8949 -1.7203 0.3000 0.4626
15.0000 -3.9904 -3.3127 -2.1115 -1.8949 -1.7218 0.3000 0.4599
16.0000 -3.9904 -3.3130 -2.1119 -1.8945 -1.7227 0.3000 0.4577
17.0000 -3.9904 -3.3129 -2.1120 -1.8941 -1.7233 0.3000 0.4560
18.0000 -3.9904 -3.3123 -2.1119 -1.8935 -1.7237 0.3000 0.4541
19.0000 -3.9904 -3.3108 -2.1116 -1.8929 -1.7237 0.3000 0.4527
20.0000 -3.9904 -3.3088 -2.1111 -1.8923 -1.7235 0.3000 0.4514
21.0000 -3.9904 -3.3059 -2.1104 -1.8914 -1.7232 0.3000 0.4497
22.0000 -3.9904 -3.3042 -2.1099 -1.8909 -1.7228 0.3000 0.4487
23.0000 -3.9904 -3.3021 -2.1092 -1.8901 -1.7224 0.3000 0.4476
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.2506
# penalization: 3.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
