# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -9.7040 -6.3822 -5.4066 -4.6016 -4.5363 0.3000 0.9353
2.0000 -8.6357 -6.1282 -5.5582 -5.5362 -5.0318 0.3000 1.3958
3.0000 -5.3985 -4.9453 -4.8877 -4.7380 -4.1129 0.3000 1.7903
4.0000 -4.7354 -4.6556 -4.5903 -4.0727 -3.8802 0.3000 1.6369
5.0000 -4.6142 -4.5595 -4.0036 -3.8123 -3.6715 0.3000 1.5463
6.0000 -4.5803 -4.5475 -3.9275 -3.7524 -3.6449 0.3000 1.3940
7.0000 -4.6033 -4.5224 -4.1170 -4.0714 -3.9881 0.3000 1.2834
8.0000 -4.5616 -4.4664 -4.1818 -4.1123 -4.0556 0.3000 1.2557
9.0000 -4.5641 -4.4613 -4.0167 -3.9346 -3.8765 0.3000 1.2149
10.0000 -4.5617 -4.4545 -3.8393 -3.7986 -3.7706 0.3000 1.1801
11.0000 -4.5614 -4.4565 -3.7431 -3.6476 -3.6367 0.3000 1.1492
12.0000 -4.5612 -4.4729 -3.7485 -3.5119 -3.4860 0.3000 1.1207
13.0000 -4.5609 -4.4911 -3.7576 -3.4485 -3.4065 0.3000 1.1016
14.0000 -4.5609 -4.5177 -3.7703 -3.4197 -3.3670 0.3000 1.0835
15.0000 -4.5609 -4.5369 -3.7794 -3.4242 -3.3696 0.3000 1.0728
16.0000 -4.5685 -4.5556 -3.7926 -3.4369 -3.3836 0.3000 1.0605
17.0000 -4.5613 -4.5558 -3.7931 -3.4719 -3.4184 0.3000 1.0555
18.0000 -4.5694 -4.5610 -3.7958 -3.4928 -3.4405 0.3000 1.0479
19.0000 -4.5606 -4.5580 -3.7964 -3.5154 -3.4632 0.3000 1.0430
20.0000 -4.5674 -4.5605 -3.8023 -3.5309 -3.4805 0.3000 1.0349
21.0000 -4.5617 -4.5585 -3.8031 -3.5666 -3.5149 0.3000 1.0274
22.0000 -4.5647 -4.5607 -3.8041 -3.5884 -3.5358 0.3000 1.0221
23.0000 -4.5610 -4.5580 -3.8050 -3.6144 -3.5602 0.3000 1.0173
24.0000 -4.5611 -4.5602 -3.8077 -3.6364 -3.5814 0.3000 1.0119
25.0000 -4.5628 -4.5607 -3.8094 -3.6803 -3.6191 0.3000 1.0059
26.0000 -4.5615 -4.5600 -3.8099 -3.7010 -3.6352 0.3000 1.0030
27.0000 -4.5610 -4.5594 -3.8112 -3.7184 -3.6477 0.3000 1.0003
28.0000 -4.5605 -4.5593 -3.8121 -3.7233 -3.6492 0.3000 0.9986
29.0000 -4.5609 -4.5604 -3.8142 -3.7264 -3.6444 0.3000 0.9953
30.0000 -4.5609 -4.5605 -3.8160 -3.7252 -3.6358 0.3000 0.9921
31.0000 -4.5620 -4.5603 -3.8169 -3.7228 -3.6265 0.3000 0.9894
32.0000 -4.5605 -4.5586 -3.8184 -3.7284 -3.6223 0.3000 0.9868
33.0000 -4.5605 -4.5587 -3.8201 -3.7321 -3.6203 0.3000 0.9851
34.0000 -4.5605 -4.5591 -3.8236 -3.7472 -3.6240 0.3000 0.9818
35.0000 -4.5605 -4.5599 -3.8267 -3.7584 -3.6255 0.3000 0.9790
36.0000 -4.5613 -4.5605 -3.8288 -3.7633 -3.6211 0.3000 0.9763
37.0000 -4.5609 -4.5596 -3.8313 -3.7703 -3.6182 0.3000 0.9732
38.0000 -4.5605 -4.5594 -3.8339 -3.7759 -3.6150 0.3000 0.9704
39.0000 -4.5605 -4.5598 -3.8347 -3.7766 -3.6123 0.3000 0.9692
40.0000 -4.5612 -4.5605 -3.8368 -3.7794 -3.6084 0.3000 0.9668
41.0000 -4.5606 -4.5598 -3.8401 -3.7865 -3.6119 0.3000 0.9652
42.0000 -4.5605 -4.5601 -3.8413 -3.7864 -3.6081 0.3000 0.9637
43.0000 -4.5609 -4.5605 -3.8417 -3.7832 -3.6007 0.3000 0.9623
44.0000 -4.5607 -4.5602 -3.8434 -3.7780 -3.5854 0.3000 0.9592
45.0000 -4.5605 -4.5604 -3.8440 -3.7755 -3.5780 0.3000 0.9580
46.0000 -4.5613 -4.5605 -3.8453 -3.7713 -3.5658 0.3000 0.9563
47.0000 -4.5605 -4.5599 -3.8482 -3.7709 -3.5573 0.3000 0.9548
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.219275
# penalization: 3.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 0.2, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
