# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -6.9303 -5.1920 -3.9914 -3.6571 -3.4214 0.3000 0.7099
2.0000 -5.4851 -4.6205 -3.6309 -3.3572 -3.1914 0.3000 0.7485
3.0000 -5.3229 -4.5455 -3.5988 -3.4100 -3.1410 0.3000 0.7531
4.0000 -5.3206 -4.5386 -3.5987 -3.4097 -3.1382 0.3000 0.7494
5.0000 -5.3205 -4.5177 -3.6016 -3.4064 -3.1302 0.3000 0.7358
6.0000 -5.3206 -4.5039 -3.6113 -3.4023 -3.1216 0.3000 0.7263
7.0000 -5.3205 -4.4845 -3.6281 -3.3387 -3.1106 0.3000 0.7108
8.0000 -5.3204 -4.4745 -3.6382 -3.1488 -3.1054 0.3000 0.7017
9.0000 -5.3204 -4.4663 -3.6464 -3.1014 -2.8558 0.3000 0.6946
10.0000 -5.3205 -4.4601 -3.6526 -3.0985 -2.8501 0.3000 0.6896
11.0000 -5.3205 -4.4544 -3.6586 -3.0959 -2.8447 0.3000 0.6853
12.0000 -5.3205 -4.4483 -3.6653 -3.0932 -2.8391 0.3000 0.6811
13.0000 -5.3205 -4.4420 -3.6719 -3.0906 -2.8339 0.3000 0.6771
14.0000 -5.3205 -4.4381 -3.6758 -3.0887 -2.8304 0.3000 0.6744
15.0000 -5.3205 -4.4324 -3.6807 -3.0860 -2.8258 0.3000 0.6710
16.0000 -5.3205 -4.4271 -3.6852 -3.0838 -2.8224 0.3000 0.6681
17.0000 -5.3205 -4.4216 -3.6899 -3.0819 -2.8199 0.3000 0.6652
18.0000 -5.3205 -4.4162 -3.6938 -3.0800 -2.8177 0.3000 0.6628
19.0000 -5.3205 -4.4109 -3.6971 -3.0780 -2.8155 0.3000 0.6608
20.0000 -5.3205 -4.4051 -3.7000 -3.0757 -2.8130 0.3000 0.6589
21.0000 -5.3205 -4.3997 -3.7030 -3.0730 -2.8101 0.3000 0.6568
22.0000 -5.3205 -4.3934 -3.7064 -3.0700 -2.8068 0.3000 0.6545
23.0000 -5.3205 -4.3893 -3.7081 -3.0679 -2.8046 0.3000 0.6533
24.0000 -5.3205 -4.3819 -3.7109 -3.0644 -2.8007 0.3000 0.6513
25.0000 -5.3205 -4.3750 -3.7134 -3.0612 -2.7975 0.3000 0.6495
26.0000 -5.3205 -4.3653 -3.7172 -3.0567 -2.7934 0.3000 0.6471
27.0000 -5.3205 -4.3595 -3.7194 -3.0540 -2.7909 0.3000 0.6457
28.0000 -5.3205 -4.3550 -3.7211 -3.0520 -2.7891 0.3000 0.6447
29.0000 -5.3205 -4.3493 -3.7242 -3.0501 -2.7874 0.3000 0.6433
30.0000 -5.3205 -4.3445 -3.7269 -3.0485 -2.7862 0.3000 0.6421
31.0000 -5.3205 -4.3387 -3.7302 -3.0466 -2.7848 0.3000 0.6407
32.0000 -5.3205 -4.3326 -3.7335 -3.0447 -2.7836 0.3000 0.6393
33.0000 -5.3205 -4.3268 -3.7372 -3.0431 -2.7832 0.3000 0.6378
34.0000 -5.3205 -4.3236 -3.7398 -3.0423 -2.7832 0.3000 0.6370
35.0000 -5.3206 -4.3206 -3.7418 -3.0415 -2.7833 0.3000 0.6364
36.0000 -5.3205 -4.3160 -3.7447 -3.0404 -2.7833 0.3000 0.6355
37.0000 -5.3205 -4.3123 -3.7470 -3.0394 -2.7831 0.3000 0.6347
38.0000 -5.3205 -4.3082 -3.7497 -3.0383 -2.7827 0.3000 0.6338
39.0000 -5.3205 -4.3056 -3.7514 -3.0374 -2.7823 0.3000 0.6331
40.0000 -5.3205 -4.3039 -3.7526 -3.0366 -2.7820 0.3000 0.6325
41.0000 -5.3205 -4.3021 -3.7534 -3.0360 -2.7816 0.3000 0.6320
42.0000 -5.3205 -4.2995 -3.7548 -3.0352 -2.7811 0.3000 0.6314
43.0000 -5.3205 -4.2964 -3.7563 -3.0342 -2.7804 0.3000 0.6306
44.0000 -5.3205 -4.2929 -3.7584 -3.0332 -2.7797 0.3000 0.6298
45.0000 -5.3205 -4.2907 -3.7598 -3.0324 -2.7790 0.3000 0.6292
46.0000 -5.3205 -4.2879 -3.7614 -3.0314 -2.7782 0.3000 0.6284
47.0000 -5.3205 -4.2852 -3.7632 -3.0306 -2.7775 0.3000 0.6278
48.0000 -5.3205 -4.2829 -3.7648 -3.0299 -2.7770 0.3000 0.6272
49.0000 -5.3205 -4.2800 -3.7668 -3.0291 -2.7763 0.3000 0.6266
50.0000 -5.3205 -4.2776 -3.7687 -3.0283 -2.7758 0.3000 0.6260
51.0000 -5.3205 -4.2755 -3.7700 -3.0278 -2.7753 0.3000 0.6256
52.0000 -5.3205 -4.2714 -3.7724 -3.0270 -2.7743 0.3000 0.6249
53.0000 -5.3206 -4.2700 -3.7732 -3.0268 -2.7740 0.3000 0.6247
54.0000 -5.3206 -4.2688 -3.7738 -3.0265 -2.7737 0.3000 0.6245
55.0000 -5.3205 -4.2652 -3.7752 -3.0257 -2.7727 0.3000 0.6240
56.0000 -5.3205 -4.2614 -3.7773 -3.0251 -2.7718 0.3000 0.6233
57.0000 -5.3205 -4.2589 -3.7797 -3.0253 -2.7713 0.3000 0.6226
58.0000 -5.3205 -4.2570 -3.7814 -3.0253 -2.7710 0.3000 0.6222
59.0000 -5.3205 -4.2544 -3.7832 -3.0253 -2.7706 0.3000 0.6216
60.0000 -5.3205 -4.2521 -3.7842 -3.0251 -2.7702 0.3000 0.6213
61.0000 -5.3206 -4.2503 -3.7846 -3.0250 -2.7699 0.3000 0.6211
62.0000 -5.3205 -4.2458 -3.7858 -3.0245 -2.7692 0.3000 0.6205
63.0000 -5.3206 -4.2444 -3.7863 -3.0244 -2.7689 0.3000 0.6203
64.0000 -5.3205 -4.2414 -3.7871 -3.0241 -2.7684 0.3000 0.6199
