# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -6.2237 -4.7761 -3.7338 -3.3118 -3.1362 0.3000 0.7269
2.0000 -4.2942 -4.1377 -3.8827 -3.3367 -3.2562 0.3000 0.8580
3.0000 -4.0392 -3.9988 -3.9073 -3.7610 -3.2427 0.3000 0.9000
4.0000 -3.9914 -3.9656 -3.8857 -3.3962 -3.2124 0.3000 0.8946
5.0000 -3.9998 -3.9911 -3.8814 -3.2188 -3.1235 0.3000 0.8747
6.0000 -3.9912 -3.9627 -3.9602 -3.2066 -3.1696 0.3000 0.8591
7.0000 -4.0040 -3.9909 -3.9471 -3.2158 -3.2042 0.3000 0.8438
8.0000 -4.0214 -4.0145 -3.9282 -3.3649 -3.2217 0.3000 0.7917
9.0000 -3.9905 -3.9658 -3.9045 -3.3895 -3.2084 0.3000 0.7888
10.0000 -3.9904 -3.9728 -3.9057 -3.4003 -3.2135 0.3000 0.7815
11.0000 -3.9905 -3.9888 -3.9085 -3.3954 -3.2205 0.3000 0.7731
12.0000 -3.9928 -3.9578 -3.9124 -3.3570 -3.2276 0.3000 0.7654
13.0000 -3.9903 -3.9338 -3.9158 -3.3163 -3.2347 0.3000 0.7562
14.0000 -3.9904 -3.9196 -3.8818 -3.2792 -3.2396 0.3000 0.7508
15.0000 -3.9904 -3.9235 -3.7412 -3.2455 -3.2300 0.3000 0.7444
16.0000 -3.9904 -3.9267 -3.5521 -3.2503 -3.1915 0.3000 0.7394
17.0000 -3.9904 -3.9296 -3.3166 -3.2546 -3.1386 0.3000 0.7349
18.0000 -3.9904 -3.9325 -3.2592 -3.1799 -2.9714 0.3000 0.7305
19.0000 -3.9904 -3.9347 -3.2630 -3.1395 -2.8858 0.3000 0.7266
20.0000 -3.9904 -3.9371 -3.2675 -3.0972 -2.8457 0.3000 0.7224
21.0000 -3.9904 -3.9389 -3.2712 -3.0617 -2.8241 0.3000 0.7189
22.0000 -3.9904 -3.9398 -3.2731 -3.0413 -2.8130 0.3000 0.7168
23.0000 -3.9904 -3.9409 -3.2752 -3.0081 -2.7941 0.3000 0.7141
24.0000 -3.9904 -3.9420 -3.2773 -2.9704 -2.7717 0.3000 0.7113
25.0000 -3.9904 -3.9431 -3.2803 -2.9193 -2.7432 0.3000 0.7078
26.0000 -3.9904 -3.9441 -3.2826 -2.8705 -2.7438 0.3000 0.7047
27.0000 -3.9904 -3.9452 -3.2846 -2.8260 -2.7441 0.3000 0.7017
28.0000 -3.9904 -3.9455 -3.2851 -2.8173 -2.7428 0.3000 0.7007
29.0000 -3.9904 -3.9458 -3.2861 -2.8014 -2.7409 0.3000 0.6988
30.0000 -3.9904 -3.9460 -3.2870 -2.7814 -2.7391 0.3000 0.6970
31.0000 -3.9904 -3.9462 -3.2881 -2.7534 -2.7361 0.3000 0.6943
32.0000 -3.9904 -3.9465 -3.2888 -2.7340 -2.7318 0.3000 0.6924
33.0000 -3.9904 -3.9465 -3.2891 -2.7326 -2.7161 0.3000 0.6912
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.2506
# penalization: 3.0
# initial densities: [0.3467 0.298  0.238  ... 0.     0.     0.    ]
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 0.2, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
