# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -9.4346 -6.1157 -5.3033 -5.1447 -4.4720 0.3000 0.9532
2.0000 -7.5656 -5.4196 -4.9284 -4.7867 -4.5093 0.3000 1.1074
3.0000 -6.8146 -5.1378 -5.0496 -4.3451 -3.9607 0.3000 1.2131
4.0000 -6.5366 -5.0338 -4.8851 -4.5341 -4.2544 0.3000 1.2658
5.0000 -6.2852 -4.9385 -4.8287 -4.4520 -4.1042 0.3000 1.3159
6.0000 -6.2623 -4.9295 -4.8218 -4.4493 -4.1089 0.3000 1.3208
7.0000 -6.0736 -4.8600 -4.5829 -4.5017 -4.3407 0.3000 1.3609
8.0000 -5.9986 -4.8307 -4.6774 -4.4879 -4.0789 0.3000 1.3767
9.0000 -5.5864 -4.7799 -4.6860 -4.1645 -4.1631 0.3000 1.4641
10.0000 -5.3796 -4.7377 -4.6111 -4.1948 -3.8461 0.3000 1.5025
11.0000 -5.2426 -4.5894 -4.5577 -4.1848 -3.8186 0.3000 1.5200
12.0000 -5.1184 -4.5098 -4.4677 -4.1746 -3.9039 0.3000 1.5324
13.0000 -5.0070 -4.4675 -4.4626 -4.1062 -3.9235 0.3000 1.5387
14.0000 -4.9072 -4.4450 -4.4210 -4.0609 -4.0515 0.3000 1.5391
15.0000 -4.8165 -4.4107 -4.3868 -4.0787 -4.0671 0.3000 1.5360
16.0000 -4.7055 -4.6763 -4.3346 -4.1427 -4.0853 0.3000 1.5273
17.0000 -4.6556 -4.5766 -4.2944 -4.2706 -4.1814 0.3000 1.5177
18.0000 -4.6351 -4.4966 -4.2622 -4.2355 -4.1107 0.3000 1.5068
19.0000 -4.4044 -4.2523 -4.2261 -4.1389 -4.1275 0.3000 1.4863
20.0000 -4.3640 -4.2132 -4.2019 -4.1397 -4.1269 0.3000 1.4764
21.0000 -4.2920 -4.2146 -4.1802 -4.1270 -4.0848 0.3000 1.4557
22.0000 -4.1202 -4.0371 -3.9178 -3.9045 -3.8688 0.3000 1.3632
23.0000 -4.0959 -4.0282 -3.8396 -3.6670 -3.5711 0.3000 1.3463
24.0000 -4.0854 -4.0289 -3.8593 -3.7325 -3.6020 0.3000 1.3464
25.0000 -4.0490 -3.9857 -3.9318 -3.8972 -3.6725 0.3000 1.3279
26.0000 -4.0004 -3.9898 -3.9490 -3.8739 -3.8578 0.3000 1.3246
27.0000 -4.0035 -3.9911 -3.8900 -3.7569 -3.6361 0.3000 1.3097
28.0000 -3.9930 -3.9840 -3.8341 -3.7219 -3.7031 0.3000 1.2965
29.0000 -3.9971 -3.9910 -3.7979 -3.7877 -3.6445 0.3000 1.2766
30.0000 -3.9927 -3.9900 -3.7446 -3.6828 -3.6163 0.3000 1.2649
31.0000 -4.0013 -3.9892 -3.7295 -3.6383 -3.6205 0.3000 1.2447
32.0000 -3.9908 -3.9885 -3.7983 -3.6558 -3.6549 0.3000 1.2411
33.0000 -3.9987 -3.9901 -3.9312 -3.6784 -3.6573 0.3000 1.2272
34.0000 -3.9926 -3.9893 -3.8170 -3.6792 -3.6495 0.3000 1.2222
35.0000 -4.0027 -3.9906 -3.7531 -3.6903 -3.6486 0.3000 1.2043
36.0000 -3.9911 -3.9848 -3.7278 -3.7089 -3.6673 0.3000 1.2055
37.0000 -3.9912 -3.9890 -3.7387 -3.7183 -3.6916 0.3000 1.1974
38.0000 -3.9969 -3.9890 -3.8045 -3.7479 -3.6762 0.3000 1.1867
39.0000 -3.9919 -3.9903 -3.7435 -3.6883 -3.6243 0.3000 1.1787
40.0000 -3.9992 -3.9910 -3.6783 -3.6245 -3.5945 0.3000 1.1672
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.2506
# penalization: 3.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 0.2, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
