# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -12.0221 -9.6616 -8.5703 -8.1065 -6.3531 0.3000 2.6371
2.0000 -10.1856 -9.4979 -9.0907 -7.7990 -7.5110 0.3000 5.1935
3.0000 -9.3742 -8.4907 -7.8867 -7.5174 -7.3779 0.3000 3.8948
4.0000 -8.7554 -8.1270 -7.9653 -7.5898 -7.3306 0.3000 3.1127
5.0000 -8.3985 -8.2525 -8.0145 -7.6768 -7.2611 0.3000 3.2040
6.0000 -8.2792 -8.1894 -7.9874 -7.6470 -7.5753 0.3000 3.1883
7.0000 -8.2183 -8.0227 -7.9979 -7.9011 -7.5554 0.3000 3.1220
8.0000 -8.2533 -8.0698 -7.8958 -7.6798 -7.5382 0.3000 2.8956
9.0000 -8.0661 -7.9929 -7.9375 -7.7884 -7.6215 0.3000 2.7837
10.0000 -8.0866 -7.9806 -7.9305 -7.7399 -7.6806 0.3000 2.6666
11.0000 -7.9962 -7.9424 -7.7113 -7.5924 -7.5424 0.3000 2.6369
12.0000 -7.9858 -7.9731 -7.7757 -7.5345 -7.4268 0.3000 2.5842
13.0000 -8.0140 -7.9825 -7.8095 -7.4940 -7.3846 0.3000 2.5418
14.0000 -8.0024 -7.9718 -7.7995 -7.4767 -7.2904 0.3000 2.4944
15.0000 -7.9825 -7.9720 -7.7608 -7.4687 -7.2407 0.3000 2.4749
16.0000 -8.0101 -7.9788 -7.7133 -7.4636 -7.1946 0.3000 2.4442
17.0000 -7.9820 -7.9641 -7.6869 -7.4734 -7.1822 0.3000 2.4339
18.0000 -7.9939 -7.9810 -7.6413 -7.4835 -7.1866 0.3000 2.4156
19.0000 -7.9814 -7.9728 -7.5956 -7.4916 -7.1489 0.3000 2.4009
20.0000 -7.9866 -7.9807 -7.5801 -7.4938 -7.1307 0.3000 2.3913
21.0000 -7.9820 -7.9786 -7.5482 -7.5007 -7.1124 0.3000 2.3789
22.0000 -7.9901 -7.9810 -7.5325 -7.5052 -7.1150 0.3000 2.3688
23.0000 -7.9817 -7.9718 -7.5331 -7.5080 -7.1138 0.3000 2.3653
24.0000 -7.9812 -7.9695 -7.5287 -7.5096 -7.1188 0.3000 2.3541
25.0000 -7.9810 -7.9700 -7.5260 -7.5032 -7.1239 0.3000 2.3422
26.0000 -7.9809 -7.9735 -7.5265 -7.4907 -7.1302 0.3000 2.3334
27.0000 -7.9809 -7.9791 -7.5251 -7.4804 -7.1369 0.3000 2.3273
28.0000 -7.9878 -7.9808 -7.5258 -7.4708 -7.1419 0.3000 2.3203
29.0000 -7.9810 -7.9743 -7.5301 -7.4663 -7.1394 0.3000 2.3131
30.0000 -7.9809 -7.9772 -7.5299 -7.4598 -7.1351 0.3000 2.3065
31.0000 -7.9824 -7.9809 -7.5288 -7.4522 -7.1321 0.3000 2.3013
32.0000 -7.9812 -7.9781 -7.5271 -7.4472 -7.1278 0.3000 2.2973
33.0000 -7.9815 -7.9773 -7.5279 -7.4416 -7.1221 0.3000 2.2920
34.0000 -7.9809 -7.9772 -7.5316 -7.4388 -7.1168 0.3000 2.2873
35.0000 -7.9809 -7.9788 -7.5354 -7.4373 -7.1139 0.3000 2.2840
36.0000 -7.9818 -7.9808 -7.5401 -7.4350 -7.1098 0.3000 2.2799
37.0000 -7.9813 -7.9803 -7.5413 -7.4349 -7.1047 0.3000 2.2772
38.0000 -7.9843 -7.9808 -7.5437 -7.4353 -7.0880 0.3000 2.2674
39.0000 -7.9809 -7.9777 -7.5458 -7.4385 -7.0839 0.3000 2.2664
40.0000 -7.9809 -7.9788 -7.5501 -7.4428 -7.0773 0.3000 2.2631
41.0000 -7.9810 -7.9802 -7.5554 -7.4495 -7.0689 0.3000 2.2593
42.0000 -7.9821 -7.9808 -7.5578 -7.4553 -7.0632 0.3000 2.2578
43.0000 -7.9809 -7.9778 -7.5663 -7.4634 -7.0514 0.3000 2.2545
44.0000 -7.9808 -7.9771 -7.5746 -7.4672 -7.0463 0.3000 2.2516
45.0000 -7.9808 -7.9773 -7.5797 -7.4680 -7.0431 0.3000 2.2497
46.0000 -7.9809 -7.9780 -7.5872 -7.4687 -7.0396 0.3000 2.2469
47.0000 -7.9810 -7.9796 -7.5941 -7.4684 -7.0397 0.3000 2.2444
48.0000 -7.9831 -7.9793 -7.6133 -7.4704 -7.0419 0.3000 2.2389
49.0000 -7.9809 -7.9761 -7.6223 -7.4707 -7.0439 0.3000 2.2369
50.0000 -7.9809 -7.9757 -7.6301 -7.4704 -7.0469 0.3000 2.2340
51.0000 -7.9810 -7.9757 -7.6380 -7.4726 -7.0507 0.3000 2.2314
52.0000 -7.9809 -7.9758 -7.6438 -7.4766 -7.0534 0.3000 2.2298
53.0000 -7.9810 -7.9759 -7.6587 -7.4862 -7.0597 0.3000 2.2253
54.0000 -7.9808 -7.9763 -7.6643 -7.4885 -7.0621 0.3000 2.2237
55.0000 -7.9809 -7.9788 -7.6834 -7.4960 -7.0716 0.3000 2.2185
56.0000 -7.9812 -7.9796 -7.6967 -7.5018 -7.0786 0.3000 2.2151
57.0000 -7.9809 -7.9805 -7.7055 -7.5039 -7.0859 0.3000 2.2125
58.0000 -7.9831 -7.9808 -7.7100 -7.5036 -7.0900 0.3000 2.2101
59.0000 -7.9808 -7.9767 -7.7216 -7.5087 -7.0973 0.3000 2.2074
60.0000 -7.9808 -7.9754 -7.7325 -7.5132 -7.1037 0.3000 2.2046
61.0000 -7.9808 -7.9755 -7.7348 -7.5150 -7.1048 0.3000 2.2038
62.0000 -7.9808 -7.9758 -7.7409 -7.5194 -7.1087 0.3000 2.2022
63.0000 -7.9809 -7.9764 -7.7532 -7.5286 -7.1165 0.3000 2.1997
64.0000 -7.9808 -7.9772 -7.7650 -7.5349 -7.1243 0.3000 2.1978
65.0000 -7.9809 -7.9792 -7.7886 -7.5432 -7.1397 0.3000 2.1945
66.0000 -7.9809 -7.9806 -7.7989 -7.5438 -7.1450 0.3000 2.1934
67.0000 -7.9824 -7.9808 -7.8090 -7.5436 -7.1489 0.3000 2.1922
68.0000 -7.9810 -7.9782 -7.8381 -7.5429 -7.1601 0.3000 2.1896
69.0000 -7.9810 -7.9778 -7.8631 -7.5416 -7.1692 0.3000 2.1867
70.0000 -7.9809 -7.9785 -7.8692 -7.5404 -7.1706 0.3000 2.1854
71.0000 -7.9809 -7.9804 -7.8767 -7.5376 -7.1721 0.3000 2.1841
72.0000 -7.9854 -7.9809 -7.8785 -7.5311 -7.1701 0.3000 2.1826
73.0000 -7.9809 -7.9763 -7.8831 -7.5317 -7.1712 0.3000 2.1829
74.0000 -7.9809 -7.9763 -7.8866 -7.5305 -7.1713 0.3000 2.1824
75.0000 -7.9809 -7.9751 -7.8964 -7.5266 -7.1713 0.3000 2.1812
76.0000 -7.9809 -7.9747 -7.9036 -7.5240 -7.1715 0.3000 2.1803
77.0000 -7.9809 -7.9743 -7.9206 -7.5173 -7.1720 0.3000 2.1782
78.0000 -7.9811 -7.9747 -7.9463 -7.5065 -7.1726 0.3000 2.1749
79.0000 -7.9810 -7.9751 -7.9565 -7.5000 -7.1720 0.3000 2.1729
80.0000 -7.9810 -7.9776 -7.9524 -7.4924 -7.1679 0.3000 2.1710
81.0000 -7.9811 -7.9798 -7.9478 -7.4849 -7.1637 0.3000 2.1687
82.0000 -7.9813 -7.9808 -7.9451 -7.4806 -7.1614 0.3000 2.1674
83.0000 -7.9809 -7.9803 -7.9368 -7.4790 -7.1585 0.3000 2.1665
84.0000 -7.9809 -7.9808 -7.9272 -7.4772 -7.1535 0.3000 2.1650
85.0000 -7.9838 -7.9810 -7.9029 -7.4751 -7.1411 0.3000 2.1616
86.0000 -7.9809 -7.9781 -7.8864 -7.4774 -7.1333 0.3000 2.1601
87.0000 -7.9810 -7.9779 -7.8630 -7.4804 -7.1220 0.3000 2.1576
88.0000 -7.9810 -7.9787 -7.8395 -7.4893 -7.1111 0.3000 2.1554
89.0000 -7.9810 -7.9795 -7.8238 -7.4993 -7.1028 0.3000 2.1530
90.0000 -7.9813 -7.9805 -7.8181 -7.5078 -7.0987 0.3000 2.1509
91.0000 -7.9812 -7.9805 -7.8150 -7.5134 -7.0930 0.3000 2.1491
92.0000 -7.9813 -7.9806 -7.8161 -7.5141 -7.0889 0.3000 2.1475
93.0000 -7.9810 -7.9796 -7.8187 -7.5152 -7.0838 0.3000 2.1455
94.0000 -7.9808 -7.9793 -7.8198 -7.5155 -7.0812 0.3000 2.1446
95.0000 -7.9808 -7.9796 -7.8240 -7.5146 -7.0811 0.3000 2.1439
96.0000 -7.9809 -7.9804 -7.8352 -7.5130 -7.0819 0.3000 2.1426
