# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -9.8630 -9.2272 -8.0460 -6.0431 -5.7563 0.3000 1.8638
2.0000 -8.5565 -8.2580 -7.5719 -7.0488 -5.8710 0.3000 1.9132
3.0000 -8.5507 -8.2466 -7.5686 -7.0453 -5.8713 0.3000 1.9135
4.0000 -8.5502 -8.2463 -7.5683 -7.0450 -5.8713 0.3000 1.9135
5.0000 -8.5496 -8.2458 -7.5680 -7.0446 -5.8712 0.3000 1.9135
6.0000 -8.5490 -8.2455 -7.5676 -7.4467 -7.0442 0.3000 1.9135
7.0000 -8.5490 -8.2454 -7.5676 -7.4468 -7.0442 0.3000 1.9135
8.0000 -8.5489 -8.2454 -7.5676 -7.4468 -7.0441 0.3000 1.9135
9.0000 -8.5488 -8.2454 -7.5677 -7.4468 -7.3266 0.3000 1.9135
10.0000 -8.5483 -8.2446 -7.5674 -7.4476 -7.3172 0.3000 1.9135
11.0000 -8.5482 -8.2443 -7.5673 -7.4478 -7.3179 0.3000 1.9135
12.0000 -7.5720 -6.8945 -6.1942 -5.7658 -5.5757 0.3004 1.8647
13.0000 -7.5761 -6.8926 -6.1953 -5.7601 -5.5596 0.3004 1.8643
14.0000 -7.5808 -6.8855 -6.6606 -6.1950 -5.7557 0.3004 1.8638
15.0000 -7.5854 -7.4152 -6.8651 -6.2920 -6.1902 0.3004 1.8622
16.0000 -7.5854 -7.4909 -6.8651 -6.3479 -6.1902 0.3004 1.8622
17.0000 -7.5854 -7.5724 -6.8652 -6.4079 -6.1903 0.3004 1.8622
18.0000 -7.5986 -6.8681 -6.2036 -5.7533 -5.4712 0.3000 1.8610
19.0000 -8.1958 -7.6528 -7.3795 -6.8891 -6.3087 0.3000 1.8489
20.0000 -7.8197 -7.2543 -6.8049 -6.2976 -5.5346 0.3000 1.8200
21.0000 -7.8359 -7.1776 -6.8009 -6.3070 -5.5240 0.3000 1.8167
22.0000 -7.9699 -7.4079 -6.9880 -6.9659 -6.4742 0.3000 1.7730
23.0000 -7.9822 -7.1269 -6.6030 -5.8968 -5.6391 0.3000 1.7499
24.0000 -7.9804 -7.2259 -6.6868 -5.6633 -5.5101 0.3000 1.7372
25.0000 -7.9814 -7.3490 -6.7866 -5.6609 -5.2632 0.3000 1.7241
26.0000 -7.9837 -7.4837 -6.8954 -5.6473 -5.1784 0.3000 1.7116
27.0000 -7.9839 -7.5671 -6.9650 -5.6379 -5.1642 0.3000 1.7037
28.0000 -7.9868 -7.6408 -7.0308 -5.6527 -5.1473 0.3000 1.6959
29.0000 -7.9844 -7.6704 -7.0608 -5.6745 -5.1326 0.3000 1.6911
30.0000 -7.9877 -7.6941 -7.0923 -5.7064 -5.1139 0.3000 1.6848
31.0000 -7.9860 -7.6951 -7.1063 -5.7452 -5.0970 0.3000 1.6788
32.0000 -7.9863 -7.6871 -7.1146 -5.7782 -5.0870 0.3000 1.6715
33.0000 -7.9838 -7.6813 -7.1187 -5.7726 -5.0844 0.3000 1.6648
34.0000 -7.9830 -7.6843 -7.1258 -5.7295 -5.0758 0.3000 1.6589
35.0000 -7.9822 -7.6911 -7.1326 -5.6755 -5.0702 0.3000 1.6546
36.0000 -7.9824 -7.7007 -7.1395 -5.6093 -5.0684 0.3000 1.6503
37.0000 -7.9820 -7.7097 -7.1439 -5.5447 -5.0692 0.3000 1.6471
38.0000 -7.9856 -7.7307 -7.1523 -5.4155 -5.0734 0.3000 1.6406
39.0000 -7.9831 -7.7412 -7.1506 -5.3412 -5.0745 0.3000 1.6367
40.0000 -7.9826 -7.7528 -7.1480 -5.2789 -5.0743 0.3000 1.6334
41.0000 -7.9873 -7.7776 -7.1415 -5.1765 -5.0711 0.3000 1.6278
42.0000 -7.9818 -7.7807 -7.1346 -5.1368 -5.0648 0.3000 1.6258
43.0000 -7.9819 -7.7884 -7.1316 -5.0964 -5.0411 0.3000 1.6231
44.0000 -7.9825 -7.7977 -7.1273 -5.0821 -4.9701 0.3000 1.6195
45.0000 -7.9818 -7.8025 -7.1225 -5.0786 -4.9142 0.3000 1.6165
46.0000 -7.9810 -7.8030 -7.1222 -5.0764 -4.8926 0.3000 1.6150
47.0000 -7.9811 -7.8030 -7.1233 -5.0726 -4.8710 0.3000 1.6129
48.0000 -7.9811 -7.8035 -7.1242 -5.0681 -4.8571 0.3000 1.6105
49.0000 -7.9809 -7.8050 -7.1242 -5.0634 -4.8489 0.3000 1.6080
50.0000 -7.9809 -7.8057 -7.1253 -5.0601 -4.8459 0.3000 1.6068
51.0000 -7.9809 -7.8069 -7.1276 -5.0551 -4.8420 0.3000 1.6049
52.0000 -7.9810 -7.8076 -7.1315 -5.0492 -4.8380 0.3000 1.6028
53.0000 -7.9810 -7.8069 -7.1357 -5.0456 -4.8351 0.3000 1.6013
54.0000 -7.9811 -7.8057 -7.1409 -5.0435 -4.8319 0.3000 1.5996
55.0000 -7.9811 -7.8058 -7.1461 -5.0414 -4.8293 0.3000 1.5979
56.0000 -7.9810 -7.8081 -7.1517 -5.0392 -4.8275 0.3000 1.5963
57.0000 -7.9810 -7.8123 -7.1568 -5.0373 -4.8271 0.3000 1.5951
58.0000 -7.9811 -7.8186 -7.1639 -5.0346 -4.8297 0.3000 1.5932
59.0000 -7.9809 -7.8218 -7.1668 -5.0333 -4.8355 0.3000 1.5924
60.0000 -7.9810 -7.8270 -7.1709 -5.0317 -4.8469 0.3000 1.5912
61.0000 -7.9814 -7.8357 -7.1776 -5.0289 -4.8666 0.3000 1.5893
62.0000 -7.9811 -7.8406 -7.1817 -5.0272 -4.8771 0.3000 1.5880
63.0000 -7.9811 -7.8454 -7.1860 -5.0259 -4.8827 0.3000 1.5869
64.0000 -7.9809 -7.8480 -7.1887 -5.0251 -4.8820 0.3000 1.5861
65.0000 -7.9811 -7.8514 -7.1930 -5.0238 -4.8814 0.3000 1.5848
66.0000 -7.9809 -7.8518 -7.1950 -5.0231 -4.8839 0.3000 1.5842
67.0000 -7.9810 -7.8525 -7.1986 -5.0221 -4.8872 0.3000 1.5832
68.0000 -7.9814 -7.8536 -7.2053 -5.0204 -4.8908 0.3000 1.5815
69.0000 -7.9809 -7.8527 -7.2063 -5.0198 -4.8977 0.3000 1.5811
70.0000 -7.9809 -7.8532 -7.2079 -5.0194 -4.9042 0.3000 1.5806
71.0000 -7.9810 -7.8529 -7.2107 -5.0198 -4.9221 0.3000 1.5798
72.0000 -7.9809 -7.8533 -7.2127 -5.0207 -4.9331 0.3000 1.5793
73.0000 -7.9809 -7.8555 -7.2145 -5.0217 -4.9378 0.3000 1.5787
74.0000 -7.9809 -7.8593 -7.2156 -5.0226 -4.9369 0.3000 1.5780
75.0000 -7.9809 -7.8627 -7.2158 -5.0231 -4.9335 0.3000 1.5776
76.0000 -7.9812 -7.8729 -7.2168 -5.0248 -4.9213 0.3000 1.5761
77.0000 -7.9814 -7.8846 -7.2174 -5.0263 -4.8987 0.3000 1.5743
78.0000 -7.9809 -7.8881 -7.2171 -5.0265 -4.8846 0.3000 1.5737
79.0000 -7.9810 -7.8940 -7.2173 -5.0271 -4.8603 0.3000 1.5728
80.0000 -7.9809 -7.8968 -7.2175 -5.0276 -4.8509 0.3000 1.5723
81.0000 -7.9809 -7.9014 -7.2183 -5.0284 -4.8321 0.3000 1.5716
82.0000 -7.9809 -7.9031 -7.2193 -5.0288 -4.8198 0.3000 1.5711
83.0000 -7.9809 -7.9052 -7.2207 -5.0295 -4.8086 0.3000 1.5705
84.0000 -7.9809 -7.9060 -7.2219 -5.0299 -4.8039 0.3000 1.5701
85.0000 -7.9809 -7.9071 -7.2233 -5.0303 -4.8001 0.3000 1.5695
86.0000 -7.9809 -7.9103 -7.2248 -5.0315 -4.7978 0.3000 1.5688
87.0000 -7.9809 -7.9154 -7.2248 -5.0333 -4.7978 0.3000 1.5682
88.0000 -7.9809 -7.9235 -7.2254 -5.0365 -4.7992 0.3000 1.5673
89.0000 -7.9810 -7.9357 -7.2261 -5.0419 -4.8025 0.3000 1.5660
90.0000 -7.9810 -7.9460 -7.2261 -5.0462 -4.8057 0.3000 1.5650
91.0000 -7.9809 -7.9497 -7.2263 -5.0478 -4.8074 0.3000 1.5645
92.0000 -7.9809 -7.9555 -7.2271 -5.0505 -4.8102 0.3000 1.5638
93.0000 -7.9811 -7.9630 -7.2288 -5.0545 -4.8147 0.3000 1.5627
94.0000 -7.9813 -7.9711 -7.2306 -5.0591 -4.8205 0.3000 1.5615
95.0000 -7.9827 -7.9786 -7.2306 -5.0617 -4.8238 0.3000 1.5610
96.0000 -7.9809 -7.9804 -7.2312 -5.0632 -4.8266 0.3000 1.5604
97.0000 -7.9859 -7.9805 -7.2354 -5.0652 -4.8294 0.3000 1.5595
98.0000 -7.9813 -7.9745 -7.2320 -5.0632 -4.8292 0.3000 1.5593
99.0000 -7.9810 -7.9730 -7.2316 -5.0634 -4.8312 0.3000 1.5586
100.0000 -7.9809 -7.9731 -7.2312 -5.0636 -4.8323 0.3000 1.5583
101.0000 -7.9810 -7.9743 -7.2307 -5.0645 -4.8352 0.3000 1.5576
102.0000 -7.9809 -7.9753 -7.2302 -5.0651 -4.8372 0.3000 1.5571
103.0000 -7.9809 -7.9764 -7.2301 -5.0653 -4.8382 0.3000 1.5568
104.0000 -7.9809 -7.9790 -7.2309 -5.0658 -4.8398 0.3000 1.5563
105.0000 -7.9859 -7.9810 -7.2334 -5.0673 -4.8435 0.3000 1.5553
106.0000 -7.9819 -7.9777 -7.2329 -5.0651 -4.8449 0.3000 1.5542
107.0000 -7.9816 -7.9788 -7.2335 -5.0643 -4.8443 0.3000 1.5537
108.0000 -7.9842 -7.9771 -7.2332 -5.0626 -4.8431 0.3000 1.5530
109.0000 -7.9809 -7.9731 -7.2301 -5.0616 -4.8428 0.3000 1.5528
110.0000 -7.9809 -7.9733 -7.2303 -5.0621 -4.8434 0.3000 1.5525
111.0000 -7.9809 -7.9726 -7.2301 -5.0622 -4.8438 0.3000 1.5522
112.0000 -7.9809 -7.9707 -7.2295 -5.0618 -4.8438 0.3000 1.5517
113.0000 -7.9810 -7.9666 -7.2280 -5.0606 -4.8441 0.3000 1.5506
114.0000 -7.9809 -7.9648 -7.2275 -5.0604 -4.8445 0.3000 1.5501
115.0000 -7.9809 -7.9628 -7.2270 -5.0607 -4.8455 0.3000 1.5494
116.0000 -7.9810 -7.9605 -7.2266 -5.0618 -4.8475 0.3000 1.5483
117.0000 -7.9809 -7.9605 -7.2270 -5.0630 -4.8484 0.3000 1.5480
118.0000 -7.9809 -7.9610 -7.2275 -5.0651 -4.8499 0.3000 1.5475
119.0000 -7.9809 -7.9612 -7.2276 -5.0657 -4.8503 0.3000 1.5472
120.0000 -7.9809 -7.9626 -7.2282 -5.0686 -4.8521 0.3000 1.5462
121.0000 -7.9809 -7.9649 -7.2292 -5.0723 -4.8548 0.3000 1.5450
122.0000 -7.9808 -7.9656 -7.2293 -5.0728 -4.8552 0.3000 1.5449
123.0000 -7.9808 -7.9667 -7.2293 -5.0733 -4.8555 0.3000 1.5447
124.0000 -7.9808 -7.9685 -7.2297 -5.0742 -4.8562 0.3000 1.5445
125.0000 -7.9809 -7.9710 -7.2302 -5.0754 -4.8571 0.3000 1.5443
126.0000 -7.9809 -7.9760 -7.2311 -5.0775 -4.8589 0.3000 1.5439
127.0000 -7.9826 -7.9806 -7.2321 -5.0802 -4.8608 0.3000 1.5434
128.0000 -7.9811 -7.9791 -7.2298 -5.0804 -4.8599 0.3000 1.5429
129.0000 -7.9822 -7.9807 -7.2316 -5.0806 -4.8590 0.3000 1.5426
130.0000 -7.9810 -7.9781 -7.2304 -5.0802 -4.8582 0.3000 1.5424
131.0000 -7.9809 -7.9775 -7.2302 -5.0805 -4.8581 0.3000 1.5422
132.0000 -7.9810 -7.9767 -7.2300 -5.0813 -4.8582 0.3000 1.5417
133.0000 -7.9809 -7.9765 -7.2300 -5.0822 -4.8586 0.3000 1.5415
134.0000 -7.9809 -7.9767 -7.2301 -5.0844 -4.8597 0.3000 1.5410
