# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -5.7592 -5.2380 -4.6845 -4.1160 -3.9780 0.3000 0.7571
2.0000 -3.9525 -3.8567 -3.7498 -3.6377 -3.5218 0.3000 0.7204
3.0000 -3.4555 -3.3245 -3.3116 -3.1803 -3.0514 0.3000 0.6981
4.0000 -3.1627 -2.7882 -2.7868 -2.7196 -2.7097 0.3000 0.6693
5.0000 -2.8195 -2.7157 -2.6258 -2.5680 -2.5677 0.3000 0.6351
6.0000 -2.7246 -2.6826 -2.6353 -2.5645 -2.5175 0.3000 0.6230
7.0000 -2.6336 -2.6158 -2.5913 -2.5384 -2.4266 0.3000 0.6091
8.0000 -2.6168 -2.5557 -2.4863 -2.4859 -2.3383 0.3000 0.6024
9.0000 -2.6403 -2.3778 -2.3339 -2.2284 -2.1572 0.3000 0.5912
10.0000 -2.6789 -2.1368 -2.1233 -2.0889 -1.9768 0.3000 0.5757
11.0000 -2.7091 -2.1024 -2.0329 -2.0272 -1.8950 0.3000 0.5702
12.0000 -2.7698 -2.1471 -1.8844 -1.8711 -1.8345 0.3000 0.5613
13.0000 -2.8898 -2.2731 -1.8879 -1.7179 -1.6840 0.3000 0.5447
14.0000 -2.8549 -2.2537 -1.8640 -1.6997 -1.6386 0.3000 0.5365
15.0000 -2.7870 -2.2213 -1.8370 -1.6791 -1.6229 0.3000 0.5278
16.0000 -2.7223 -2.1985 -1.8225 -1.6811 -1.6373 0.3000 0.5182
17.0000 -2.6605 -2.1844 -1.8242 -1.7075 -1.6632 0.3000 0.5105
18.0000 -2.6358 -2.1633 -1.8194 -1.7103 -1.6680 0.3000 0.5068
19.0000 -2.6285 -2.1510 -1.8210 -1.7133 -1.6719 0.3000 0.5024
20.0000 -2.6150 -2.1398 -1.8235 -1.7145 -1.6713 0.3000 0.4998
21.0000 -2.5965 -2.1261 -1.8270 -1.7143 -1.6663 0.3000 0.4963
22.0000 -2.5732 -2.1133 -1.8322 -1.7129 -1.6575 0.3000 0.4920
23.0000 -2.5444 -2.1024 -1.8395 -1.7103 -1.6450 0.3000 0.4865
24.0000 -2.5451 -2.1050 -1.8482 -1.7110 -1.6399 0.3000 0.4831
25.0000 -2.5551 -2.1229 -1.8651 -1.7167 -1.6365 0.3000 0.4783
26.0000 -2.5601 -2.1375 -1.8830 -1.7250 -1.6340 0.3000 0.4734
27.0000 -2.5600 -2.1483 -1.9034 -1.7353 -1.6319 0.3000 0.4675
28.0000 -2.5510 -2.1497 -1.9202 -1.7421 -1.6300 0.3000 0.4617
29.0000 -2.5477 -2.1546 -1.9361 -1.7501 -1.6309 0.3000 0.4572
30.0000 -2.5551 -2.1672 -1.9565 -1.7616 -1.6347 0.3000 0.4525
31.0000 -2.5529 -2.1693 -1.9631 -1.7641 -1.6342 0.3000 0.4503
32.0000 -2.5437 -2.1642 -1.9625 -1.7610 -1.6293 0.3000 0.4489
33.0000 -2.5313 -2.1594 -1.9606 -1.7572 -1.6201 0.3000 0.4465
34.0000 -2.5164 -2.1579 -1.9559 -1.7546 -1.6073 0.3000 0.4440
35.0000 -2.4971 -2.1625 -1.9473 -1.7531 -1.5894 0.3000 0.4410
36.0000 -2.4796 -2.1717 -1.9389 -1.7520 -1.5729 0.3000 0.4384
37.0000 -2.4587 -2.1909 -1.9309 -1.7489 -1.5534 0.3000 0.4350
38.0000 -2.4481 -2.2064 -1.9296 -1.7455 -1.5433 0.3000 0.4329
39.0000 -2.4394 -2.2276 -1.9328 -1.7413 -1.5346 0.3000 0.4304
40.0000 -2.4373 -2.2401 -1.9375 -1.7399 -1.5314 0.3000 0.4290
41.0000 -2.4392 -2.2589 -1.9472 -1.7399 -1.5292 0.3000 0.4271
42.0000 -2.4455 -2.2812 -1.9607 -1.7397 -1.5272 0.3000 0.4248
43.0000 -2.4570 -2.3008 -1.9755 -1.7396 -1.5263 0.3000 0.4226
44.0000 -2.4761 -2.3176 -1.9929 -1.7381 -1.5254 0.3000 0.4201
45.0000 -2.4975 -2.3274 -2.0070 -1.7369 -1.5250 0.3000 0.4182
46.0000 -2.5170 -2.3329 -2.0180 -1.7359 -1.5251 0.3000 0.4167
47.0000 -2.5448 -2.3380 -2.0317 -1.7345 -1.5253 0.3000 0.4149
48.0000 -2.5810 -2.3426 -2.0481 -1.7328 -1.5260 0.3000 0.4128
49.0000 -2.6163 -2.3460 -2.0626 -1.7312 -1.5265 0.3000 0.4109
50.0000 -2.6461 -2.3489 -2.0742 -1.7304 -1.5274 0.3000 0.4094
51.0000 -2.6912 -2.3533 -2.0907 -1.7292 -1.5289 0.3000 0.4072
52.0000 -2.7501 -2.3594 -2.1095 -1.7278 -1.5308 0.3000 0.4046
53.0000 -2.7869 -2.3636 -2.1199 -1.7498 -1.7267 0.3000 0.4029
54.0000 -2.8140 -2.3671 -2.1270 -1.9208 -1.7970 0.3000 0.4015
55.0000 -2.8434 -2.3717 -2.1341 -1.9517 -1.9061 0.3000 0.4000
56.0000 -2.8720 -2.3767 -2.1400 -1.9456 -1.9284 0.3000 0.3986
57.0000 -2.8999 -2.3823 -2.3572 -2.2405 -2.1449 0.3000 0.3971
58.0000 -2.9303 -2.9096 -2.7103 -2.3889 -2.3027 0.3000 0.3956
59.0000 -3.8800 -3.3632 -2.9541 -2.6143 -2.3948 0.3000 0.3943
60.0000 -3.0705 -3.0218 -2.9786 -2.6787 -2.4594 0.3000 0.3931
61.0000 -3.0018 -2.4079 -2.1573 -2.1339 -1.9883 0.3000 0.3919
62.0000 -3.0243 -2.4148 -2.1587 -1.7237 -1.5358 0.3000 0.3908
63.0000 -3.0527 -2.4241 -2.1599 -1.7247 -1.5369 0.3000 0.3895
64.0000 -3.0829 -2.4347 -2.1606 -1.7260 -1.5381 0.3000 0.3881
65.0000 -3.1172 -2.4472 -2.1604 -1.7275 -1.5392 0.3000 0.3866
66.0000 -3.1443 -2.4575 -2.1596 -1.7287 -1.5398 0.3000 0.3853
67.0000 -3.1668 -2.4664 -2.1585 -1.7300 -1.5402 0.3000 0.3844
68.0000 -3.1923 -2.4769 -2.1569 -1.7316 -1.5408 0.3000 0.3833
69.0000 -3.1923 -2.4783 -2.1552 -1.7308 -1.5397 0.3000 0.3828
70.0000 -3.1926 -2.4801 -2.1526 -1.7295 -1.5382 0.3000 0.3820
71.0000 -3.1926 -2.4815 -2.1494 -1.7279 -1.5363 0.3000 0.3812
72.0000 -3.1925 -2.4826 -2.1465 -1.7266 -1.5346 0.3000 0.3805
73.0000 -3.1926 -2.4843 -2.1418 -1.7246 -1.5321 0.3000 0.3795
74.0000 -3.1926 -2.4858 -2.1369 -1.7225 -1.5295 0.3000 0.3785
75.0000 -3.1925 -2.4874 -2.1333 -1.7208 -1.5274 0.3000 0.3776
76.0000 -3.1925 -2.4890 -2.1300 -1.7192 -1.5254 0.3000 0.3767
77.0000 -3.1925 -2.4900 -2.1269 -1.7173 -1.5235 0.3000 0.3759
78.0000 -3.1924 -2.4906 -2.1244 -1.7157 -1.5219 0.3000 0.3752
79.0000 -3.1924 -2.4913 -2.1216 -1.7140 -1.5202 0.3000 0.3745
80.0000 -3.1924 -2.4920 -2.1185 -1.7117 -1.5181 0.3000 0.3737
81.0000 -3.1924 -2.4928 -2.1154 -1.7094 -1.5162 0.3000 0.3729
82.0000 -3.1924 -2.4935 -2.1127 -1.7074 -1.5144 0.3000 0.3723
83.0000 -3.1924 -2.4944 -2.1101 -1.7055 -1.5128 0.3000 0.3716
84.0000 -3.1923 -2.4950 -2.1084 -1.7043 -1.5116 0.3000 0.3711
85.0000 -3.1923 -2.4951 -2.1068 -1.7029 -1.5104 0.3000 0.3707
86.0000 -3.1923 -2.4948 -2.1055 -1.7016 -1.5094 0.3000 0.3704
87.0000 -3.1923 -2.4946 -2.1042 -1.7005 -1.5084 0.3000 0.3700
88.0000 -3.1923 -2.4941 -2.1014 -1.6982 -1.5062 0.3000 0.3693
89.0000 -3.1923 -2.4939 -2.0988 -1.6961 -1.5043 0.3000 0.3687
90.0000 -3.1924 -2.4936 -2.0954 -1.6936 -1.5018 0.3000 0.3679
91.0000 -3.1924 -2.4931 -2.0929 -1.6916 -1.4999 0.3000 0.3672
92.0000 -3.1923 -2.4927 -2.0910 -1.6902 -1.4985 0.3000 0.3668
93.0000 -3.1924 -2.4922 -2.0882 -1.6881 -1.4966 0.3000 0.3661
94.0000 -3.1923 -2.4916 -2.0859 -1.6863 -1.4950 0.3000 0.3655
95.0000 -3.1923 -2.4910 -2.0835 -1.6843 -1.4934 0.3000 0.3648
96.0000 -3.1923 -2.4906 -2.0821 -1.6831 -1.4925 0.3000 0.3645
97.0000 -3.1923 -2.4901 -2.0806 -1.6818 -1.4914 0.3000 0.3641
98.0000 -3.1923 -2.4897 -2.0794 -1.6808 -1.4906 0.3000 0.3638
99.0000 -3.1923 -2.4890 -2.0782 -1.6798 -1.4897 0.3000 0.3634
100.0000 -3.1923 -2.4881 -2.0768 -1.6786 -1.4886 0.3000 0.3629
101.0000 -3.1923 -2.4876 -2.0757 -1.6778 -1.4877 0.3000 0.3625
102.0000 -3.1923 -2.4871 -2.0745 -1.6770 -1.4869 0.3000 0.3622
103.0000 -3.1923 -2.4868 -2.0735 -1.6763 -1.4861 0.3000 0.3618
104.0000 -3.1923 -2.4864 -2.0725 -1.6755 -1.4852 0.3000 0.3615
105.0000 -3.1923 -2.4862 -2.0720 -1.6751 -1.4848 0.3000 0.3614
106.0000 -3.1923 -2.4855 -2.0711 -1.6742 -1.4839 0.3000 0.3611
107.0000 -3.1923 -2.4846 -2.0700 -1.6729 -1.4827 0.3000 0.3608
108.0000 -3.1923 -2.4834 -2.0688 -1.6717 -1.4815 0.3000 0.3605
109.0000 -3.1923 -2.4820 -2.0676 -1.6703 -1.4802 0.3000 0.3602
110.0000 -3.1923 -2.4805 -2.0664 -1.6688 -1.4789 0.3000 0.3599
111.0000 -3.1923 -2.4787 -2.0650 -1.6672 -1.4773 0.3000 0.3595
112.0000 -3.1923 -2.4771 -2.0638 -1.6657 -1.4759 0.3000 0.3592
113.0000 -3.1923 -2.4751 -2.0623 -1.6639 -1.4742 0.3000 0.3588
114.0000 -3.1923 -2.4732 -2.0610 -1.6624 -1.4726 0.3000 0.3584
115.0000 -3.1923 -2.4703 -2.0590 -1.6600 -1.4703 0.3000 0.3579
116.0000 -3.1923 -2.4682 -2.0575 -1.6583 -1.4686 0.3000 0.3575
117.0000 -3.1923 -2.4670 -2.0565 -1.6572 -1.4675 0.3000 0.3572
118.0000 -3.1923 -2.4654 -2.0554 -1.6559 -1.4661 0.3000 0.3569
119.0000 -3.1924 -2.4638 -2.0541 -1.6545 -1.4647 0.3000 0.3565
120.0000 -3.1923 -2.4629 -2.0534 -1.6536 -1.4638 0.3000 0.3563
121.0000 -3.1923 -2.4621 -2.0527 -1.6529 -1.4631 0.3000 0.3562
122.0000 -3.1923 -2.4611 -2.0520 -1.6519 -1.4623 0.3000 0.3560
123.0000 -3.1923 -2.4601 -2.0512 -1.6510 -1.4615 0.3000 0.3558
124.0000 -3.1923 -2.4591 -2.0506 -1.6501 -1.4607 0.3000 0.3556
125.0000 -3.1923 -2.4580 -2.0499 -1.6491 -1.4599 0.3000 0.3554
126.0000 -3.1923 -2.4567 -2.0489 -1.6478 -1.4588 0.3000 0.3552
127.0000 -3.1923 -2.4559 -2.0482 -1.6470 -1.4581 0.3000 0.3551
128.0000 -3.1923 -2.4550 -2.0475 -1.6460 -1.4574 0.3000 0.3549
129.0000 -3.1923 -2.4538 -2.0464 -1.6446 -1.4562 0.3000 0.3546
130.0000 -3.1923 -2.4531 -2.0456 -1.6436 -1.4555 0.3000 0.3545
131.0000 -3.1923 -2.4528 -2.0451 -1.6430 -1.4551 0.3000 0.3543
132.0000 -3.1923 -2.4524 -2.0443 -1.6421 -1.4545 0.3000 0.3542
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.31325
# penalization: 1.484
# initial densities: 1.0
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
