# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -7.0384 -4.9246 -4.1792 -3.4036 -2.9299 0.3000 0.5094
2.0000 -6.4039 -4.5764 -3.8685 -3.2350 -2.7764 0.3000 0.4902
3.0000 -4.9083 -3.7317 -3.1568 -2.7506 -2.4558 0.3000 0.4463
4.0000 -3.9337 -3.1374 -2.7156 -2.4132 -2.1796 0.3000 0.4181
5.0000 -3.0173 -2.5358 -2.2714 -2.0936 -1.9181 0.3000 0.3912
6.0000 -2.9115 -2.4564 -2.2075 -2.0434 -1.8812 0.3000 0.3876
7.0000 -2.8215 -2.3691 -2.1277 -1.9748 -1.8289 0.3000 0.3832
8.0000 -2.7586 -2.3038 -2.0635 -1.9161 -1.7825 0.3000 0.3797
9.0000 -2.7261 -2.2430 -1.9902 -1.8406 -1.7182 0.3000 0.3756
10.0000 -2.7172 -2.2244 -1.9667 -1.8132 -1.6922 0.3000 0.3741
11.0000 -2.6852 -2.1627 -1.8892 -1.7216 -1.6034 0.3000 0.3687
12.0000 -2.6581 -2.1109 -1.8225 -1.6426 -1.5258 0.3000 0.3638
13.0000 -2.5694 -1.9794 -1.6688 -1.4715 -1.3542 0.3000 0.3516
14.0000 -2.5595 -1.9633 -1.6493 -1.4501 -1.3311 0.3000 0.3498
15.0000 -2.5482 -1.9467 -1.6270 -1.4251 -1.3021 0.3000 0.3472
16.0000 -2.5359 -1.9304 -1.6065 -1.4023 -1.2755 0.3000 0.3449
17.0000 -2.5208 -1.9111 -1.5833 -1.3768 -1.2455 0.3000 0.3424
18.0000 -2.5111 -1.8877 -1.5547 -1.3438 -1.2046 0.3000 0.3390
19.0000 -2.4992 -1.8755 -1.5420 -1.3298 -1.1879 0.3000 0.3376
20.0000 -2.4945 -1.8665 -1.5329 -1.3183 -1.1713 0.3000 0.3359
21.0000 -2.4786 -1.8372 -1.5054 -1.2823 -1.1200 0.3000 0.3310
22.0000 -2.4719 -1.8287 -1.4982 -1.2737 -1.1091 0.3000 0.3299
23.0000 -2.4649 -1.8226 -1.4931 -1.2685 -1.1032 0.3000 0.3291
24.0000 -2.4438 -1.8060 -1.4791 -1.2552 -1.0881 0.3000 0.3268
25.0000 -2.4249 -1.7946 -1.4704 -1.2494 -1.0816 0.3000 0.3251
26.0000 -2.4214 -1.7928 -1.4698 -1.2497 -1.0811 0.3000 0.3246
27.0000 -2.4103 -1.7892 -1.4703 -1.2542 -1.0835 0.3000 0.3230
28.0000 -2.4002 -1.7876 -1.4729 -1.2612 -1.0885 0.3000 0.3215
29.0000 -2.3929 -1.7899 -1.4796 -1.2728 -1.0997 0.3000 0.3204
30.0000 -2.3910 -1.7862 -1.4754 -1.2681 -1.0942 0.3000 0.3201
31.0000 -2.3876 -1.7794 -1.4681 -1.2595 -1.0848 0.3000 0.3196
32.0000 -2.3850 -1.7734 -1.4617 -1.2522 -1.0773 0.3000 0.3191
33.0000 -2.3821 -1.7677 -1.4559 -1.2461 -1.0717 0.3000 0.3185
34.0000 -2.3795 -1.7625 -1.4507 -1.2402 -1.0664 0.3000 0.3180
35.0000 -2.3782 -1.7584 -1.4461 -1.2344 -1.0611 0.3000 0.3176
36.0000 -2.3757 -1.7523 -1.4399 -1.2264 -1.0538 0.3000 0.3171
37.0000 -2.3738 -1.7480 -1.4355 -1.2209 -1.0495 0.3000 0.3166
38.0000 -2.3734 -1.7478 -1.4352 -1.2215 -1.0510 0.3000 0.3161
39.0000 -2.3719 -1.7453 -1.4329 -1.2193 -1.0501 0.3000 0.3157
40.0000 -2.3703 -1.7444 -1.4325 -1.2207 -1.0533 0.3000 0.3150
41.0000 -2.3676 -1.7428 -1.4319 -1.2223 -1.0569 0.3000 0.3143
42.0000 -2.3631 -1.7401 -1.4308 -1.2241 -1.0616 0.3000 0.3135
43.0000 -2.3617 -1.7401 -1.4313 -1.2268 -1.0663 0.3000 0.3130
44.0000 -2.3590 -1.7385 -1.4305 -1.2277 -1.0687 0.3000 0.3124
45.0000 -2.3537 -1.7354 -1.4288 -1.2288 -1.0726 0.3000 0.3115
46.0000 -2.3499 -1.7330 -1.4274 -1.2290 -1.0747 0.3000 0.3109
47.0000 -2.3461 -1.7301 -1.4255 -1.2279 -1.0749 0.3000 0.3103
48.0000 -2.3410 -1.7261 -1.4228 -1.2262 -1.0747 0.3000 0.3097
49.0000 -2.3379 -1.7235 -1.4208 -1.2243 -1.0734 0.3000 0.3093
50.0000 -2.3312 -1.7170 -1.4157 -1.2181 -1.0678 0.3000 0.3084
51.0000 -2.3290 -1.7139 -1.4130 -1.2134 -1.0618 0.3000 0.3082
52.0000 -2.3275 -1.7122 -1.4115 -1.2110 -1.0590 0.3000 0.3081
53.0000 -2.3257 -1.7106 -1.4103 -1.2093 -1.0574 0.3000 0.3079
54.0000 -2.3242 -1.7092 -1.4092 -1.2080 -1.0562 0.3000 0.3077
55.0000 -2.3226 -1.7078 -1.4081 -1.2067 -1.0549 0.3000 0.3074
56.0000 -2.3213 -1.7066 -1.4072 -1.2056 -1.0538 0.3000 0.3072
57.0000 -2.3196 -1.7052 -1.4061 -1.2043 -1.0528 0.3000 0.3070
58.0000 -2.3180 -1.7038 -1.4052 -1.2031 -1.0520 0.3000 0.3067
59.0000 -2.3163 -1.7022 -1.4040 -1.2015 -1.0507 0.3000 0.3065
60.0000 -2.3149 -1.7009 -1.4029 -1.1999 -1.0493 0.3000 0.3062
61.0000 -2.3146 -1.7010 -1.4030 -1.2002 -1.0502 0.3000 0.3061
62.0000 -2.3140 -1.7009 -1.4030 -1.2006 -1.0513 0.3000 0.3059
63.0000 -2.3128 -1.7000 -1.4024 -1.1999 -1.0513 0.3000 0.3057
64.0000 -2.3105 -1.6982 -1.4011 -1.1983 -1.0509 0.3000 0.3054
65.0000 -2.3085 -1.6961 -1.3995 -1.1960 -1.0491 0.3000 0.3052
66.0000 -2.3072 -1.6950 -1.3988 -1.1950 -1.0489 0.3000 0.3050
67.0000 -2.3055 -1.6937 -1.3978 -1.1938 -1.0487 0.3000 0.3048
68.0000 -2.3041 -1.6926 -1.3970 -1.1928 -1.0486 0.3000 0.3046
69.0000 -2.3019 -1.6908 -1.3957 -1.1911 -1.0485 0.3000 0.3044
70.0000 -2.2995 -1.6888 -1.3944 -1.1893 -1.0485 0.3000 0.3041
71.0000 -2.2977 -1.6874 -1.3934 -1.1879 -1.0485 0.3000 0.3039
72.0000 -2.2945 -1.6857 -1.3926 -1.1872 -1.0501 0.3000 0.3036
73.0000 -2.2921 -1.6840 -1.3917 -1.1861 -1.0511 0.3000 0.3034
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.0
# penalization: 1.0
# initial densities: 1.0
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
