# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -4.2882 -3.9984 -3.5603 -3.4955 -3.1701 0.3000 0.8197
2.0000 -4.6021 -4.1010 -3.5120 -3.2884 -3.0001 0.3000 0.8919
3.0000 -3.0419 -2.8965 -2.6577 -2.4106 -2.3761 0.3000 0.8579
4.0000 -2.9735 -2.8483 -2.6373 -2.4186 -2.3836 0.3000 0.8956
5.0000 -2.9343 -2.7989 -2.6085 -2.4102 -2.3811 0.3000 0.9224
6.0000 -2.8782 -2.7613 -2.4780 -2.4067 -2.3985 0.3000 0.9611
7.0000 -2.8520 -2.7412 -2.5223 -2.4805 -2.4183 0.3000 0.9709
8.0000 -2.8321 -2.7262 -2.5143 -2.4778 -2.4260 0.3000 0.9780
9.0000 -2.7151 -2.6170 -2.5565 -2.4549 -2.4246 0.3000 0.9927
10.0000 -2.6960 -2.6407 -2.5639 -2.5059 -2.4653 0.3000 0.9944
11.0000 -2.6847 -2.6311 -2.5599 -2.4847 -2.4615 0.3000 0.9978
12.0000 -2.6767 -2.6234 -2.5398 -2.4784 -2.4467 0.3000 1.0050
13.0000 -2.6698 -2.6184 -2.5070 -2.4700 -2.4524 0.3000 1.0114
14.0000 -2.6624 -2.6129 -2.5988 -2.5063 -2.5017 0.3000 1.0236
15.0000 -2.6599 -2.6173 -2.5805 -2.5171 -2.4732 0.3000 1.0264
16.0000 -2.6540 -2.6122 -2.5544 -2.5087 -2.4693 0.3000 1.0326
17.0000 -2.6423 -2.6030 -2.5624 -2.5387 -2.4562 0.3000 1.0507
18.0000 -2.6383 -2.5986 -2.5533 -2.5308 -2.4466 0.3000 1.0540
19.0000 -2.6338 -2.5945 -2.5409 -2.5221 -2.4437 0.3000 1.0577
20.0000 -2.6285 -2.5898 -2.5321 -2.5175 -2.4424 0.3000 1.0607
21.0000 -2.6183 -2.5798 -2.5145 -2.5070 -2.4231 0.3000 1.0737
22.0000 -2.6075 -2.5679 -2.5584 -2.4928 -2.4181 0.3000 1.0809
23.0000 -2.6019 -2.5646 -2.5565 -2.4962 -2.4233 0.3000 1.0811
24.0000 -2.5983 -2.5620 -2.5522 -2.4988 -2.4334 0.3000 1.0835
25.0000 -2.5773 -2.5440 -2.5253 -2.4620 -2.4015 0.3000 1.0895
26.0000 -2.5732 -2.5391 -2.5244 -2.4585 -2.4013 0.3000 1.0888
27.0000 -2.5669 -2.5552 -2.5459 -2.4490 -2.3827 0.3000 1.0945
28.0000 -2.5633 -2.5603 -2.5435 -2.4554 -2.4117 0.3000 1.0975
29.0000 -2.5595 -2.5396 -2.5256 -2.4456 -2.4023 0.3000 1.0983
30.0000 -2.5558 -2.5355 -2.5235 -2.4325 -2.3969 0.3000 1.1041
31.0000 -2.5526 -2.5328 -2.5213 -2.4366 -2.4056 0.3000 1.1080
32.0000 -2.5433 -2.5246 -2.4951 -2.4552 -2.3969 0.3000 1.1149
33.0000 -2.5334 -2.5145 -2.4815 -2.4508 -2.3872 0.3000 1.1166
34.0000 -2.5277 -2.5135 -2.4574 -2.4420 -2.3905 0.3000 1.1195
35.0000 -2.5236 -2.5088 -2.4697 -2.4305 -2.3796 0.3000 1.1219
36.0000 -2.5212 -2.5072 -2.4685 -2.4290 -2.3747 0.3000 1.1253
37.0000 -2.5189 -2.5050 -2.4661 -2.4265 -2.3736 0.3000 1.1295
38.0000 -2.5165 -2.5025 -2.4641 -2.4253 -2.3735 0.3000 1.1327
39.0000 -2.5103 -2.4953 -2.4513 -2.4176 -2.3672 0.3000 1.1394
40.0000 -2.5045 -2.4907 -2.4494 -2.4192 -2.3909 0.3000 1.1526
41.0000 -2.5001 -2.4859 -2.4510 -2.4140 -2.3765 0.3000 1.1574
42.0000 -2.4973 -2.4832 -2.4468 -2.4108 -2.3677 0.3000 1.1600
43.0000 -2.4942 -2.4802 -2.4432 -2.4025 -2.3611 0.3000 1.1633
44.0000 -2.4903 -2.4766 -2.4453 -2.3781 -2.3534 0.3000 1.1640
45.0000 -2.4879 -2.4745 -2.4392 -2.3733 -2.3553 0.3000 1.1701
46.0000 -2.4860 -2.4725 -2.4342 -2.3742 -2.3661 0.3000 1.1739
47.0000 -2.4807 -2.4669 -2.4288 -2.3895 -2.3729 0.3000 1.1782
48.0000 -2.4788 -2.4651 -2.4264 -2.3877 -2.3730 0.3000 1.1801
49.0000 -2.4696 -2.4647 -2.4330 -2.3969 -2.3895 0.3000 1.1968
50.0000 -2.4718 -2.4411 -2.4317 -2.3687 -2.3303 0.3000 1.2003
51.0000 -2.4665 -2.4420 -2.4219 -2.3718 -2.3474 0.3000 1.2062
