# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -4.1532 -3.9137 -3.7848 -3.3067 -2.9261 0.3000 0.8122
2.0000 -4.0103 -3.8244 -3.6675 -3.2705 -2.9918 0.3000 0.8398
3.0000 -3.8169 -3.7141 -3.1983 -3.1784 -3.0174 0.3000 0.8813
4.0000 -3.7558 -3.6732 -3.1944 -3.1589 -2.9385 0.3000 0.8958
5.0000 -3.7141 -3.6433 -3.2458 -3.1309 -2.9529 0.3000 0.9069
6.0000 -3.6339 -3.5857 -3.1553 -3.0771 -3.0370 0.3000 0.9298
7.0000 -3.6020 -3.5626 -3.1320 -3.0549 -3.0437 0.3000 0.9387
8.0000 -3.5755 -3.5433 -3.1449 -3.0602 -3.0363 0.3000 0.9449
9.0000 -3.5516 -3.5259 -3.1813 -3.0847 -3.0194 0.3000 0.9491
10.0000 -3.5302 -3.5101 -3.2098 -3.1308 -3.0053 0.3000 0.9517
11.0000 -3.5110 -3.4958 -3.2366 -3.1823 -3.0384 0.3000 0.9532
12.0000 -3.4943 -3.4825 -3.2865 -3.1432 -3.0741 0.3000 0.9531
13.0000 -3.4562 -3.4265 -3.3688 -3.0967 -2.9589 0.3000 0.9477
14.0000 -3.4487 -3.4196 -3.2286 -2.9934 -2.9879 0.3000 0.9456
15.0000 -3.4342 -3.4132 -3.2399 -3.0501 -3.0186 0.3000 0.9503
16.0000 -3.4072 -3.4010 -3.3106 -3.2714 -3.1594 0.3000 0.9558
17.0000 -3.3974 -3.3909 -3.2914 -3.2194 -3.1997 0.3000 0.9572
18.0000 -3.3852 -3.3805 -3.2991 -3.2579 -3.2007 0.3000 0.9565
19.0000 -3.3715 -3.3657 -3.2809 -3.2465 -3.2125 0.3000 0.9480
20.0000 -3.3667 -3.3611 -3.2976 -3.2301 -3.2226 0.3000 0.9469
21.0000 -3.3624 -3.3381 -3.3275 -3.2125 -3.0970 0.3000 0.9310
22.0000 -3.3469 -3.3389 -3.3273 -3.1719 -3.0599 0.3000 0.9217
23.0000 -3.3356 -3.3286 -3.3215 -3.1969 -3.0886 0.3000 0.9243
24.0000 -3.3341 -3.3234 -3.3041 -3.1807 -3.0777 0.3000 0.9175
25.0000 -3.3334 -3.3225 -3.2876 -3.1709 -3.0675 0.3000 0.9102
26.0000 -3.3334 -3.3227 -3.2853 -3.1699 -3.0659 0.3000 0.9091
27.0000 -3.3334 -3.3230 -3.2820 -3.1685 -3.0634 0.3000 0.9075
28.0000 -3.3334 -3.3237 -3.2773 -3.1664 -3.0596 0.3000 0.9053
29.0000 -3.3334 -3.3239 -3.2757 -3.1658 -3.0583 0.3000 0.9046
30.0000 -3.3408 -3.3341 -3.2095 -3.2079 -3.1382 0.3000 0.8734
31.0000 -3.3336 -3.3324 -3.2172 -3.1904 -3.1272 0.3000 0.8721
32.0000 -3.3365 -3.3335 -3.2538 -3.1589 -3.0998 0.3000 0.8645
33.0000 -3.3333 -3.3316 -3.2480 -3.1399 -3.0913 0.3000 0.8606
34.0000 -3.3346 -3.3332 -3.2519 -3.1260 -3.0810 0.3000 0.8564
35.0000 -3.3339 -3.3331 -3.2001 -3.0971 -3.0555 0.3000 0.8521
36.0000 -3.3344 -3.3333 -3.1705 -3.0681 -3.0305 0.3000 0.8468
37.0000 -3.3334 -3.3323 -3.1386 -3.0511 -3.0187 0.3000 0.8438
38.0000 -3.3333 -3.3330 -3.1124 -3.0322 -3.0057 0.3000 0.8402
39.0000 -3.3346 -3.3333 -3.0783 -3.0054 -2.9870 0.3000 0.8357
40.0000 -3.3334 -3.3328 -3.0568 -2.9854 -2.9723 0.3000 0.8331
41.0000 -3.3340 -3.3333 -3.0321 -2.9703 -2.9439 0.3000 0.8288
42.0000 -3.3334 -3.3319 -3.0132 -2.9683 -2.9162 0.3000 0.8261
43.0000 -3.3334 -3.3312 -2.9893 -2.9690 -2.8754 0.3000 0.8217
44.0000 -3.3333 -3.3314 -2.9840 -2.9697 -2.8560 0.3000 0.8197
45.0000 -3.3334 -3.3322 -2.9790 -2.9711 -2.8295 0.3000 0.8161
46.0000 -3.3336 -3.3332 -2.9780 -2.9687 -2.8085 0.3000 0.8128
47.0000 -3.3337 -3.3332 -2.9789 -2.9616 -2.7933 0.3000 0.8105
48.0000 -3.3337 -3.3331 -2.9791 -2.9612 -2.7834 0.3000 0.8089
49.0000 -3.3334 -3.3325 -2.9795 -2.9650 -2.7741 0.3000 0.8074
50.0000 -3.3333 -3.3324 -2.9797 -2.9676 -2.7654 0.3000 0.8065
51.0000 -3.3333 -3.3324 -2.9804 -2.9727 -2.7522 0.3000 0.8053
52.0000 -3.3333 -3.3325 -2.9823 -2.9783 -2.7414 0.3000 0.8043
