# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -36.4704 -25.9683 -20.4744 -16.9303 -14.3853 0.3000 1.7245
2.0000 -31.8317 -23.4067 -18.9901 -15.9888 -13.7352 0.3000 1.6800
3.0000 -22.9745 -17.9680 -15.5020 -13.6167 -12.0592 0.3000 1.5877
4.0000 -17.3811 -14.1643 -12.7726 -11.5924 -10.5512 0.3000 1.5213
5.0000 -15.2231 -12.5368 -11.5051 -10.5900 -9.7673 0.3000 1.4907
6.0000 -14.8101 -12.0679 -11.1071 -10.2512 -9.4867 0.3000 1.4799
7.0000 -14.3971 -11.5610 -10.5762 -9.7906 -9.0964 0.3000 1.4647
8.0000 -13.7474 -10.6178 -9.4143 -8.7736 -8.2059 0.3000 1.4294
9.0000 -13.9048 -10.3929 -8.8797 -8.2411 -7.7040 0.3000 1.4090
10.0000 -14.3418 -10.4287 -8.6193 -7.8386 -7.3113 0.3000 1.3929
11.0000 -14.0975 -10.0534 -8.0903 -7.1379 -6.6454 0.3000 1.3650
12.0000 -13.4271 -9.6858 -7.8408 -6.8735 -6.3841 0.3000 1.3528
13.0000 -13.1522 -9.4945 -7.6960 -6.7159 -6.1980 0.3000 1.3445
14.0000 -13.1103 -9.4167 -7.5879 -6.5616 -5.9983 0.3000 1.3360
15.0000 -13.0595 -9.3555 -7.4955 -6.4315 -5.8308 0.3000 1.3288
16.0000 -12.9654 -9.2336 -7.3103 -6.1774 -5.5079 0.3000 1.3146
17.0000 -12.9292 -9.1796 -7.2372 -6.0893 -5.4033 0.3000 1.3101
18.0000 -12.8896 -9.1227 -7.1677 -6.0090 -5.3112 0.3000 1.3058
19.0000 -12.8565 -9.0805 -7.1148 -5.9451 -5.2341 0.3000 1.3014
20.0000 -12.8124 -9.0245 -7.0465 -5.8646 -5.1408 0.3000 1.2958
21.0000 -12.7711 -8.9731 -6.9858 -5.7952 -5.0635 0.3000 1.2907
22.0000 -12.7316 -8.9238 -6.9289 -5.7317 -4.9956 0.3000 1.2860
23.0000 -12.7039 -8.8884 -6.8886 -5.6878 -4.9503 0.3000 1.2829
24.0000 -12.6850 -8.8642 -6.8612 -5.6576 -4.9186 0.3000 1.2806
25.0000 -12.6596 -8.8322 -6.8258 -5.6195 -4.8794 0.3000 1.2775
26.0000 -12.6340 -8.8001 -6.7909 -5.5829 -4.8427 0.3000 1.2744
27.0000 -12.5998 -8.7573 -6.7451 -5.5357 -4.7963 0.3000 1.2704
28.0000 -12.5711 -8.7219 -6.7080 -5.4983 -4.7604 0.3000 1.2671
29.0000 -12.5360 -8.6786 -6.6631 -5.4539 -4.7186 0.3000 1.2634
30.0000 -12.5101 -8.6466 -6.6308 -5.4227 -4.6899 0.3000 1.2608
31.0000 -12.4734 -8.6016 -6.5856 -5.3799 -4.6512 0.3000 1.2575
32.0000 -12.4464 -8.5685 -6.5528 -5.3495 -4.6243 0.3000 1.2554
33.0000 -12.4108 -8.5247 -6.5102 -5.3110 -4.5912 0.3000 1.2529
34.0000 -12.3869 -8.4952 -6.4817 -5.2858 -4.5699 0.3000 1.2514
35.0000 -12.3635 -8.4663 -6.4539 -5.2615 -4.5498 0.3000 1.2501
36.0000 -12.3377 -8.4342 -6.4233 -5.2353 -4.5283 0.3000 1.2487
37.0000 -12.3128 -8.4034 -6.3945 -5.2107 -4.5082 0.3000 1.2475
38.0000 -12.2894 -8.3743 -6.3675 -5.1881 -4.4898 0.3000 1.2464
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.0
# penalization: 1.0
# initial densities: 0.5
# FEA MODEL DATA 
# material: {'Ex': 0.2, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
