# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -38.2498 -37.1720 -35.1787 -32.9117 -30.8412 0.3000 4.9288
2.0000 -28.8009 -28.4382 -27.5658 -25.9443 -25.1537 0.3000 3.8918
3.0000 -27.3140 -23.6782 -21.3468 -20.4044 -19.2100 0.3000 3.3102
4.0000 -26.8251 -22.6594 -17.4363 -16.4917 -15.3701 0.3000 2.9227
5.0000 -26.6300 -21.9015 -15.2766 -14.2738 -14.0772 0.3000 2.6495
6.0000 -26.5435 -21.2767 -13.8787 -13.3748 -12.7955 0.3000 2.4375
7.0000 -26.5014 -20.8051 -12.9392 -12.8522 -11.7805 0.3000 2.2886
8.0000 -26.4428 -20.4415 -12.4740 -12.2670 -11.0858 0.3000 2.1979
9.0000 -26.3454 -20.1266 -12.1703 -11.6399 -10.7862 0.3000 2.1350
10.0000 -26.1531 -19.6792 -11.7873 -10.8541 -10.4805 0.3000 2.0564
11.0000 -26.0047 -19.3280 -11.5384 -10.2878 -10.2232 0.3000 2.0032
12.0000 -25.8795 -19.0383 -11.3340 -10.1406 -9.5666 0.3000 1.9615
13.0000 -25.7802 -18.7827 -11.1624 -10.0285 -9.3817 0.3000 1.9254
14.0000 -25.6748 -18.5676 -11.0395 -9.9566 -9.2956 0.3000 1.8955
15.0000 -25.5448 -18.2675 -10.9032 -9.8863 -9.1671 0.3000 1.8553
16.0000 -25.4954 -18.0846 -10.8292 -9.8496 -9.0818 0.3000 1.8311
17.0000 -25.4144 -17.9032 -10.7614 -9.8131 -8.9887 0.3000 1.8059
18.0000 -25.3594 -17.7762 -10.7219 -9.7866 -8.9210 0.3000 1.7877
19.0000 -25.3069 -17.6422 -10.6875 -9.7552 -8.8570 0.3000 1.7718
20.0000 -25.2700 -17.5187 -10.6644 -9.7260 -8.7988 0.3000 1.7575
21.0000 -25.2529 -17.4324 -10.6556 -9.7080 -8.7578 0.3000 1.7471
22.0000 -25.2258 -17.3306 -10.6470 -9.6801 -8.7074 0.3000 1.7347
23.0000 -25.1867 -17.1814 -10.6385 -9.6354 -8.6339 0.3000 1.7163
24.0000 -25.1481 -17.0425 -10.6347 -9.5928 -8.5680 0.3000 1.6998
25.0000 -25.1553 -16.9688 -10.6321 -9.5723 -8.5383 0.3000 1.6923
26.0000 -25.1619 -16.9014 -10.6304 -9.5490 -8.5079 0.3000 1.6847
27.0000 -25.1575 -16.8632 -10.6314 -9.5340 -8.4822 0.3000 1.6789
28.0000 -25.1477 -16.8194 -10.6343 -9.5166 -8.4526 0.3000 1.6723
29.0000 -25.1468 -16.7964 -10.6386 -9.5077 -8.4305 0.3000 1.6675
30.0000 -25.1488 -16.7763 -10.6440 -9.5006 -8.4127 0.3000 1.6633
31.0000 -25.1462 -16.7561 -10.6520 -9.4944 -8.3955 0.3000 1.6591
32.0000 -25.1518 -16.7375 -10.6594 -9.4892 -8.3828 0.3000 1.6558
33.0000 -25.1554 -16.6992 -10.6715 -9.4780 -8.3600 0.3000 1.6500
34.0000 -25.1589 -16.6760 -10.6727 -9.4694 -8.3470 0.3000 1.6472
35.0000 -25.1780 -16.6303 -10.6746 -9.4540 -8.3269 0.3000 1.6426
36.0000 -25.1981 -16.5941 -10.6759 -9.4434 -8.3106 0.3000 1.6391
37.0000 -25.2105 -16.5789 -10.6765 -9.4400 -8.3036 0.3000 1.6375
38.0000 -25.2313 -16.5618 -10.6772 -9.4365 -8.2950 0.3000 1.6354
39.0000 -25.2586 -16.5415 -10.6784 -9.4331 -8.2841 0.3000 1.6326
40.0000 -25.2931 -16.5225 -10.6802 -9.4310 -8.2734 0.3000 1.6300
41.0000 -25.3333 -16.5029 -10.6820 -9.4298 -8.2627 0.3000 1.6274
42.0000 -25.4081 -16.4660 -10.6847 -9.4277 -8.2428 0.3000 1.6226
43.0000 -25.4406 -16.4451 -10.6854 -9.4256 -8.2325 0.3000 1.6200
44.0000 -25.4773 -16.4185 -10.6857 -9.4223 -8.2207 0.3000 1.6167
45.0000 -25.4927 -16.4027 -10.6859 -9.4204 -8.2134 0.3000 1.6148
46.0000 -25.5174 -16.3807 -10.6857 -9.4170 -8.2025 0.3000 1.6118
47.0000 -25.5302 -16.3709 -10.6841 -9.4141 -8.1951 0.3000 1.6099
48.0000 -25.5420 -16.3633 -10.6824 -9.4099 -8.1873 0.3000 1.6078
49.0000 -25.5526 -16.3553 -10.6815 -9.4071 -8.1799 0.3000 1.6059
50.0000 -25.5651 -16.3439 -10.6816 -9.4068 -8.1719 0.3000 1.6041
51.0000 -25.5771 -16.3349 -10.6820 -9.4077 -8.1664 0.3000 1.6028
52.0000 -25.5911 -16.3258 -10.6826 -9.4085 -8.1615 0.3000 1.6015
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.0
# penalization: 3.0
# initial densities: [0.9996 1.     0.9975 ... 0.     0.     0.0736]
# FEA MODEL DATA 
# material: {'Ex': 0.2, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
