# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -45.2221 -31.1071 -23.9090 -19.4874 -16.4529 0.3000 1.8685
2.0000 -34.7162 -25.5841 -20.8514 -17.6009 -15.1623 0.3000 1.7763
3.0000 -26.3567 -20.4742 -17.5764 -15.3783 -13.5937 0.3000 1.6912
4.0000 -19.4706 -15.8186 -14.2297 -12.8967 -11.7386 0.3000 1.6100
5.0000 -14.7150 -12.3472 -11.4864 -10.7023 -9.9967 0.3000 1.5443
6.0000 -14.2208 -11.8659 -11.0740 -10.3469 -9.6963 0.3000 1.5332
7.0000 -13.8774 -11.3368 -10.6014 -9.9188 -9.3198 0.3000 1.5187
8.0000 -13.7554 -10.9939 -10.1720 -9.5181 -8.9594 0.3000 1.5041
9.0000 -13.8379 -10.5852 -9.4272 -8.8319 -8.3150 0.3000 1.4776
10.0000 -13.6508 -10.2575 -8.9156 -8.3617 -7.8710 0.3000 1.4609
11.0000 -13.5472 -9.9408 -8.4064 -7.8093 -7.3413 0.3000 1.4413
12.0000 -13.4775 -9.7529 -8.0928 -7.3064 -6.8548 0.3000 1.4227
13.0000 -13.3325 -9.5661 -7.8210 -6.8996 -6.4371 0.3000 1.4068
14.0000 -13.1437 -9.4522 -7.6669 -6.6496 -6.1491 0.3000 1.3955
15.0000 -13.1914 -9.4244 -7.5312 -6.4154 -5.8111 0.3000 1.3828
16.0000 -13.0775 -9.3126 -7.3936 -6.2604 -5.6003 0.3000 1.3747
17.0000 -12.9582 -9.2113 -7.2845 -6.1513 -5.4741 0.3000 1.3692
18.0000 -12.8873 -9.1392 -7.2002 -6.0665 -5.3850 0.3000 1.3645
19.0000 -12.8457 -9.0915 -7.1317 -5.9808 -5.2842 0.3000 1.3589
20.0000 -12.8098 -9.0574 -7.0783 -5.9097 -5.2010 0.3000 1.3526
21.0000 -12.7669 -9.0155 -7.0146 -5.8258 -5.1082 0.3000 1.3450
22.0000 -12.7153 -8.9658 -6.9412 -5.7302 -5.0090 0.3000 1.3362
23.0000 -12.6694 -8.9271 -6.8900 -5.6659 -4.9440 0.3000 1.3285
24.0000 -12.6250 -8.8904 -6.8455 -5.6124 -4.8913 0.3000 1.3219
25.0000 -12.6098 -8.8731 -6.8260 -5.5895 -4.8698 0.3000 1.3201
26.0000 -12.5843 -8.8436 -6.7933 -5.5523 -5.3242 0.3000 1.3173
27.0000 -12.5592 -8.8172 -6.7655 -5.5227 -4.8433 0.3000 1.3142
28.0000 -12.5335 -8.7917 -6.7412 -5.5000 -4.7854 0.3000 1.3109
29.0000 -12.5073 -8.7639 -6.7152 -5.4770 -4.7650 0.3000 1.3080
30.0000 -12.4763 -8.7307 -6.6855 -5.4530 -5.0351 0.3000 1.3049
31.0000 -12.4481 -8.7013 -6.6557 -5.4248 -5.3984 0.3000 1.3023
32.0000 -12.4215 -8.6722 -6.6279 -5.4008 -4.6998 0.3000 1.3001
33.0000 -12.3876 -8.6332 -6.5911 -5.3692 -4.9537 0.3000 1.2976
34.0000 -12.3558 -8.5947 -6.5552 -5.3389 -4.6490 0.3000 1.2956
35.0000 -12.3323 -8.5655 -6.5281 -5.3168 -4.6317 0.3000 1.2942
36.0000 -12.3136 -8.5400 -6.5052 -5.2996 -4.6192 0.3000 1.2931
37.0000 -12.2775 -8.4902 -6.4627 -5.2707 -4.5999 0.3000 1.2915
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.0
# penalization: 1.0
# initial densities: 1.0
# FEA MODEL DATA 
# material: {'Ex': 0.2, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
