# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -8.1091 -4.8979 -3.0106 -2.5155 -2.4939 0.3000 0.4623
2.0000 -7.9823 -4.8613 -2.9874 -2.4815 -2.4762 0.3000 0.4617
3.0000 -7.9047 -4.8395 -2.9735 -2.4652 -2.4387 0.3000 0.4603
4.0000 -7.7661 -4.8003 -2.9486 -2.4454 -2.3530 0.3000 0.4577
5.0000 -7.5930 -4.7503 -2.9168 -2.4205 -2.2439 0.3000 0.4547
6.0000 -7.4015 -4.6933 -2.8806 -2.3925 -2.1208 0.3000 0.4515
7.0000 -7.2181 -4.6374 -2.8448 -2.3653 -2.0360 0.3000 0.4485
8.0000 -7.0179 -4.5742 -2.8048 -2.3350 -2.0170 0.3000 0.4454
9.0000 -6.8422 -4.5143 -2.7682 -2.3070 -2.0001 0.3000 0.4424
10.0000 -6.7893 -4.4932 -2.7566 -2.2975 -1.9946 0.3000 0.4407
11.0000 -6.7661 -4.4794 -2.7504 -2.2915 -1.9915 0.3000 0.4392
12.0000 -6.7296 -4.4547 -2.7393 -2.2815 -1.9865 0.3000 0.4368
13.0000 -6.7198 -4.4365 -2.7334 -2.2753 -1.9839 0.3000 0.4344
14.0000 -6.7142 -4.4178 -2.7273 -2.2697 -1.9815 0.3000 0.4317
15.0000 -6.7184 -4.4068 -2.7241 -2.2666 -1.9802 0.3000 0.4299
16.0000 -6.7137 -4.3935 -2.7188 -2.2624 -1.9784 0.3000 0.4281
17.0000 -6.7070 -4.3803 -2.7133 -2.2581 -1.9767 0.3000 0.4265
18.0000 -6.7125 -4.3745 -2.7116 -2.2568 -1.9770 0.3000 0.4253
19.0000 -6.7269 -4.3696 -2.7111 -2.2563 -1.9783 0.3000 0.4237
20.0000 -6.7495 -4.3696 -2.7135 -2.2577 -1.9805 0.3000 0.4222
21.0000 -6.7772 -4.3718 -2.7171 -2.2598 -1.9827 0.3000 0.4209
22.0000 -6.8013 -4.3742 -2.7200 -2.2614 -1.9842 0.3000 0.4198
