# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -9.3477 -5.2351 -3.2275 -2.6543 -2.6155 0.3000 0.4615
2.0000 -9.3149 -5.2244 -3.2206 -2.6485 -2.5658 0.3000 0.4602
3.0000 -9.2241 -5.1923 -3.2014 -2.6319 -2.4237 0.3000 0.4567
4.0000 -9.0940 -5.1456 -3.1737 -2.6081 -2.2184 0.3000 0.4517
5.0000 -8.9288 -5.0847 -3.1380 -2.5779 -2.1690 0.3000 0.4455
6.0000 -8.7861 -5.0306 -3.1062 -2.5516 -2.1475 0.3000 0.4401
7.0000 -8.6911 -4.9936 -3.0844 -2.5338 -2.1330 0.3000 0.4365
8.0000 -8.5815 -4.9489 -3.0583 -2.5128 -2.1163 0.3000 0.4326
9.0000 -8.4289 -4.8835 -3.0198 -2.4832 -2.0932 0.3000 0.4270
10.0000 -8.3677 -4.8570 -3.0045 -2.4717 -2.0843 0.3000 0.4247
11.0000 -8.3281 -4.8423 -2.9959 -2.4648 -2.0791 0.3000 0.4234
12.0000 -8.3038 -4.8344 -2.9908 -2.4608 -2.0765 0.3000 0.4226
13.0000 -8.2809 -4.8267 -2.9854 -2.4571 -2.0742 0.3000 0.4218
14.0000 -8.2657 -4.8203 -2.9818 -2.4544 -2.0726 0.3000 0.4211
15.0000 -8.2453 -4.8098 -2.9769 -2.4502 -2.0702 0.3000 0.4201
16.0000 -8.2271 -4.7998 -2.9723 -2.4463 -2.0680 0.3000 0.4192
17.0000 -8.2071 -4.7880 -2.9666 -2.4419 -2.0653 0.3000 0.4182
18.0000 -8.1892 -4.7780 -2.9610 -2.4379 -2.0631 0.3000 0.4173
19.0000 -8.1702 -4.7685 -2.9550 -2.4338 -2.0609 0.3000 0.4164
20.0000 -8.1591 -4.7634 -2.9514 -2.4314 -2.0596 0.3000 0.4160
21.0000 -8.1429 -4.7560 -2.9461 -2.4279 -2.0577 0.3000 0.4153
22.0000 -8.1258 -4.7487 -2.9405 -2.4244 -2.0558 0.3000 0.4145
23.0000 -8.1108 -4.7426 -2.9358 -2.4213 -2.0541 0.3000 0.4139
24.0000 -8.1028 -4.7395 -2.9336 -2.4199 -2.0533 0.3000 0.4136
25.0000 -8.0853 -4.7323 -2.9289 -2.4168 -2.0516 0.3000 0.4129
26.0000 -8.0586 -4.7203 -2.9213 -2.4118 -2.0489 0.3000 0.4119
27.0000 -8.0292 -4.7065 -2.9127 -2.4063 -2.0460 0.3000 0.4108
28.0000 -8.0076 -4.6947 -2.9058 -2.4020 -2.0438 0.3000 0.4100
29.0000 -7.9845 -4.6819 -2.8983 -2.3974 -2.0415 0.3000 0.4091
30.0000 -7.9692 -4.6727 -2.8934 -2.3943 -2.0400 0.3000 0.4085
31.0000 -7.9477 -4.6603 -2.8867 -2.3903 -2.0380 0.3000 0.4077
32.0000 -7.9319 -4.6509 -2.8814 -2.3872 -2.0365 0.3000 0.4072
33.0000 -7.9070 -4.6359 -2.8733 -2.3823 -2.0342 0.3000 0.4063
34.0000 -7.8989 -4.6309 -2.8706 -2.3806 -2.0334 0.3000 0.4060
35.0000 -7.8884 -4.6243 -2.8669 -2.3783 -2.0325 0.3000 0.4057
36.0000 -7.8563 -4.6050 -2.8562 -2.3714 -2.0297 0.3000 0.4046
37.0000 -7.8416 -4.5968 -2.8517 -2.3683 -2.0285 0.3000 0.4042
38.0000 -7.8018 -4.5750 -2.8394 -2.3599 -2.0254 0.3000 0.4030
39.0000 -7.7741 -4.5608 -2.8313 -2.3542 -2.0234 0.3000 0.4022
40.0000 -7.7538 -4.5508 -2.8252 -2.3502 -2.0219 0.3000 0.4016
41.0000 -7.7386 -4.5437 -2.8209 -2.3474 -2.0208 0.3000 0.4012
42.0000 -7.7147 -4.5332 -2.8144 -2.3433 -2.0191 0.3000 0.4006
43.0000 -7.6967 -4.5250 -2.8093 -2.3401 -2.0179 0.3000 0.4001
44.0000 -7.6874 -4.5206 -2.8066 -2.3383 -2.0173 0.3000 0.3998
45.0000 -7.6703 -4.5128 -2.8016 -2.3351 -2.0162 0.3000 0.3993
46.0000 -7.6584 -4.5080 -2.7985 -2.3328 -2.0155 0.3000 0.3989
47.0000 -7.6518 -4.5053 -2.7970 -2.3314 -2.0151 0.3000 0.3987
48.0000 -7.6448 -4.5027 -2.7955 -2.3300 -2.0147 0.3000 0.3985
49.0000 -7.6401 -4.5008 -2.7945 -2.3289 -2.0143 0.3000 0.3983
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.0
# penalization: 3.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
