# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -8.3885 -6.2000 -4.6213 -4.2828 -3.9520 0.3000 0.7065
2.0000 -7.9949 -5.9835 -4.4701 -4.1652 -3.8773 0.3000 0.7037
3.0000 -7.9310 -5.9162 -4.4260 -4.1145 -3.8281 0.3000 0.7001
4.0000 -7.8125 -5.7921 -4.3535 -4.0264 -3.7408 0.3000 0.6931
5.0000 -7.6791 -5.6574 -4.2823 -3.9362 -3.6498 0.3000 0.6862
6.0000 -7.5443 -5.5089 -4.2073 -3.8396 -3.5491 0.3000 0.6786
7.0000 -7.4237 -5.3688 -4.1363 -3.7524 -3.4622 0.3000 0.6714
8.0000 -7.3669 -5.2888 -4.0957 -3.7020 -3.4112 0.3000 0.6664
9.0000 -7.3777 -5.2618 -4.0827 -3.6813 -3.3839 0.3000 0.6625
10.0000 -7.3786 -5.2306 -4.0662 -3.6607 -3.3562 0.3000 0.6588
11.0000 -7.4091 -5.2224 -4.0637 -3.6526 -3.3395 0.3000 0.6559
12.0000 -7.4287 -5.1994 -4.0532 -3.6370 -3.3128 0.3000 0.6517
13.0000 -7.4182 -5.1690 -4.0370 -3.6191 -3.2876 0.3000 0.6484
14.0000 -7.4012 -5.1365 -4.0202 -3.6010 -3.2617 0.3000 0.6450
15.0000 -7.3961 -5.1177 -4.0108 -3.5920 -3.2469 0.3000 0.6427
16.0000 -7.4046 -5.1055 -4.0054 -3.5882 -3.2366 0.3000 0.6402
17.0000 -7.4027 -5.0917 -3.9978 -3.5841 -3.2289 0.3000 0.6382
18.0000 -7.3973 -5.0720 -3.9878 -3.5783 -3.2186 0.3000 0.6355
19.0000 -7.3949 -5.0561 -3.9791 -3.5742 -3.2107 0.3000 0.6331
20.0000 -7.4010 -5.0541 -3.9771 -3.5745 -3.2089 0.3000 0.6322
21.0000 -7.4188 -5.0535 -3.9725 -3.5777 -3.2059 0.3000 0.6299
22.0000 -7.4219 -5.0497 -3.9685 -3.5777 -3.2030 0.3000 0.6286
23.0000 -7.4284 -5.0469 -3.9645 -3.5789 -3.2003 0.3000 0.6270
24.0000 -7.4358 -5.0468 -3.9625 -3.5806 -3.1996 0.3000 0.6260
25.0000 -7.4408 -5.0475 -3.9614 -3.5817 -3.1992 0.3000 0.6254
26.0000 -7.4568 -5.0494 -3.9568 -3.5853 -3.1978 0.3000 0.6234
27.0000 -7.4688 -5.0508 -3.9524 -3.5883 -3.1966 0.3000 0.6217
28.0000 -7.4780 -5.0519 -3.9493 -3.5903 -3.1959 0.3000 0.6204
29.0000 -7.4854 -5.0533 -3.9461 -3.5927 -3.1959 0.3000 0.6193
30.0000 -7.4918 -5.0559 -3.9442 -3.5955 -3.1971 0.3000 0.6184
31.0000 -7.4945 -5.0566 -3.9433 -3.5966 -3.1973 0.3000 0.6180
32.0000 -7.5033 -5.0593 -3.9421 -3.5996 -3.1983 0.3000 0.6173
33.0000 -7.5080 -5.0604 -3.9409 -3.6012 -3.1986 0.3000 0.6167
34.0000 -7.5113 -5.0617 -3.9395 -3.6026 -3.1987 0.3000 0.6162
35.0000 -7.5163 -5.0637 -3.9367 -3.6049 -3.1989 0.3000 0.6152
36.0000 -7.5213 -5.0658 -3.9354 -3.6068 -3.1998 0.3000 0.6147
37.0000 -7.5277 -5.0695 -3.9349 -3.6092 -3.2013 0.3000 0.6143
38.0000 -7.5371 -5.0755 -3.9339 -3.6133 -3.2040 0.3000 0.6136
39.0000 -7.5489 -5.0832 -3.9325 -3.6185 -3.2076 0.3000 0.6128
40.0000 -7.5628 -5.0931 -3.9306 -3.6251 -3.2122 0.3000 0.6118
41.0000 -7.5671 -5.0955 -3.9302 -3.6270 -3.2135 0.3000 0.6115
42.0000 -7.5732 -5.0978 -3.9297 -3.6296 -3.2150 0.3000 0.6111
43.0000 -7.5762 -5.0985 -3.9295 -3.6308 -3.2158 0.3000 0.6108
44.0000 -7.5813 -5.0998 -3.9291 -3.6328 -3.2170 0.3000 0.6105
45.0000 -7.5900 -5.1019 -3.9283 -3.6365 -3.2192 0.3000 0.6098
46.0000 -7.5929 -5.1029 -3.9280 -3.6380 -3.2201 0.3000 0.6095
47.0000 -7.5966 -5.1044 -3.9278 -3.6394 -3.2213 0.3000 0.6092
48.0000 -7.6099 -5.1093 -3.9271 -3.6443 -3.2256 0.3000 0.6081
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.1253
# penalization: 3.0
# initial densities: [0.3467 0.298  0.238  ... 0.     0.     0.    ]
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 0.2, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
