# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -26.5404 -16.9204 -10.7169 -9.6320 -8.3400 0.3000 1.7134
2.0000 -26.4956 -16.9229 -10.7138 -9.6265 -8.3356 0.3000 1.7095
3.0000 -26.4180 -16.9291 -10.7091 -9.6134 -8.3305 0.3000 1.7037
4.0000 -26.3873 -16.9243 -10.7077 -9.6076 -8.3274 0.3000 1.7013
5.0000 -26.3033 -16.9030 -10.7039 -9.5923 -8.3158 0.3000 1.6941
6.0000 -26.0693 -16.8312 -10.6945 -9.5482 -8.2819 0.3000 1.6747
7.0000 -26.0143 -16.8048 -10.6899 -9.5332 -8.2690 0.3000 1.6679
8.0000 -25.9675 -16.7729 -10.6839 -9.5167 -8.2557 0.3000 1.6610
9.0000 -25.9657 -16.7631 -10.6819 -9.5118 -8.2523 0.3000 1.6588
10.0000 -25.9541 -16.7218 -10.6743 -9.4921 -8.2381 0.3000 1.6504
11.0000 -25.9462 -16.6780 -10.6681 -9.4726 -8.2258 0.3000 1.6432
12.0000 -25.9424 -16.6438 -10.6649 -9.4594 -8.2187 0.3000 1.6386
13.0000 -25.9419 -16.6125 -10.6624 -9.4493 -8.2118 0.3000 1.6348
14.0000 -25.9394 -16.5837 -10.6603 -9.4409 -8.2054 0.3000 1.6315
15.0000 -25.9401 -16.5707 -10.6599 -9.4379 -8.2025 0.3000 1.6300
16.0000 -25.9420 -16.5525 -10.6587 -9.4328 -8.1978 0.3000 1.6277
17.0000 -25.9346 -16.5350 -10.6575 -9.4277 -8.1929 0.3000 1.6253
18.0000 -25.9277 -16.5256 -10.6563 -9.4234 -8.1909 0.3000 1.6237
19.0000 -25.9206 -16.5197 -10.6547 -9.4190 -8.1902 0.3000 1.6224
20.0000 -25.9200 -16.5171 -10.6532 -9.4166 -8.1905 0.3000 1.6216
21.0000 -25.9214 -16.5151 -10.6522 -9.4162 -8.1905 0.3000 1.6212
22.0000 -25.9251 -16.5100 -10.6494 -9.4159 -8.1901 0.3000 1.6202
23.0000 -25.9214 -16.5040 -10.6455 -9.4160 -8.1884 0.3000 1.6187
24.0000 -25.9040 -16.4973 -10.6407 -9.4150 -8.1855 0.3000 1.6170
25.0000 -25.8842 -16.4964 -10.6382 -9.4153 -8.1828 0.3000 1.6155
26.0000 -25.8612 -16.4990 -10.6355 -9.4147 -8.1802 0.3000 1.6141
27.0000 -25.8402 -16.5022 -10.6332 -9.4128 -8.1788 0.3000 1.6129
28.0000 -25.8185 -16.5059 -10.6308 -9.4103 -8.1782 0.3000 1.6115
29.0000 -25.8001 -16.5100 -10.6287 -9.4077 -8.1791 0.3000 1.6099
30.0000 -25.7975 -16.5102 -10.6283 -9.4078 -8.1790 0.3000 1.6094
31.0000 -25.7924 -16.5114 -10.6278 -9.4085 -8.1786 0.3000 1.6083
32.0000 -25.7929 -16.5092 -10.6277 -9.4105 -8.1774 0.3000 1.6074
33.0000 -25.7969 -16.5031 -10.6277 -9.4148 -8.1750 0.3000 1.6058
34.0000 -25.8060 -16.4943 -10.6276 -9.4201 -8.1723 0.3000 1.6042
35.0000 -25.8152 -16.4867 -10.6272 -9.4242 -8.1709 0.3000 1.6027
36.0000 -25.8189 -16.4850 -10.6268 -9.4254 -8.1708 0.3000 1.6017
37.0000 -25.8228 -16.4844 -10.6263 -9.4266 -8.1709 0.3000 1.6008
38.0000 -25.8237 -16.4879 -10.6262 -9.4271 -8.1709 0.3000 1.6002
39.0000 -25.8239 -16.4950 -10.6263 -9.4284 -8.1702 0.3000 1.5991
40.0000 -25.8252 -16.4991 -10.6266 -9.4293 -8.1694 0.3000 1.5988
41.0000 -25.8257 -16.5102 -10.6275 -9.4317 -8.1672 0.3000 1.5980
42.0000 -25.8204 -16.5213 -10.6286 -9.4343 -8.1649 0.3000 1.5975
43.0000 -25.8135 -16.5295 -10.6295 -9.4365 -8.1635 0.3000 1.5971
44.0000 -25.8028 -16.5381 -10.6305 -9.4390 -8.1625 0.3000 1.5968
45.0000 -25.7918 -16.5443 -10.6314 -9.4407 -8.1624 0.3000 1.5966
46.0000 -25.7855 -16.5469 -10.6318 -9.4414 -8.1624 0.3000 1.5965
47.0000 -25.7676 -16.5526 -10.6330 -9.4427 -8.1629 0.3000 1.5962
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.0
# penalization: 3.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 0.2, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
