# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -3.1629 -0.7720 -0.5906 -0.5116 -0.4916 0.3000 249.8599
2.0000 -3.8218 -0.9992 -0.6126 -0.4922 -0.4438 0.3000 207.0796
3.0000 -5.0918 -1.1678 -0.6674 -0.5081 -0.4880 0.3000 187.5146
4.0000 -6.6399 -1.4440 -0.7550 -0.5407 -0.4654 0.3000 172.7994
5.0000 -8.3265 -1.7434 -0.8450 -0.5894 -0.4852 0.3000 161.6401
6.0000 -9.9581 -2.0032 -0.9182 -0.6182 -0.4942 0.3000 152.4449
7.0000 -11.1572 -2.0833 -0.9351 -0.6210 -0.4949 0.3000 146.6124
8.0000 -12.1359 -2.0743 -0.9280 -0.6188 -0.4942 0.3000 142.7575
9.0000 -12.7658 -2.0258 -0.9061 -0.6127 -0.4912 0.3000 140.1818
10.0000 -12.9994 -2.0200 -0.8967 -0.6079 -0.4904 0.3000 139.2049
11.0000 -13.1546 -2.0112 -0.8937 -0.6032 -0.4902 0.3000 138.5641
12.0000 -13.3094 -1.9986 -0.8863 -0.5974 -0.4901 0.3000 138.0508
13.0000 -13.3966 -1.9931 -0.8828 -0.5935 -0.4894 0.3000 137.6546
14.0000 -13.4136 -1.9912 -0.8841 -0.5934 -0.4895 0.3000 137.5870
15.0000 -13.4284 -1.9877 -0.8854 -0.5934 -0.4897 0.3000 137.5390
16.0000 -13.4499 -1.9836 -0.8869 -0.5932 -0.4899 0.3000 137.4967
17.0000 -13.4670 -1.9813 -0.8874 -0.5928 -0.4899 0.3000 137.4787
18.0000 -13.4976 -1.9778 -0.8882 -0.5920 -0.4898 0.3000 137.4536
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.0
# penalization: 1.484
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
