# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -3.0493 -0.7202 -0.5527 -0.5104 -0.4863 0.3000 256.2710
2.0000 -3.9622 -0.9605 -0.5811 -0.5066 -0.4822 0.3000 221.8700
3.0000 -5.0688 -1.0286 -0.6016 -0.5537 -0.5023 0.3000 193.4241
4.0000 -6.7162 -1.4456 -0.7348 -0.5414 -0.4521 0.3000 177.0550
5.0000 -7.6716 -1.6128 -0.7913 -0.5548 -0.4574 0.3000 164.0847
6.0000 -9.3652 -1.7713 -0.8539 -0.5655 -0.4586 0.3000 152.4012
7.0000 -10.8424 -1.8381 -0.8794 -0.5749 -0.4636 0.3000 146.5218
8.0000 -12.2641 -1.8966 -0.8945 -0.5865 -0.4699 0.3000 142.2331
9.0000 -12.9267 -1.9219 -0.8924 -0.5865 -0.4722 0.3000 140.0764
10.0000 -13.2242 -1.9347 -0.8919 -0.5837 -0.4716 0.3000 139.0292
11.0000 -13.4329 -1.9315 -0.8903 -0.5807 -0.4700 0.3000 138.3471
12.0000 -13.4954 -1.9275 -0.8841 -0.5792 -0.4693 0.3000 137.9199
13.0000 -13.4937 -1.9357 -0.8796 -0.5765 -0.4686 0.3000 137.6058
14.0000 -13.5118 -1.9381 -0.8802 -0.5762 -0.4684 0.3000 137.5365
15.0000 -13.5137 -1.9393 -0.8804 -0.5760 -0.4683 0.3000 137.5136
16.0000 -13.5122 -1.9418 -0.8805 -0.5756 -0.4680 0.3000 137.4783
17.0000 -13.5130 -1.9426 -0.8801 -0.5751 -0.4678 0.3000 137.4599
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.074
# penalization: 1.484
# initial densities: 1.0
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 2000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
