# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.8625 -0.4995 -0.4303 -0.3919 -0.3388 0.3000 256.2710
2.0000 -1.0598 -0.3431 -0.2910 -0.2901 -0.2886 0.3000 221.8700
3.0000 -1.2653 -0.3204 -0.3079 -0.2661 -0.2660 0.3000 193.4241
4.0000 -1.5717 -0.3743 -0.2995 -0.2292 -0.2127 0.3000 177.0550
5.0000 -1.7344 -0.3978 -0.2905 -0.2230 -0.2058 0.3000 164.0847
6.0000 -2.0298 -0.4204 -0.2871 -0.2233 -0.2038 0.3000 152.4012
7.0000 -2.2957 -0.4348 -0.2882 -0.2272 -0.2046 0.3000 146.5218
8.0000 -2.5543 -0.4469 -0.2913 -0.2323 -0.2068 0.3000 142.2331
9.0000 -2.6736 -0.4502 -0.2954 -0.2351 -0.2095 0.3000 140.0764
10.0000 -2.7266 -0.4507 -0.2990 -0.2372 -0.2116 0.3000 139.0292
11.0000 -2.7633 -0.4493 -0.3022 -0.2390 -0.2134 0.3000 138.3471
12.0000 -2.7959 -0.4469 -0.3054 -0.2404 -0.2150 0.3000 137.8051
13.0000 -2.8102 -0.4465 -0.3063 -0.2408 -0.2154 0.3000 137.5450
14.0000 -2.8135 -0.4464 -0.3064 -0.2409 -0.2155 0.3000 137.5088
15.0000 -2.8177 -0.4463 -0.3064 -0.2409 -0.2156 0.3000 137.4716
16.0000 -2.8196 -0.4461 -0.3065 -0.2410 -0.2157 0.3000 137.4563
17.0000 -2.8225 -0.4459 -0.3070 -0.2412 -0.2159 0.3000 137.4376
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.074
# penalization: 1.484
# initial densities: 1.0
# FEA MODEL DATA 
# material: {'Ex': 2000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
