# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -16.8719 -11.6418 -9.7810 -7.2598 -6.2967 0.3000 1.5318
2.0000 -16.4306 -11.5447 -9.8158 -7.2021 -6.2504 0.3000 1.5216
3.0000 -15.5975 -11.3444 -9.9009 -7.0736 -6.1628 0.3000 1.4991
4.0000 -14.8924 -11.1431 -10.0011 -6.9189 -6.0854 0.3000 1.4717
5.0000 -14.6775 -11.0710 -10.0475 -6.8450 -6.0714 0.3000 1.4583
6.0000 -14.6136 -11.0455 -10.0675 -6.8121 -6.0697 0.3000 1.4519
7.0000 -14.5930 -11.0346 -10.0739 -6.7972 -6.0679 0.3000 1.4486
8.0000 -14.5848 -11.0249 -10.0801 -6.7834 -6.0657 0.3000 1.4452
9.0000 -14.5952 -11.0203 -10.0885 -6.7733 -6.0660 0.3000 1.4421
10.0000 -14.6175 -11.0187 -10.0979 -6.7647 -6.0678 0.3000 1.4396
11.0000 -14.6385 -11.0205 -10.1059 -6.7604 -6.0705 0.3000 1.4379
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.0
# penalization: 1.484
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 0.2, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
