# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -12.4216 -9.4868 -8.2782 -8.2479 -6.0831 0.3000 1.5441
2.0000 -9.4478 -8.2547 -6.8882 -6.7448 -6.0410 0.3000 1.6167
3.0000 -9.4331 -8.2470 -6.8974 -6.7522 -6.0630 0.3000 1.6172
4.0000 -8.4579 -8.2117 -7.3721 -6.8467 -6.4821 0.3000 1.6712
5.0000 -8.4575 -8.2094 -7.3718 -6.8454 -6.4823 0.3000 1.6712
6.0000 -8.4570 -8.2072 -7.3716 -6.8439 -6.6789 0.3000 1.6712
7.0000 -8.1540 -7.1824 -6.8920 -6.3666 -6.2423 0.3000 1.6683
8.0000 -8.1523 -7.1824 -6.8938 -6.3631 -6.2371 0.3000 1.6682
9.0000 -8.1507 -7.1841 -6.8950 -6.3570 -6.2231 0.3000 1.6678
10.0000 -8.1490 -7.1872 -7.1848 -6.8975 -6.5073 0.3000 1.6671
11.0000 -8.1034 -7.6246 -7.0854 -6.8038 -5.8965 0.3000 1.5921
12.0000 -7.9832 -7.6130 -7.2621 -6.7925 -5.9882 0.3000 1.5910
13.0000 -7.9912 -7.7131 -7.4154 -6.8760 -6.1761 0.3000 1.5785
14.0000 -7.9901 -7.8130 -7.6056 -6.9666 -6.3761 0.3000 1.5685
15.0000 -7.9871 -7.8999 -7.7246 -7.0126 -6.4562 0.3000 1.5619
16.0000 -7.9923 -7.9486 -7.7192 -7.0704 -6.4722 0.3000 1.5568
17.0000 -8.0021 -7.9673 -7.7171 -7.0890 -6.4673 0.3000 1.5521
18.0000 -7.9973 -7.9552 -7.5319 -7.1327 -6.3868 0.3000 1.5458
19.0000 -7.9997 -7.9609 -7.4009 -7.1426 -6.3054 0.3000 1.5398
20.0000 -7.9848 -7.9249 -7.3009 -7.1341 -6.2364 0.3000 1.5361
21.0000 -7.9828 -7.9045 -7.1866 -7.1324 -6.1541 0.3000 1.5325
22.0000 -7.9819 -7.8849 -7.1277 -7.0863 -6.0767 0.3000 1.5297
23.0000 -7.9815 -7.8673 -7.1213 -6.9985 -6.0112 0.3000 1.5273
24.0000 -7.9817 -7.8495 -7.1149 -6.8894 -5.9356 0.3000 1.5245
25.0000 -7.9816 -7.8303 -7.1073 -6.7759 -5.8587 0.3000 1.5221
26.0000 -7.9813 -7.8161 -7.1035 -6.6754 -5.7948 0.3000 1.5201
27.0000 -7.9816 -7.8004 -7.0988 -6.5363 -6.0005 0.3000 1.5175
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.1253
# penalization: 1.484
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 0.2, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
