# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -5.1086 -3.0855 -2.1857 -1.9404 -1.9195 0.3000 0.3752
2.0000 -5.0876 -3.0787 -2.1826 -1.9264 -1.9170 0.3000 0.3746
3.0000 -5.0149 -3.0557 -2.1723 -1.9083 -1.7966 0.3000 0.3727
4.0000 -4.9308 -3.0289 -2.1605 -1.8984 -1.6470 0.3000 0.3704
5.0000 -4.8308 -2.9972 -2.1464 -1.8870 -1.6374 0.3000 0.3674
6.0000 -4.7327 -2.9670 -2.1320 -1.8768 -1.6279 0.3000 0.3642
7.0000 -4.6964 -2.9562 -2.1266 -1.8736 -1.6246 0.3000 0.3629
8.0000 -4.6599 -2.9452 -2.1208 -1.8705 -1.6213 0.3000 0.3616
9.0000 -4.6231 -2.9353 -2.1149 -1.8679 -1.6188 0.3000 0.3602
10.0000 -4.5861 -2.9267 -2.1086 -1.8663 -1.6173 0.3000 0.3588
11.0000 -4.5788 -2.9252 -2.1072 -1.8660 -1.6171 0.3000 0.3585
12.0000 -4.5669 -2.9232 -2.1048 -1.8658 -1.6168 0.3000 0.3580
13.0000 -4.5550 -2.9218 -2.1022 -1.8658 -1.6169 0.3000 0.3575
14.0000 -4.5480 -2.9211 -2.1009 -1.8657 -1.6168 0.3000 0.3572
15.0000 -4.5422 -2.9206 -2.0997 -1.8655 -1.6167 0.3000 0.3570
16.0000 -4.5380 -2.9201 -2.0991 -1.8652 -1.6165 0.3000 0.3568
17.0000 -4.5289 -2.9189 -2.0980 -1.8644 -1.6160 0.3000 0.3566
18.0000 -4.5234 -2.9180 -2.0973 -1.8637 -1.6157 0.3000 0.3564
19.0000 -4.5137 -2.9169 -2.0961 -1.8626 -1.6155 0.3000 0.3561
20.0000 -4.5089 -2.9162 -2.0957 -1.8618 -1.6152 0.3000 0.3560
21.0000 -4.5010 -2.9149 -2.0950 -1.8604 -1.6148 0.3000 0.3558
22.0000 -4.4938 -2.9133 -2.0944 -1.8591 -1.6145 0.3000 0.3556
23.0000 -4.4824 -2.9110 -2.0932 -1.8572 -1.6142 0.3000 0.3553
24.0000 -4.4741 -2.9095 -2.0921 -1.8562 -1.6140 0.3000 0.3550
25.0000 -4.4653 -2.9078 -2.0908 -1.8552 -1.6139 0.3000 0.3547
26.0000 -4.4513 -2.9053 -2.0891 -1.8531 -1.6136 0.3000 0.3542
27.0000 -4.4461 -2.9039 -2.0886 -1.8520 -1.6133 0.3000 0.3541
28.0000 -4.4426 -2.9032 -2.0881 -1.8515 -1.6134 0.3000 0.3539
29.0000 -4.4398 -2.9020 -2.0872 -1.8514 -1.6136 0.3000 0.3537
30.0000 -4.4369 -2.8997 -2.0862 -1.8512 -1.6140 0.3000 0.3534
31.0000 -4.4364 -2.8985 -2.0858 -1.8511 -1.6142 0.3000 0.3532
32.0000 -4.4365 -2.8968 -2.0854 -1.8509 -1.6145 0.3000 0.3530
33.0000 -4.4368 -2.8949 -2.0847 -1.8508 -1.6149 0.3000 0.3528
34.0000 -4.4378 -2.8931 -2.0844 -1.8506 -1.6151 0.3000 0.3526
35.0000 -4.4403 -2.8917 -2.0845 -1.8507 -1.6152 0.3000 0.3524
36.0000 -4.4401 -2.8911 -2.0843 -1.8506 -1.6152 0.3000 0.3523
37.0000 -4.4408 -2.8898 -2.0843 -1.8505 -1.6151 0.3000 0.3521
38.0000 -4.4416 -2.8888 -2.0841 -1.8505 -1.6151 0.3000 0.3519
39.0000 -4.4438 -2.8871 -2.0838 -1.8506 -1.6152 0.3000 0.3516
40.0000 -4.4462 -2.8854 -2.0837 -1.8506 -1.6152 0.3000 0.3513
41.0000 -4.4473 -2.8848 -2.0837 -1.8506 -1.6151 0.3000 0.3512
42.0000 -4.4490 -2.8838 -2.0837 -1.8506 -1.6151 0.3000 0.3509
43.0000 -4.4501 -2.8832 -2.0835 -1.8507 -1.6151 0.3000 0.3507
44.0000 -4.4506 -2.8829 -2.0834 -1.8507 -1.6151 0.3000 0.3506
45.0000 -4.4506 -2.8826 -2.0830 -1.8507 -1.6151 0.3000 0.3504
46.0000 -4.4504 -2.8825 -2.0828 -1.8507 -1.6150 0.3000 0.3502
47.0000 -4.4508 -2.8824 -2.0825 -1.8507 -1.6150 0.3000 0.3501
48.0000 -4.4510 -2.8825 -2.0824 -1.8506 -1.6149 0.3000 0.3500
49.0000 -4.4512 -2.8825 -2.0822 -1.8506 -1.6149 0.3000 0.3498
50.0000 -4.4514 -2.8824 -2.0820 -1.8505 -1.6148 0.3000 0.3496
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.0
# penalization: 1.484
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
