# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -4.8573 -2.7600 -2.2038 -1.8436 -1.6298 0.4729 453.9662
2.0000 -5.3888 -2.3192 -1.7930 -1.5853 -1.3100 0.4556 464.8646
3.0000 -28.0196 -9.3799 -8.2606 -7.6884 -7.3269 0.3000 674.1001
4.0000 -36.6369 -4.9343 -4.3358 -4.3116 -4.0818 0.3000 462.9799
5.0000 -26.8135 -3.2248 -2.7326 -2.6280 -2.5776 0.3000 353.3396
6.0000 -25.3725 -3.5974 -1.8293 -1.2093 -0.8997 0.3000 197.7556
7.0000 -19.9052 -2.8950 -1.4833 -0.9929 -0.7523 0.3000 172.1490
8.0000 -18.7781 -2.6852 -1.3803 -0.9277 -0.7120 0.3000 165.5562
9.0000 -18.1706 -2.5846 -1.3139 -0.8881 -0.6915 0.3000 162.2541
10.0000 -18.1552 -2.5773 -1.3076 -0.8806 -0.6870 0.3000 161.7416
11.0000 -18.1386 -2.5755 -1.3044 -0.8771 -0.6847 0.3000 161.5439
12.0000 -18.1481 -2.5763 -1.2985 -0.8707 -0.6810 0.3000 161.3384
13.0000 -18.1923 -2.5802 -1.2916 -0.8631 -0.6775 0.3000 161.1554
14.0000 -18.3133 -2.5925 -1.2797 -0.8478 -0.6705 0.3000 160.7545
15.0000 -18.4245 -2.6021 -1.2726 -0.8371 -0.6650 0.3000 160.4723
16.0000 -18.5284 -2.6106 -1.2673 -0.8278 -0.6591 0.3000 160.2177
17.0000 -18.6051 -2.6221 -1.2621 -0.8157 -0.6485 0.3000 159.8361
18.0000 -18.6775 -2.6309 -1.2591 -0.8063 -0.6347 0.3000 159.4221
19.0000 -18.8767 -2.6562 -1.2573 -0.7936 -0.6106 0.3000 158.3311
20.0000 -19.1291 -2.6900 -1.2619 -0.7896 -0.6006 0.3000 157.0625
21.0000 -19.2447 -2.7090 -1.2656 -0.7888 -0.5985 0.3000 156.5259
22.0000 -19.3595 -2.7386 -1.2703 -0.7863 -0.5956 0.3000 156.0257
23.0000 -19.3588 -2.7562 -1.2723 -0.7840 -0.5942 0.3000 155.8205
24.0000 -19.3117 -2.7856 -1.2738 -0.7797 -0.5922 0.3000 155.5132
25.0000 -19.2477 -2.8190 -1.2724 -0.7747 -0.5911 0.3000 155.1716
26.0000 -19.1897 -2.8592 -1.2706 -0.7700 -0.5911 0.3000 154.7443
27.0000 -19.1461 -2.8961 -1.2668 -0.7669 -0.5926 0.3000 154.3119
28.0000 -19.1187 -2.9449 -1.2611 -0.7651 -0.5958 0.3000 153.6994
29.0000 -19.0907 -2.9723 -1.2550 -0.7652 -0.5978 0.3000 153.3084
30.0000 -19.0600 -3.0083 -1.2463 -0.7663 -0.6003 0.3000 152.8025
31.0000 -19.0410 -3.0150 -1.2436 -0.7665 -0.6007 0.3000 152.7368
32.0000 -19.0202 -3.0219 -1.2406 -0.7669 -0.6011 0.3000 152.6717
33.0000 -19.0044 -3.0252 -1.2386 -0.7670 -0.6012 0.3000 152.6381
34.0000 -18.9439 -3.0421 -1.2299 -0.7687 -0.6018 0.3000 152.4795
35.0000 -18.9128 -3.0543 -1.2244 -0.7706 -0.6021 0.3000 152.3615
36.0000 -18.8937 -3.0579 -1.2217 -0.7714 -0.6018 0.3000 152.3018
37.0000 -18.8650 -3.0613 -1.2181 -0.7723 -0.6014 0.3001 152.2124
38.0000 -18.8786 -3.0618 -1.2191 -0.7724 -0.6015 0.3000 152.2460
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.0
# penalization: 3.0
# initial densities: 0.5
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
