# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -18.2286 -3.0332 -1.2586 -0.7996 -0.6278 0.3000 159.1091
2.0000 -16.2767 -3.1461 -1.4873 -0.9222 -0.7237 0.3000 178.8172
3.0000 -14.0521 -4.9006 -1.9865 -1.4240 -1.0340 0.3000 199.2017
4.0000 -13.0057 -4.2005 -1.9613 -1.2806 -0.9816 0.3000 186.5108
5.0000 -12.9917 -3.3513 -1.6961 -1.0234 -0.8506 0.3000 176.2518
6.0000 -12.5830 -3.0463 -1.6199 -1.0102 -0.8360 0.3000 171.8832
7.0000 -12.5074 -2.9935 -1.5943 -1.0142 -0.8296 0.3000 171.1215
8.0000 -12.5159 -2.9285 -1.5544 -1.0117 -0.8301 0.3000 170.6545
9.0000 -12.5202 -2.8789 -1.5074 -1.0235 -0.8327 0.3000 170.2437
10.0000 -12.5056 -2.8586 -1.4827 -1.0415 -0.8345 0.3000 170.1215
11.0000 -12.5051 -2.8365 -1.4600 -1.0619 -0.8363 0.3000 169.9949
12.0000 -12.5008 -2.8249 -1.4515 -1.0739 -0.8368 0.3000 169.9486
13.0000 -12.5050 -2.7954 -1.4419 -1.1027 -0.8370 0.3000 169.8098
14.0000 -12.5003 -2.7874 -1.4461 -1.1106 -0.8367 0.3000 169.7967
15.0000 -12.5024 -2.7612 -1.4728 -1.1365 -0.8348 0.3000 169.7031
16.0000 -12.5002 -2.7527 -1.4903 -1.1465 -0.8347 0.3000 169.6721
17.0000 -12.5007 -2.7308 -1.5599 -1.1719 -0.8344 0.3000 169.5414
18.0000 -12.5000 -2.7246 -1.6140 -1.1801 -0.8350 0.3000 169.4764
19.0000 -12.4999 -2.7271 -1.7024 -1.1848 -0.8378 0.3000 169.4005
20.0000 -12.4997 -2.7487 -1.8265 -1.1856 -0.8453 0.3000 169.3083
21.0000 -12.5000 -2.7755 -1.8945 -1.1854 -0.8525 0.3000 169.2655
22.0000 -12.5000 -2.7975 -1.9318 -1.1860 -0.8581 0.3000 169.2426
23.0000 -12.5002 -2.8499 -1.9958 -1.1885 -0.8694 0.3000 169.2048
24.0000 -12.5002 -2.8725 -2.0198 -1.1897 -0.8738 0.3000 169.1856
25.0000 -12.5015 -2.9142 -2.0598 -1.1933 -0.8822 0.3000 169.1375
26.0000 -12.5003 -2.9046 -2.0612 -1.1930 -0.8821 0.3000 169.1140
27.0000 -12.5038 -2.8695 -2.0629 -1.1919 -0.8800 0.3000 169.0306
28.0000 -12.5059 -2.8322 -2.0682 -1.1915 -0.8796 0.3000 168.9596
29.0000 -12.5010 -2.8272 -2.0747 -1.1921 -0.8890 0.3000 168.9221
30.0000 -12.5035 -2.7866 -2.0821 -1.1913 -0.9022 0.3000 168.8081
31.0000 -12.4865 -2.7152 -2.1032 -1.1867 -0.9350 0.3005 168.1717
32.0000 -12.5010 -2.7377 -2.1201 -1.1956 -0.9483 0.3000 168.5230
33.0000 -12.5098 -2.6812 -2.1364 -1.1988 -0.9557 0.3000 168.2868
34.0000 -12.5118 -2.6411 -2.1596 -1.2062 -0.9722 0.3000 168.1642
35.0000 -12.5013 -2.6347 -2.1715 -1.2093 -0.9854 0.3000 168.1313
36.0000 -12.5005 -2.6399 -2.1785 -1.2055 -0.9899 0.3000 168.0836
37.0000 -12.5037 -2.6655 -2.1925 -1.1952 -0.9958 0.3000 168.0246
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.08
# penalization: 3.0
# initial densities: [0. 0. 0. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
