# Iteration History A0 [Pc = 1.0]					
# \lambda_1	\lambda_2	\lambda_3	\lambda_4	\lambda_5	Comp
3.88	6.84	8.56	10.23	11.58	2.98
3.50	8.14	10.52	11.90	14.40	3.05
0.67	2.01	2.28	2.45	2.58	4.43
0.51	3.82	4.35	4.38	4.62	3.04
0.70	5.85	6.90	7.18	7.32	2.32
0.74	5.24	10.31	15.60	20.97	1.30
0.95	6.52	12.72	19.00	25.08	1.13
1.00	7.03	13.67	20.34	26.50	1.09
1.04	7.30	14.36	21.25	27.29	1.07
1.04	7.32	14.43	21.43	27.46	1.06
1.04	7.33	14.46	21.51	27.56	1.06
1.04	7.32	14.53	21.67	27.71	1.06
1.04	7.31	14.61	21.86	27.85	1.06
1.03	7.28	14.74	22.26	28.14	1.06
1.02	7.25	14.83	22.54	28.37	1.05
1.02	7.23	14.89	22.79	28.63	1.05
1.01	7.20	14.95	23.13	29.09	1.05
1.01	7.17	14.99	23.40	29.73	1.05
1.00	7.10	15.01	23.78	30.90	1.04
0.99	7.01	14.95	23.90	31.42	1.03
0.98	6.96	14.91	23.92	31.53	1.03
0.97	6.89	14.85	24.00	31.68	1.02
0.97	6.85	14.83	24.07	31.75	1.02
0.98	6.77	14.81	24.20	31.86	1.02
0.98	6.69	14.83	24.36	31.92	1.02
0.98	6.60	14.85	24.50	31.92	1.02
0.99	6.51	14.89	24.60	31.84	1.01
0.99	6.41	14.96	24.66	31.67	1.01
0.99	6.35	15.03	24.66	31.56	1.01
0.99	6.27	15.14	24.62	31.43	1.00
0.99	6.26	15.17	24.62	31.41	1.00
0.99	6.24	15.21	24.60	31.39	1.00
0.99	6.24	15.23	24.60	31.38	1.00
1.00	6.20	15.34	24.55	31.35	1.00
1.00	6.18	15.41	24.48	31.34	1.00
1.00	6.17	15.44	24.46	31.35	1.00
1.00	6.16	15.49	24.43	31.37	1.00
1.00	6.16	15.48	24.43	31.37	1.00

