# Iteration History A0 [Pc = 1.0]					
# \lambda_1	\lambda_2	\lambda_3	\lambda_4	\lambda_5	Comp
0.98	1.16	1.27	1.31	1.36	2.26
0.98	1.16	1.29	1.33	1.39	2.18
0.97	1.16	1.32	1.38	1.47	1.99
0.96	1.17	1.37	1.46	1.60	1.75
0.95	1.17	1.40	1.50	1.66	1.62
0.94	1.17	1.42	1.53	1.71	1.53
0.93	1.17	1.43	1.56	1.75	1.45
0.93	1.17	1.44	1.58	1.78	1.39
0.92	1.17	1.45	1.59	1.81	1.33
0.92	1.16	1.45	1.60	1.83	1.29
0.92	1.16	1.46	1.61	1.84	1.26
0.91	1.16	1.47	1.62	1.86	1.23
0.91	1.16	1.47	1.63	1.87	1.21
0.91	1.16	1.48	1.64	1.88	1.19
0.91	1.16	1.48	1.64	1.89	1.18
0.91	1.17	1.49	1.65	1.90	1.16
0.92	1.17	1.50	1.66	1.91	1.15
0.92	1.17	1.51	1.67	1.92	1.13
0.93	1.18	1.52	1.69	1.94	1.12
0.93	1.18	1.53	1.70	1.94	1.11
0.94	1.19	1.54	1.71	1.96	1.10
0.94	1.19	1.55	1.72	1.97	1.09
0.94	1.19	1.55	1.72	1.98	1.08
0.95	1.20	1.56	1.73	1.98	1.08
0.95	1.20	1.57	1.74	1.99	1.07
0.96	1.21	1.58	1.76	2.01	1.06
0.96	1.22	1.60	1.78	2.03	1.05
0.97	1.22	1.61	1.78	2.04	1.04
0.97	1.23	1.62	1.80	2.05	1.03
0.98	1.23	1.62	1.80	2.05	1.03
0.98	1.23	1.63	1.81	2.06	1.03
0.98	1.24	1.63	1.82	2.07	1.02
0.99	1.24	1.64	1.82	2.07	1.01
0.99	1.24	1.65	1.83	2.08	1.01
0.99	1.25	1.65	1.84	2.09	1.01
1.00	1.25	1.66	1.84	2.09	1.00
1.00	1.25	1.66	1.85	2.10	1.00
