# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -3.2418 -3.0543 -2.5447 -2.2971 -2.0611 0.3000 0.4901
2.0000 -2.4374 -2.2397 -2.0471 -1.8634 -1.5729 0.3000 0.5210
3.0000 -2.1582 -1.9427 -1.7108 -1.7031 -1.6440 0.3000 0.5552
4.0000 -2.0495 -1.8465 -1.7842 -1.7637 -1.6412 0.3000 0.5586
5.0000 -2.0410 -1.8404 -1.7816 -1.7594 -1.6417 0.3000 0.5580
6.0000 -2.0407 -1.8390 -1.7699 -1.7475 -1.6438 0.3000 0.5552
7.0000 -2.0408 -1.8372 -1.7409 -1.7191 -1.6479 0.3000 0.5490
8.0000 -2.0407 -1.8366 -1.7125 -1.6919 -1.6519 0.3000 0.5435
9.0000 -2.0407 -1.8372 -1.6846 -1.6667 -1.6544 0.3000 0.5385
10.0000 -2.0407 -1.8394 -1.6636 -1.6416 -1.6257 0.3000 0.5309
11.0000 -2.0407 -1.8437 -1.6704 -1.5998 -1.5875 0.3000 0.5226
12.0000 -2.0407 -1.8481 -1.6759 -1.5709 -1.5598 0.3000 0.5166
13.0000 -2.0407 -1.8533 -1.6810 -1.5458 -1.5334 0.3000 0.5109
14.0000 -2.0407 -1.8576 -1.6844 -1.5304 -1.5161 0.3000 0.5069
15.0000 -2.0407 -1.8615 -1.6870 -1.5202 -1.5044 0.3000 0.5039
16.0000 -2.0407 -1.8646 -1.6888 -1.5127 -1.4956 0.3000 0.5018
17.0000 -2.0408 -1.8673 -1.6902 -1.5064 -1.4882 0.3000 0.5002
18.0000 -2.0407 -1.8731 -1.6930 -1.4956 -1.4750 0.3000 0.4971
19.0000 -2.0407 -1.8844 -1.6976 -1.4832 -1.4580 0.3000 0.4918
20.0000 -2.0407 -1.8910 -1.6999 -1.4798 -1.4520 0.3000 0.4893
21.0000 -2.0407 -1.8990 -1.7023 -1.4773 -1.4469 0.3000 0.4864
22.0000 -2.0407 -1.9037 -1.7037 -1.4769 -1.4453 0.3000 0.4849
23.0000 -2.0407 -1.9113 -1.7058 -1.4772 -1.4440 0.3000 0.4825
24.0000 -2.0407 -1.9209 -1.7081 -1.4791 -1.4446 0.3000 0.4799
25.0000 -2.0408 -1.9262 -1.7093 -1.4802 -1.4451 0.3000 0.4785
26.0000 -2.0407 -1.9354 -1.7111 -1.4822 -1.4462 0.3000 0.4763
27.0000 -2.0408 -1.9418 -1.7122 -1.4832 -1.4467 0.3000 0.4748
28.0000 -2.0408 -1.9465 -1.7130 -1.4840 -1.4470 0.3000 0.4738
29.0000 -2.0408 -1.9516 -1.7138 -1.4847 -1.4472 0.3000 0.4727
30.0000 -2.0408 -1.9572 -1.7148 -1.4854 -1.4475 0.3000 0.4716
31.0000 -2.0408 -1.9604 -1.7154 -1.4856 -1.4474 0.3000 0.4709
32.0000 -2.0408 -1.9669 -1.7167 -1.4865 -1.4476 0.3000 0.4696
33.0000 -2.0408 -1.9737 -1.7179 -1.4883 -1.4480 0.3000 0.4683
34.0000 -2.0408 -1.9780 -1.7186 -1.4894 -1.4484 0.3000 0.4676
35.0000 -2.0408 -1.9824 -1.7193 -1.4903 -1.4487 0.3000 0.4668
36.0000 -2.0408 -1.9856 -1.7197 -1.4906 -1.4489 0.3000 0.4663
37.0000 -2.0408 -1.9887 -1.7202 -1.4907 -1.4490 0.3000 0.4658
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.49
# penalization: 3.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
