# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -3.4021 -2.4633 -2.2721 -1.8865 -1.5660 0.5503 306.1076
2.0000 -25.7433 -6.3627 -3.3527 -3.0540 -2.8355 0.3000 673.0004
3.0000 -21.6807 -3.4955 -2.3971 -2.2848 -2.2253 0.3000 437.9667
4.0000 -22.3868 -3.3320 -1.8314 -1.6219 -1.4932 0.3000 391.7578
5.0000 -23.9062 -3.3155 -1.9918 -1.9462 -1.8867 0.3000 352.3180
6.0000 -22.1492 -4.4889 -2.1120 -1.7028 -1.4081 0.3000 223.2574
7.0000 -18.9346 -3.4565 -1.9251 -1.5601 -1.2828 0.3000 203.5265
8.0000 -17.2222 -3.1697 -1.9641 -1.3796 -1.1937 0.3000 192.4321
9.0000 -16.1757 -3.2511 -2.1178 -1.3457 -1.2874 0.3000 185.0381
10.0000 -15.3825 -3.1462 -2.0830 -1.3569 -1.3422 0.3000 181.6671
11.0000 -14.7887 -3.0195 -2.0454 -1.3950 -1.3804 0.3000 179.7261
12.0000 -14.1589 -2.8777 -1.9824 -1.4483 -1.4478 0.3000 177.4124
13.0000 -13.9181 -2.8267 -1.9167 -1.5088 -1.4707 0.3000 175.8508
14.0000 -13.9317 -2.8197 -1.8761 -1.5272 -1.4623 0.3000 175.2712
15.0000 -13.9596 -2.8163 -1.8432 -1.5352 -1.4471 0.3000 174.8152
16.0000 -13.9882 -2.8189 -1.8306 -1.5373 -1.4373 0.3000 174.5668
17.0000 -14.0693 -2.8249 -1.8172 -1.5326 -1.4247 0.3000 174.2565
18.0000 -14.1031 -2.8101 -1.8139 -1.5263 -1.4205 0.3000 174.1342
19.0000 -14.1532 -2.7884 -1.8077 -1.5068 -1.4088 0.3000 173.9795
20.0000 -14.2392 -2.7561 -1.8012 -1.4752 -1.3910 0.3000 173.7526
21.0000 -14.2943 -2.7424 -1.8010 -1.4610 -1.3840 0.3000 173.6511
22.0000 -14.3558 -2.7204 -1.7964 -1.4426 -1.3743 0.3000 173.5285
23.0000 -14.4003 -2.6979 -1.7903 -1.4251 -1.3647 0.3000 173.4207
24.0000 -14.4664 -2.6623 -1.7788 -1.3891 -1.3437 0.3000 173.2423
25.0000 -14.5350 -2.6494 -1.7770 -1.3710 -1.3332 0.3000 173.1372
26.0000 -14.6213 -2.6359 -1.7735 -1.3544 -1.3232 0.3000 173.0244
27.0000 -14.7103 -2.6218 -1.7650 -1.3382 -1.3120 0.3000 172.8917
28.0000 -14.7224 -2.6120 -1.7613 -1.3312 -1.3073 0.3000 172.8228
29.0000 -14.7389 -2.5849 -1.7524 -1.3106 -1.2916 0.3000 172.6560
30.0000 -14.7808 -2.5617 -1.7471 -1.2891 -1.2787 0.3000 172.5195
31.0000 -14.8187 -2.5442 -1.7496 -1.2680 -1.2668 0.3000 172.4172
32.0000 -14.8899 -2.5085 -1.7534 -1.2416 -1.2233 0.3000 172.2168
33.0000 -14.9320 -2.4983 -1.7517 -1.2324 -1.2078 0.3000 172.1256
34.0000 -14.9299 -2.4915 -1.7507 -1.2291 -1.2031 0.3000 172.0578
35.0000 -14.9387 -2.4856 -1.7493 -1.2259 -1.1966 0.3000 171.9682
36.0000 -14.9611 -2.4647 -1.7443 -1.2173 -1.1792 0.3000 171.7246
37.0000 -15.0014 -2.4327 -1.7334 -1.2032 -1.1452 0.3000 171.3131
38.0000 -15.0311 -2.4240 -1.7401 -1.1921 -1.1242 0.3000 171.0885
39.0000 -15.0750 -2.4179 -1.7357 -1.1880 -1.1138 0.3000 170.9419
40.0000 -15.1465 -2.4101 -1.7204 -1.1847 -1.0995 0.3000 170.7492
41.0000 -15.2049 -2.3932 -1.6963 -1.1802 -1.0777 0.3000 170.5173
42.0000 -15.2480 -2.3898 -1.6957 -1.1758 -1.0663 0.3000 170.3795
43.0000 -15.3027 -2.3829 -1.6921 -1.1698 -1.0493 0.3000 170.1547
44.0000 -15.3340 -2.3799 -1.6825 -1.1684 -1.0419 0.3000 170.0822
45.0000 -15.4381 -2.3732 -1.6457 -1.1631 -1.0141 0.3000 169.8564
46.0000 -15.5420 -2.3769 -1.6306 -1.1609 -0.9984 0.3000 169.7022
47.0000 -15.6195 -2.3742 -1.6221 -1.1596 -0.9875 0.3000 169.5871
48.0000 -15.6797 -2.3684 -1.6098 -1.1552 -0.9756 0.3000 169.4896
49.0000 -15.7496 -2.3637 -1.5923 -1.1526 -0.9618 0.3000 169.3854
50.0000 -15.8248 -2.3619 -1.5630 -1.1499 -0.9440 0.3000 169.2678
51.0000 -15.8960 -2.3635 -1.5438 -1.1477 -0.9307 0.3000 169.1613
52.0000 -16.0357 -2.3689 -1.5230 -1.1462 -0.9133 0.3000 168.9886
53.0000 -16.0836 -2.3656 -1.5079 -1.1449 -0.9062 0.3000 168.9128
54.0000 -16.1487 -2.3607 -1.4857 -1.1435 -0.8944 0.3000 168.7913
55.0000 -16.2077 -2.3565 -1.4649 -1.1410 -0.8779 0.3000 168.6761
56.0000 -16.3022 -2.3631 -1.4577 -1.1390 -0.8650 0.2999 168.6233
57.0000 -16.3091 -2.3594 -1.4455 -1.1381 -0.8556 0.3000 168.4929
58.0000 -16.4152 -2.3532 -1.3986 -1.1388 -0.8384 0.3000 168.1983
59.0000 -16.5556 -2.3512 -1.3357 -1.1400 -0.8292 0.3000 167.8068
60.0000 -16.6291 -2.3548 -1.3136 -1.1391 -0.8270 0.3000 167.6359
61.0000 -16.7219 -2.3601 -1.3040 -1.1399 -0.8248 0.3000 167.4286
62.0000 -16.8108 -2.3652 -1.2847 -1.1390 -0.8236 0.3000 167.2325
63.0000 -16.8820 -2.3707 -1.2629 -1.1347 -0.8236 0.3000 167.0841
64.0000 -16.9701 -2.3748 -1.2388 -1.1248 -0.8230 0.3000 166.9183
65.0000 -17.0271 -2.3785 -1.2327 -1.1208 -0.8216 0.3000 166.7978
66.0000 -17.0671 -2.3809 -1.2245 -1.1141 -0.8197 0.3000 166.6648
67.0000 -17.1667 -2.3873 -1.2084 -1.0955 -0.8165 0.3000 166.3313
68.0000 -17.2036 -2.3911 -1.2069 -1.0926 -0.8164 0.3000 166.2452
69.0000 -17.2648 -2.3949 -1.2031 -1.0870 -0.8161 0.3000 166.1336
70.0000 -17.3176 -2.3986 -1.1984 -1.0736 -0.8152 0.3000 166.0125
71.0000 -17.4705 -2.4094 -1.1910 -1.0338 -0.8141 0.3000 165.6713
72.0000 -17.5104 -2.4128 -1.1908 -1.0258 -0.8146 0.3000 165.6025
73.0000 -17.5704 -2.4195 -1.1912 -1.0085 -0.8150 0.3000 165.4694
74.0000 -17.6607 -2.4286 -1.1920 -0.9803 -0.8152 0.3000 165.2859
75.0000 -18.0878 -2.4595 -1.1947 -0.9287 -0.8174 0.2995 165.2489
76.0000 -18.2083 -2.4719 -1.1990 -0.9112 -0.8192 0.2994 165.2156
77.0000 -18.1415 -2.4657 -1.1955 -0.8854 -0.8175 0.3000 164.7685
78.0000 -18.1912 -2.4715 -1.1960 -0.8474 -0.8191 0.3000 164.5216
79.0000 -18.2866 -2.4853 -1.2007 -0.8223 -0.7883 0.3000 164.0920
80.0000 -18.3374 -2.4971 -1.2061 -0.8236 -0.7620 0.3000 163.8198
81.0000 -18.4243 -2.5153 -1.2141 -0.8256 -0.7621 0.3000 163.4715
82.0000 -18.4561 -2.5209 -1.2165 -0.8262 -0.7620 0.3000 163.3658
83.0000 -18.5565 -2.5398 -1.2241 -0.8279 -0.7620 0.3000 163.0111
84.0000 -18.5888 -2.5459 -1.2262 -0.8280 -0.7619 0.3000 162.9283
85.0000 -18.6409 -2.5545 -1.2290 -0.8283 -0.7619 0.3000 162.7822
86.0000 -18.7060 -2.5685 -1.2338 -0.8284 -0.7616 0.3000 162.4976
87.0000 -18.6945 -2.5720 -1.2350 -0.8275 -0.7615 0.3000 162.3841
88.0000 -18.7130 -2.5783 -1.2370 -0.8271 -0.7614 0.3000 162.2257
89.0000 -18.7769 -2.5883 -1.2409 -0.8285 -0.7614 0.3000 162.0158
90.0000 -18.8343 -2.6006 -1.2461 -0.8300 -0.7614 0.3000 161.7801
91.0000 -18.8690 -2.6149 -1.2520 -0.8311 -0.7614 0.3000 161.4940
92.0000 -18.8699 -2.6266 -1.2566 -0.8315 -0.7615 0.3001 161.2219
93.0000 -18.8657 -2.6381 -1.2619 -0.8330 -0.7617 0.3000 161.0565
94.0000 -18.6216 -2.6816 -1.2799 -0.8355 -0.7628 0.3007 159.8460
95.0000 -18.8184 -2.7019 -1.2872 -0.8396 -0.7629 0.3000 160.0000
96.0000 -18.8797 -2.7359 -1.2926 -0.8403 -0.7630 0.3000 159.2749
97.0000 -18.8923 -2.7973 -1.2991 -0.8397 -0.7633 0.3000 158.2143
98.0000 -18.8783 -2.8314 -1.3025 -0.8391 -0.7636 0.3000 157.6059
99.0000 -18.8826 -2.8739 -1.3094 -0.8406 -0.7643 0.3000 156.8445
100.0000 -18.8847 -2.9217 -1.3180 -0.8440 -0.7651 0.3000 156.1845
101.0000 -18.8335 -2.9635 -1.3166 -0.8414 -0.7653 0.3000 155.7319
102.0000 -18.7867 -2.9818 -1.3045 -0.8357 -0.7646 0.3000 155.5303
103.0000 -18.7362 -3.0105 -1.2847 -0.8278 -0.7635 0.3000 155.2014
104.0000 -18.7161 -3.0392 -1.2659 -0.8219 -0.7624 0.3000 154.8670
105.0000 -18.7132 -3.0523 -1.2562 -0.8195 -0.7618 0.3000 154.6909
106.0000 -18.7093 -3.0618 -1.2492 -0.8186 -0.7614 0.3000 154.5541
107.0000 -18.6879 -3.0682 -1.2451 -0.8199 -0.7614 0.3000 154.4548
108.0000 -18.6594 -3.0708 -1.2427 -0.8217 -0.7616 0.3000 154.3858
109.0000 -18.6461 -3.0716 -1.2416 -0.8226 -0.7616 0.3000 154.3532
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.053
# penalization: 3.0
# initial densities: 0.6
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 2000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
