# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -4.6963 -4.2287 -3.4616 -2.9870 -2.6295 0.3000 0.6234
2.0000 -4.0837 -4.0003 -3.1839 -2.7378 -2.3823 0.3000 0.6502
3.0000 -4.0164 -3.9444 -3.1406 -2.6997 -2.3466 0.3000 0.6550
4.0000 -4.0011 -3.9237 -3.1303 -2.6905 -2.3383 0.3000 0.6552
5.0000 -4.0000 -3.9216 -3.1298 -2.6902 -2.3386 0.3000 0.6531
6.0000 -4.0002 -3.9216 -3.1339 -2.6943 -2.3431 0.3000 0.6470
7.0000 -4.0003 -3.9224 -3.1381 -2.6980 -2.3478 0.3000 0.6418
8.0000 -4.0002 -3.9212 -3.1421 -2.7022 -2.3532 0.3000 0.6344
9.0000 -4.0001 -3.9202 -3.1445 -2.7049 -2.3566 0.3000 0.6295
10.0000 -4.0000 -3.9198 -3.1461 -2.7066 -2.3589 0.3000 0.6257
11.0000 -4.0000 -3.9187 -3.1478 -2.7085 -2.3612 0.3000 0.6216
12.0000 -4.0001 -3.9171 -3.1496 -2.7105 -2.3637 0.3000 0.6172
13.0000 -4.0000 -3.9160 -3.1508 -2.7119 -2.3653 0.3000 0.6144
14.0000 -4.0000 -3.9153 -3.1518 -2.7128 -2.3666 0.3000 0.6123
15.0000 -4.0000 -3.9141 -3.1533 -2.7142 -2.3686 0.3000 0.6096
16.0000 -4.0000 -3.9128 -3.1548 -2.7154 -2.3704 0.3000 0.6073
17.0000 -4.0000 -3.9117 -3.1565 -2.7165 -2.3723 0.3000 0.6052
18.0000 -4.0000 -3.9105 -3.1582 -2.7177 -2.3742 0.3000 0.6032
19.0000 -4.0000 -3.9094 -3.1598 -2.7186 -2.3761 0.3000 0.6015
20.0000 -4.0000 -3.9082 -3.1615 -2.7195 -2.3781 0.3000 0.5997
21.0000 -4.0000 -3.9071 -3.1630 -2.7203 -2.3798 0.3000 0.5983
22.0000 -4.0000 -3.9057 -3.1649 -2.7212 -2.3820 0.3000 0.5965
23.0000 -4.0000 -3.9050 -3.1666 -2.7219 -2.3839 0.3000 0.5949
24.0000 -4.0000 -3.9044 -3.1678 -2.7223 -2.3851 0.3000 0.5939
25.0000 -4.0000 -3.9036 -3.1693 -2.7228 -2.3868 0.3000 0.5926
26.0000 -4.0000 -3.9026 -3.1706 -2.7232 -2.3884 0.3000 0.5914
27.0000 -4.0000 -3.9018 -3.1717 -2.7235 -2.3897 0.3000 0.5906
28.0000 -4.0000 -3.9001 -3.1735 -2.7239 -2.3919 0.3000 0.5891
29.0000 -4.0000 -3.8989 -3.1746 -2.7241 -2.3932 0.3000 0.5882
30.0000 -4.0000 -3.8974 -3.1757 -2.7244 -2.3947 0.3000 0.5873
31.0000 -4.0000 -3.8958 -3.1766 -2.7246 -2.3961 0.3000 0.5864
32.0000 -4.0000 -3.8944 -3.1772 -2.7248 -2.3972 0.3000 0.5858
33.0000 -4.0000 -3.8932 -3.1779 -2.7249 -2.3983 0.3000 0.5852
34.0000 -4.0000 -3.8917 -3.1785 -2.7250 -2.3995 0.3000 0.5846
35.0000 -4.0000 -3.8906 -3.1789 -2.7251 -2.4003 0.3000 0.5843
36.0000 -4.0000 -3.8886 -3.1797 -2.7252 -2.4019 0.3000 0.5836
37.0000 -4.0000 -3.8865 -3.1803 -2.7254 -2.4034 0.3000 0.5829
38.0000 -4.0000 -3.8841 -3.1811 -2.7255 -2.4051 0.3000 0.5822
39.0000 -4.0000 -3.8836 -3.1813 -2.7256 -2.4057 0.3000 0.5819
40.0000 -4.0000 -3.8827 -3.1817 -2.7255 -2.4067 0.3000 0.5815
41.0000 -4.0000 -3.8818 -3.1820 -2.7255 -2.4077 0.3000 0.5810
42.0000 -4.0000 -3.8807 -3.1823 -2.7254 -2.4087 0.3000 0.5805
43.0000 -4.0000 -3.8796 -3.1827 -2.7253 -2.4099 0.3000 0.5800
44.0000 -4.0000 -3.8783 -3.1834 -2.7253 -2.4113 0.3000 0.5795
45.0000 -4.0000 -3.8770 -3.1843 -2.7253 -2.4125 0.3000 0.5790
46.0000 -4.0000 -3.8759 -3.1850 -2.7253 -2.4135 0.3000 0.5786
47.0000 -4.0000 -3.8750 -3.1854 -2.7252 -2.4142 0.3000 0.5783
48.0000 -4.0000 -3.8734 -3.1861 -2.7251 -2.4153 0.3000 0.5779
49.0000 -4.0000 -3.8721 -3.1867 -2.7250 -2.4162 0.3000 0.5775
50.0000 -4.0000 -3.8694 -3.1878 -2.7248 -2.4180 0.3000 0.5768
51.0000 -4.0000 -3.8669 -3.1891 -2.7247 -2.4196 0.3000 0.5762
52.0000 -4.0000 -3.8644 -3.1905 -2.7248 -2.4212 0.3000 0.5757
53.0000 -4.0000 -3.8630 -3.1913 -2.7248 -2.4222 0.3000 0.5754
54.0000 -4.0000 -3.8619 -3.1918 -2.7248 -2.4228 0.3000 0.5751
55.0000 -4.0000 -3.8607 -3.1922 -2.7248 -2.4234 0.3000 0.5749
56.0000 -4.0000 -3.8596 -3.1925 -2.7249 -2.4238 0.3000 0.5748
57.0000 -4.0000 -3.8574 -3.1931 -2.7250 -2.4246 0.3000 0.5744
58.0000 -4.0000 -3.8562 -3.1933 -2.7251 -2.4249 0.3000 0.5742
59.0000 -4.0000 -3.8543 -3.1938 -2.7252 -2.4255 0.3000 0.5740
60.0000 -4.0000 -3.8515 -3.1944 -2.7255 -2.4263 0.3000 0.5736
61.0000 -4.0000 -3.8492 -3.1950 -2.7257 -2.4270 0.3000 0.5733
62.0000 -4.0000 -3.8471 -3.1954 -2.7258 -2.4276 0.3000 0.5730
63.0000 -4.0000 -3.8452 -3.1956 -2.7259 -2.4280 0.3000 0.5728
64.0000 -4.0000 -3.8428 -3.1959 -2.7262 -2.4286 0.3000 0.5725
65.0000 -4.0000 -3.8395 -3.1964 -2.7267 -2.4295 0.3000 0.5722
66.0000 -4.0000 -3.8379 -3.1967 -2.7269 -2.4300 0.3000 0.5720
67.0000 -4.0000 -3.8364 -3.1969 -2.7271 -2.4305 0.3000 0.5718
68.0000 -4.0000 -3.8354 -3.1971 -2.7272 -2.4308 0.3000 0.5717
69.0000 -4.0000 -3.8339 -3.1972 -2.7273 -2.4313 0.3000 0.5715
70.0000 -4.0000 -3.8328 -3.1973 -2.7274 -2.4316 0.3000 0.5714
71.0000 -4.0000 -3.8284 -3.1978 -2.7277 -2.4329 0.3000 0.5710
72.0000 -4.0000 -3.8269 -3.1980 -2.7278 -2.4334 0.3000 0.5708
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.25
# penalization: 3.0
# initial densities: [0.3467 0.298  0.238  ... 0.     0.     0.    ]
# FEA MODEL DATA 
