# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -23.2207 -12.6423 -10.1663 -9.0928 -7.8700 0.4800 2144.8496
2.0000 -27.6703 -9.8459 -7.9355 -7.6673 -6.1735 0.4620 2181.3179
3.0000 -239.8967 -24.7640 -11.7682 -8.2004 -7.3546 0.3000 1154.6652
4.0000 -106.4144 -15.3498 -6.9129 -4.0311 -2.9214 0.3000 774.6907
5.0000 -97.9716 -14.7899 -6.3216 -3.8365 -2.8178 0.3000 758.8539
6.0000 -95.7538 -14.5493 -6.1888 -3.8110 -2.8017 0.3000 755.4936
7.0000 -94.7414 -14.4265 -6.1547 -3.8181 -2.8081 0.3000 754.8830
8.0000 -94.3038 -14.4933 -6.1301 -3.8165 -2.8103 0.3000 754.5674
9.0000 -93.3806 -14.7247 -6.0426 -3.8026 -2.8322 0.3000 753.6007
10.0000 -92.8804 -14.9486 -5.9779 -3.7842 -2.8673 0.3000 752.4065
11.0000 -92.8870 -15.0067 -5.9759 -3.7768 -2.8832 0.3000 752.1054
12.0000 -92.9279 -15.0304 -5.9783 -3.7749 -2.8901 0.3000 752.0261
13.0000 -92.9510 -15.0394 -5.9797 -3.7745 -2.8928 0.3000 752.0075
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.0
# penalization: 3.0
# initial densities: 0.5
# FEA MODEL DATA 
# material: {'Ex': 2000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
