# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -89.2095 -14.8694 -6.2424 -3.9713 -3.1086 0.3000 807.5334
2.0000 -85.7844 -14.7305 -6.5998 -4.2667 -3.4028 0.3000 868.9829
3.0000 -78.0761 -14.5938 -7.3100 -5.2589 -4.1386 0.3000 1007.1610
4.0000 -75.8978 -14.4917 -7.6633 -5.5977 -4.4108 0.3000 1049.5679
5.0000 -58.0073 -16.8970 -14.0402 -11.5690 -9.4030 0.3000 1246.8169
6.0000 -46.1979 -21.6964 -15.8033 -8.2638 -7.2057 0.3000 1084.3667
7.0000 -41.5253 -27.7576 -13.0406 -7.8238 -7.6072 0.3000 1001.8525
8.0000 -37.0456 -21.3053 -10.7851 -8.5577 -8.1919 0.3000 1005.5655
9.0000 -34.9398 -20.4483 -10.8093 -7.9686 -7.9185 0.3000 1010.7431
10.0000 -32.4550 -18.6914 -13.5210 -9.5712 -6.1294 0.3000 1047.8505
11.0000 -30.3482 -19.9272 -15.1931 -8.6262 -7.6428 0.3000 1042.8241
12.0000 -28.5743 -20.1038 -15.2682 -8.0750 -7.7366 0.3000 1057.8093
13.0000 -26.3302 -23.9384 -12.9389 -8.6453 -8.5993 0.3000 1022.3909
14.0000 -25.9401 -21.9624 -13.0441 -9.3325 -7.5024 0.3000 1040.3164
15.0000 -25.5662 -21.6932 -13.0097 -8.8504 -7.5817 0.3000 1046.2589
16.0000 -24.7661 -21.3121 -13.0341 -9.0769 -7.9007 0.3000 1062.2958
17.0000 -24.2987 -21.1192 -12.9925 -9.2273 -8.1250 0.3000 1072.4542
18.0000 -22.5655 -20.4325 -12.8241 -9.6857 -8.3766 0.3000 1115.6673
19.0000 -22.2818 -20.4858 -12.7629 -9.7475 -8.4179 0.3000 1114.1985
20.0000 -22.1224 -20.5008 -12.7327 -9.7688 -8.5184 0.3000 1110.5450
21.0000 -21.9766 -20.5157 -12.7091 -9.7862 -8.5864 0.3000 1102.0609
22.0000 -21.7688 -20.4390 -12.6860 -9.7294 -8.6179 0.3000 1099.5271
23.0000 -21.6007 -20.4003 -12.6586 -9.6446 -8.6512 0.3000 1100.7318
24.0000 -21.3115 -20.3775 -12.6135 -9.7182 -8.5428 0.3000 1106.7313
25.0000 -20.9908 -20.3678 -12.5975 -9.7652 -8.6045 0.3000 1117.5356
26.0000 -20.7920 -20.1988 -12.6005 -9.8191 -8.5736 0.3000 1125.5344
27.0000 -20.4942 -19.7726 -13.1576 -10.1630 -8.5034 0.3000 1153.3566
28.0000 -20.2045 -19.6218 -13.1083 -10.0547 -8.2312 0.3000 1152.0202
