# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.1068 -0.0747 -0.0648 -0.0622 -0.0528 0.4000 5.2623
2.0000 -0.0733 -0.0723 -0.0695 -0.0581 -0.0486 0.4000 7.3488
3.0000 -0.0744 -0.0704 -0.0675 -0.0594 -0.0466 0.4000 6.3936
4.0000 -0.0735 -0.0707 -0.0695 -0.0594 -0.0480 0.4000 5.6843
5.0000 -0.0725 -0.0698 -0.0675 -0.0593 -0.0489 0.4000 5.2744
6.0000 -0.0725 -0.0700 -0.0666 -0.0595 -0.0492 0.4000 5.0625
7.0000 -0.0725 -0.0705 -0.0660 -0.0596 -0.0495 0.4000 4.9188
8.0000 -0.0725 -0.0709 -0.0656 -0.0596 -0.0496 0.4000 4.8139
9.0000 -0.0725 -0.0714 -0.0653 -0.0597 -0.0498 0.4000 4.7323
10.0000 -0.0725 -0.0716 -0.0651 -0.0597 -0.0499 0.4000 4.6733
11.0000 -0.0725 -0.0719 -0.0649 -0.0597 -0.0500 0.4000 4.6207
12.0000 -0.0725 -0.0721 -0.0647 -0.0596 -0.0501 0.4000 4.5735
13.0000 -0.0725 -0.0722 -0.0646 -0.0596 -0.0501 0.4000 4.5542
14.0000 -0.0725 -0.0722 -0.0645 -0.0595 -0.0501 0.4000 4.5235
15.0000 -0.0725 -0.0723 -0.0644 -0.0594 -0.0501 0.4000 4.4928
16.0000 -0.0725 -0.0723 -0.0642 -0.0593 -0.0501 0.4000 4.4648
17.0000 -0.0725 -0.0724 -0.0640 -0.0592 -0.0502 0.4000 4.4341
18.0000 -0.0725 -0.0724 -0.0639 -0.0591 -0.0502 0.4000 4.4238
19.0000 -0.0725 -0.0724 -0.0637 -0.0590 -0.0502 0.4000 4.4131
20.0000 -0.0725 -0.0724 -0.0635 -0.0589 -0.0502 0.4000 4.3971
21.0000 -0.0725 -0.0725 -0.0633 -0.0589 -0.0502 0.4000 4.3797
22.0000 -0.0726 -0.0724 -0.0632 -0.0588 -0.0503 0.4000 4.3650
23.0000 -0.0725 -0.0724 -0.0630 -0.0587 -0.0503 0.4000 4.3540
24.0000 -0.0725 -0.0725 -0.0628 -0.0586 -0.0503 0.4000 4.3415
25.0000 -0.0725 -0.0725 -0.0627 -0.0584 -0.0504 0.4000 4.3288
26.0000 -0.0725 -0.0725 -0.0625 -0.0583 -0.0504 0.4000 4.3167
27.0000 -0.0725 -0.0724 -0.0624 -0.0582 -0.0504 0.4000 4.3060
# OPTIMIZATION PARAMETERS 
# nelx: 50
# nely: 50
# max buckling: 13.797
# penalization: 6.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([2549, 2651, 2753], dtype=int64)}
# bc: Left Clamped
# 
