# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.0601 -0.0593 -0.0553 -0.0511 -0.0506 0.4000 5.0373
2.0000 -0.0603 -0.0592 -0.0552 -0.0510 -0.0507 0.4000 4.9980
3.0000 -0.0603 -0.0591 -0.0551 -0.0510 -0.0507 0.4000 4.9521
4.0000 -0.0603 -0.0589 -0.0549 -0.0510 -0.0505 0.4000 4.8921
5.0000 -0.0603 -0.0588 -0.0547 -0.0510 -0.0504 0.4000 4.8598
6.0000 -0.0603 -0.0586 -0.0545 -0.0511 -0.0502 0.4000 4.8017
7.0000 -0.0603 -0.0584 -0.0544 -0.0511 -0.0501 0.4000 4.7720
8.0000 -0.0603 -0.0583 -0.0542 -0.0511 -0.0499 0.4000 4.7253
9.0000 -0.0603 -0.0581 -0.0541 -0.0511 -0.0498 0.4000 4.6926
10.0000 -0.0603 -0.0580 -0.0540 -0.0511 -0.0497 0.4000 4.6717
11.0000 -0.0603 -0.0579 -0.0539 -0.0511 -0.0496 0.4000 4.6516
12.0000 -0.0603 -0.0578 -0.0538 -0.0511 -0.0495 0.4000 4.6227
13.0000 -0.0603 -0.0576 -0.0536 -0.0511 -0.0493 0.4000 4.5869
14.0000 -0.0603 -0.0576 -0.0535 -0.0511 -0.0493 0.4000 4.5709
15.0000 -0.0603 -0.0575 -0.0535 -0.0511 -0.0492 0.4000 4.5512
16.0000 -0.0603 -0.0574 -0.0534 -0.0512 -0.0491 0.4000 4.5257
17.0000 -0.0603 -0.0573 -0.0533 -0.0512 -0.0490 0.4000 4.5031
18.0000 -0.0603 -0.0572 -0.0532 -0.0513 -0.0489 0.4000 4.4857
19.0000 -0.0603 -0.0571 -0.0531 -0.0513 -0.0488 0.4000 4.4666
20.0000 -0.0603 -0.0570 -0.0530 -0.0514 -0.0487 0.4000 4.4480
# OPTIMIZATION PARAMETERS 
# nelx: 50
# nely: 50
# max buckling: 16.593
# penalization: 6.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([2549, 2651, 2753], dtype=int64)}
# bc: Left Clamped
# 
