# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -4.1678 -3.7287 -3.5195 -3.4605 -3.3694 0.4000 283.5005
2.0000 -5.3511 -3.6477 -3.5105 -3.4368 -3.4263 0.4000 112.9110
3.0000 -0.3884 -0.2249 -0.1254 -0.1218 -0.1142 0.4000 11.1567
4.0000 -0.3615 -0.2066 -0.1105 -0.1040 -0.1003 0.4000 9.8675
5.0000 -0.3235 -0.1879 -0.1014 -0.0933 -0.0889 0.4000 8.6351
6.0000 -0.3022 -0.1770 -0.0963 -0.0890 -0.0848 0.4000 7.9801
7.0000 -0.2844 -0.1702 -0.0927 -0.0867 -0.0825 0.4000 7.5387
8.0000 -0.2762 -0.1659 -0.0903 -0.0850 -0.0809 0.4000 7.2755
9.0000 -0.2662 -0.1611 -0.0879 -0.0825 -0.0786 0.4000 6.9674
10.0000 -0.2525 -0.1566 -0.0854 -0.0805 -0.0766 0.4000 6.6533
11.0000 -0.2427 -0.1537 -0.0835 -0.0793 -0.0754 0.4000 6.4502
12.0000 -0.2394 -0.1521 -0.0828 -0.0786 -0.0746 0.4000 6.3442
13.0000 -0.2340 -0.1500 -0.0816 -0.0775 -0.0736 0.4000 6.1926
14.0000 -0.2262 -0.1476 -0.0802 -0.0763 -0.0724 0.4000 6.0121
15.0000 -0.2203 -0.1463 -0.0792 -0.0754 -0.0717 0.4000 5.9071
16.0000 -0.2130 -0.1444 -0.0780 -0.0744 -0.0708 0.4000 5.7820
17.0000 -0.2108 -0.1437 -0.0776 -0.0739 -0.0703 0.4000 5.7262
18.0000 -0.2075 -0.1425 -0.0769 -0.0728 -0.0694 0.4000 5.6232
19.0000 -0.2038 -0.1414 -0.0762 -0.0720 -0.0686 0.4000 5.5354
20.0000 -0.1997 -0.1402 -0.0755 -0.0713 -0.0679 0.4000 5.4533
21.0000 -0.1948 -0.1387 -0.0746 -0.0705 -0.0671 0.4000 5.3677
22.0000 -0.1909 -0.1374 -0.0737 -0.0700 -0.0666 0.4000 5.3039
23.0000 -0.1891 -0.1367 -0.0733 -0.0697 -0.0664 0.4000 5.2709
24.0000 -0.1875 -0.1357 -0.0728 -0.0693 -0.0659 0.4000 5.2216
25.0000 -0.1848 -0.1340 -0.0720 -0.0687 -0.0653 0.4000 5.1488
26.0000 -0.1825 -0.1330 -0.0716 -0.0682 -0.0648 0.4000 5.0973
27.0000 -0.1807 -0.1323 -0.0712 -0.0680 -0.0646 0.4000 5.0644
28.0000 -0.1778 -0.1312 -0.0706 -0.0676 -0.0642 0.4000 5.0206
29.0000 -0.1745 -0.1299 -0.0698 -0.0672 -0.0638 0.4000 4.9732
30.0000 -0.1718 -0.1287 -0.0691 -0.0669 -0.0634 0.4000 4.9310
31.0000 -0.1709 -0.1278 -0.0688 -0.0666 -0.0631 0.4000 4.9057
32.0000 -0.1698 -0.1267 -0.0684 -0.0663 -0.0628 0.4000 4.8713
33.0000 -0.1688 -0.1260 -0.0680 -0.0660 -0.0625 0.4000 4.8440
34.0000 -0.1675 -0.1250 -0.0676 -0.0656 -0.0621 0.4000 4.8066
35.0000 -0.1658 -0.1236 -0.0669 -0.0649 -0.0615 0.4000 4.7542
36.0000 -0.1649 -0.1229 -0.0666 -0.0646 -0.0612 0.4000 4.7288
37.0000 -0.1635 -0.1219 -0.0661 -0.0641 -0.0608 0.4000 4.6926
38.0000 -0.1628 -0.1215 -0.0659 -0.0639 -0.0606 0.4000 4.6774
39.0000 -0.1610 -0.1205 -0.0655 -0.0632 -0.0600 0.4000 4.6362
40.0000 -0.1600 -0.1199 -0.0652 -0.0630 -0.0598 0.4000 4.6192
41.0000 -0.1586 -0.1191 -0.0648 -0.0626 -0.0595 0.4000 4.5938
42.0000 -0.1576 -0.1184 -0.0645 -0.0623 -0.0592 0.4000 4.5740
43.0000 -0.1567 -0.1177 -0.0642 -0.0621 -0.0590 0.4000 4.5543
44.0000 -0.1564 -0.1171 -0.0640 -0.0618 -0.0587 0.4000 4.5337
45.0000 -0.1562 -0.1167 -0.0639 -0.0616 -0.0585 0.4000 4.5153
46.0000 -0.1561 -0.1162 -0.0637 -0.0613 -0.0582 0.4000 4.4981
47.0000 -0.1560 -0.1159 -0.0637 -0.0611 -0.0580 0.4000 4.4860
48.0000 -0.1559 -0.1154 -0.0635 -0.0607 -0.0576 0.4000 4.4607
# OPTIMIZATION PARAMETERS 
# nelx: 50
# nely: 50
# max buckling: 0.0
# penalization: 6.0
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([2549, 2651, 2753], dtype=int64)}
# bc: Left Clamped
# 
