# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.5126 -0.3539 -0.2277 -0.2029 -0.1931 0.4000 25.7119
2.0000 -0.4658 -0.3241 -0.2064 -0.1961 -0.1861 0.4000 30.4644
3.0000 -0.3800 -0.2715 -0.2527 -0.2393 -0.1853 0.4000 44.6223
4.0000 -0.3300 -0.2406 -0.2287 -0.2206 -0.2154 0.4000 52.9688
5.0000 -0.3049 -0.2268 -0.2240 -0.2165 -0.2071 0.4000 58.5373
6.0000 -0.2882 -0.2151 -0.2132 -0.2086 -0.2042 0.4000 63.6246
7.0000 -0.2853 -0.2132 -0.2114 -0.2092 -0.2068 0.4000 64.0008
8.0000 -0.2823 -0.2111 -0.2094 -0.2090 -0.2078 0.4000 64.5318
9.0000 -0.2741 -0.2275 -0.2063 -0.2058 -0.2053 0.4000 66.9517
10.0000 -0.2628 -0.2542 -0.2507 -0.2154 -0.2138 0.4000 87.7821
11.0000 -0.2556 -0.2486 -0.2452 -0.2380 -0.2129 0.4000 83.1133
12.0000 -0.2247 -0.2169 -0.2152 -0.2144 -0.2131 0.4000 79.2515
13.0000 -0.2131 -0.2095 -0.2080 -0.2065 -0.2013 0.4000 69.9304
14.0000 -0.2059 -0.1906 -0.1890 -0.1850 -0.1831 0.4000 56.0421
15.0000 -0.2033 -0.1894 -0.1878 -0.1839 -0.1826 0.4000 56.0612
16.0000 -0.1969 -0.1863 -0.1853 -0.1812 -0.1799 0.4000 55.8062
17.0000 -0.1861 -0.1825 -0.1812 -0.1809 -0.1806 0.4000 55.6935
18.0000 -0.1837 -0.1818 -0.1807 -0.1795 -0.1791 0.4000 55.1422
19.0000 -0.1814 -0.1797 -0.1791 -0.1785 -0.1773 0.4000 54.7306
20.0000 -0.1781 -0.1772 -0.1768 -0.1763 -0.1758 0.4000 53.9502
21.0000 -0.1828 -0.1771 -0.1744 -0.1735 -0.1719 0.4000 52.6484
22.0000 -0.1743 -0.1699 -0.1683 -0.1657 -0.1650 0.4000 48.8536
23.0000 -0.1778 -0.1664 -0.1636 -0.1628 -0.1623 0.4000 47.2452
24.0000 -0.1746 -0.1646 -0.1640 -0.1628 -0.1615 0.4000 46.9677
25.0000 -0.1661 -0.1625 -0.1621 -0.1603 -0.1603 0.4000 44.6673
26.0000 -0.1636 -0.1587 -0.1581 -0.1563 -0.1560 0.4000 43.9631
27.0000 -0.1614 -0.1606 -0.1572 -0.1559 -0.1557 0.4000 43.8223
28.0000 -0.1588 -0.1581 -0.1560 -0.1555 -0.1553 0.4000 43.5480
29.0000 -0.1577 -0.1569 -0.1565 -0.1527 -0.1503 0.4000 40.1995
30.0000 -0.1520 -0.1517 -0.1513 -0.1499 -0.1496 0.4000 39.5193
31.0000 -0.1500 -0.1488 -0.1485 -0.1482 -0.1470 0.4000 39.7524
32.0000 -0.1491 -0.1486 -0.1476 -0.1463 -0.1456 0.4000 39.5802
33.0000 -0.1477 -0.1469 -0.1459 -0.1453 -0.1448 0.4000 39.0690
34.0000 -0.1491 -0.1455 -0.1447 -0.1445 -0.1440 0.4000 38.9889
35.0000 -0.1487 -0.1452 -0.1444 -0.1441 -0.1439 0.4000 38.9921
36.0000 -0.1465 -0.1458 -0.1450 -0.1434 -0.1426 0.4000 38.8261
37.0000 -0.1467 -0.1450 -0.1441 -0.1425 -0.1423 0.4000 38.5686
38.0000 -0.1468 -0.1436 -0.1428 -0.1425 -0.1421 0.4000 38.3938
39.0000 -0.1449 -0.1428 -0.1423 -0.1417 -0.1414 0.4000 38.3575
40.0000 -0.1449 -0.1427 -0.1417 -0.1407 -0.1406 0.4000 38.2092
41.0000 -0.1416 -0.1413 -0.1408 -0.1404 -0.1400 0.4000 38.0422
42.0000 -0.1426 -0.1411 -0.1404 -0.1399 -0.1395 0.4000 37.8015
43.0000 -0.1428 -0.1403 -0.1391 -0.1388 -0.1387 0.4000 37.1683
44.0000 -0.1419 -0.1396 -0.1394 -0.1387 -0.1379 0.4000 37.0126
45.0000 -0.1400 -0.1389 -0.1383 -0.1382 -0.1379 0.4000 36.9561
46.0000 -0.1401 -0.1390 -0.1377 -0.1375 -0.1372 0.4000 37.0421
47.0000 -0.1391 -0.1381 -0.1377 -0.1368 -0.1367 0.4000 37.1878
48.0000 -0.1383 -0.1374 -0.1374 -0.1372 -0.1365 0.4000 37.1188
49.0000 -0.1381 -0.1372 -0.1368 -0.1364 -0.1363 0.4000 36.9547
50.0000 -0.1373 -0.1370 -0.1365 -0.1363 -0.1361 0.4000 36.8016
51.0000 -0.1367 -0.1366 -0.1364 -0.1363 -0.1357 0.4000 36.6198
52.0000 -0.1364 -0.1360 -0.1354 -0.1351 -0.1349 0.4000 36.8021
53.0000 -0.1361 -0.1355 -0.1352 -0.1350 -0.1349 0.4000 36.8343
54.0000 -0.1355 -0.1353 -0.1350 -0.1349 -0.1346 0.4000 36.7518
55.0000 -0.1353 -0.1351 -0.1347 -0.1344 -0.1342 0.4000 36.5824
56.0000 -0.1351 -0.1347 -0.1342 -0.1341 -0.1340 0.4000 36.3760
57.0000 -0.1347 -0.1343 -0.1340 -0.1339 -0.1338 0.4000 36.2907
58.0000 -0.1344 -0.1341 -0.1340 -0.1338 -0.1337 0.4000 36.2633
59.0000 -0.1342 -0.1339 -0.1338 -0.1337 -0.1335 0.4000 36.2266
60.0000 -0.1339 -0.1338 -0.1335 -0.1330 -0.1328 0.4000 36.0713
61.0000 -0.1338 -0.1335 -0.1333 -0.1331 -0.1328 0.4000 36.0220
62.0000 -0.1336 -0.1330 -0.1329 -0.1327 -0.1327 0.4000 36.0358
63.0000 -0.1337 -0.1329 -0.1326 -0.1325 -0.1321 0.4000 35.9007
64.0000 -0.1333 -0.1329 -0.1326 -0.1324 -0.1321 0.4000 35.7800
65.0000 -0.1331 -0.1327 -0.1324 -0.1323 -0.1321 0.4000 35.8974
66.0000 -0.1328 -0.1325 -0.1324 -0.1324 -0.1320 0.4000 35.9694
67.0000 -0.1325 -0.1323 -0.1322 -0.1321 -0.1320 0.4000 36.0292
68.0000 -0.1324 -0.1322 -0.1320 -0.1319 -0.1319 0.4000 35.9681
69.0000 -0.1321 -0.1320 -0.1319 -0.1317 -0.1316 0.4000 35.9017
70.0000 -0.1319 -0.1318 -0.1316 -0.1315 -0.1314 0.4000 35.7069
71.0000 -0.1317 -0.1315 -0.1315 -0.1312 -0.1311 0.4000 35.5314
72.0000 -0.1315 -0.1313 -0.1311 -0.1310 -0.1308 0.4000 35.4429
73.0000 -0.1313 -0.1312 -0.1311 -0.1308 -0.1307 0.4000 35.4853
74.0000 -0.1314 -0.1311 -0.1309 -0.1307 -0.1307 0.4000 35.5540
75.0000 -0.1312 -0.1310 -0.1308 -0.1306 -0.1306 0.4000 35.6467
76.0000 -0.1310 -0.1310 -0.1308 -0.1307 -0.1306 0.4000 35.6351
77.0000 -0.1310 -0.1309 -0.1307 -0.1307 -0.1306 0.4000 35.6478
78.0000 -0.1309 -0.1308 -0.1306 -0.1306 -0.1304 0.4000 35.6171
79.0000 -0.1308 -0.1307 -0.1306 -0.1305 -0.1302 0.4000 35.6591
80.0000 -0.1309 -0.1306 -0.1304 -0.1303 -0.1302 0.4000 35.6766
81.0000 -0.1308 -0.1304 -0.1303 -0.1303 -0.1301 0.4000 35.6084
82.0000 -0.1307 -0.1305 -0.1303 -0.1301 -0.1301 0.4000 35.6446
83.0000 -0.1306 -0.1304 -0.1302 -0.1301 -0.1300 0.4000 35.6992
84.0000 -0.1305 -0.1303 -0.1302 -0.1300 -0.1300 0.4000 35.6820
85.0000 -0.1304 -0.1303 -0.1301 -0.1299 -0.1299 0.4000 35.6889
86.0000 -0.1304 -0.1301 -0.1300 -0.1299 -0.1298 0.4000 35.5428
87.0000 -0.1304 -0.1301 -0.1300 -0.1299 -0.1297 0.4000 35.5406
88.0000 -0.1302 -0.1300 -0.1299 -0.1298 -0.1295 0.4000 35.5607
89.0000 -0.1302 -0.1299 -0.1298 -0.1297 -0.1295 0.4000 35.5942
90.0000 -0.1302 -0.1299 -0.1297 -0.1295 -0.1293 0.4000 35.6115
91.0000 -0.1301 -0.1298 -0.1296 -0.1295 -0.1292 0.4000 35.6187
92.0000 -0.1300 -0.1297 -0.1296 -0.1294 -0.1292 0.4000 35.7155
93.0000 -0.1299 -0.1297 -0.1295 -0.1293 -0.1292 0.4000 35.7560
94.0000 -0.1298 -0.1296 -0.1294 -0.1292 -0.1292 0.4000 35.7353
95.0000 -0.1297 -0.1295 -0.1293 -0.1291 -0.1291 0.4000 35.7275
96.0000 -0.1296 -0.1294 -0.1292 -0.1291 -0.1291 0.4000 35.7404
97.0000 -0.1295 -0.1293 -0.1291 -0.1290 -0.1289 0.4000 35.7397
98.0000 -0.1294 -0.1292 -0.1290 -0.1289 -0.1289 0.4000 35.7544
99.0000 -0.1292 -0.1291 -0.1290 -0.1289 -0.1287 0.4000 35.7815
100.0000 -0.1291 -0.1291 -0.1289 -0.1288 -0.1286 0.4000 35.8362
101.0000 -0.1291 -0.1290 -0.1288 -0.1287 -0.1287 0.4000 35.8244
102.0000 -0.1291 -0.1287 -0.1287 -0.1286 -0.1285 0.4000 35.7949
103.0000 -0.1290 -0.1286 -0.1286 -0.1285 -0.1284 0.4000 35.7818
104.0000 -0.1289 -0.1286 -0.1284 -0.1284 -0.1283 0.4000 35.7652
105.0000 -0.1288 -0.1285 -0.1284 -0.1283 -0.1282 0.4000 35.7408
106.0000 -0.1288 -0.1284 -0.1283 -0.1281 -0.1281 0.4000 35.7227
107.0000 -0.1287 -0.1284 -0.1282 -0.1280 -0.1280 0.4000 35.6464
108.0000 -0.1286 -0.1283 -0.1281 -0.1280 -0.1280 0.4000 35.6463
109.0000 -0.1286 -0.1283 -0.1281 -0.1280 -0.1279 0.4000 35.6547
110.0000 -0.1285 -0.1282 -0.1280 -0.1279 -0.1279 0.4000 35.6068
