# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -0.0861 -0.0775 -0.0775 -0.0752 -0.0734 0.4000 5.1933
2.0000 -0.0759 -0.0730 -0.0705 -0.0696 -0.0677 0.4000 5.0470
3.0000 -0.0630 -0.0610 -0.0607 -0.0569 -0.0561 0.4000 4.6790
4.0000 -0.0588 -0.0528 -0.0527 -0.0496 -0.0495 0.4000 4.4120
5.0000 -0.0569 -0.0476 -0.0474 -0.0461 -0.0452 0.4000 4.2468
6.0000 -0.0554 -0.0442 -0.0432 -0.0428 -0.0414 0.4000 4.0978
7.0000 -0.0544 -0.0432 -0.0411 -0.0400 -0.0388 0.4000 3.9923
8.0000 -0.0533 -0.0424 -0.0407 -0.0387 -0.0367 0.4000 3.8957
9.0000 -0.0527 -0.0418 -0.0406 -0.0383 -0.0358 0.4000 3.8225
10.0000 -0.0522 -0.0413 -0.0405 -0.0380 -0.0354 0.4000 3.7557
11.0000 -0.0516 -0.0406 -0.0402 -0.0377 -0.0351 0.4000 3.6800
12.0000 -0.0512 -0.0404 -0.0402 -0.0378 -0.0352 0.4000 3.6212
13.0000 -0.0510 -0.0405 -0.0400 -0.0378 -0.0351 0.4000 3.5996
14.0000 -0.0507 -0.0408 -0.0397 -0.0379 -0.0351 0.4000 3.5783
15.0000 -0.0504 -0.0411 -0.0395 -0.0381 -0.0353 0.4000 3.5560
16.0000 -0.0501 -0.0417 -0.0391 -0.0385 -0.0355 0.4000 3.5325
17.0000 -0.0497 -0.0422 -0.0389 -0.0388 -0.0358 0.4000 3.5104
18.0000 -0.0493 -0.0429 -0.0394 -0.0385 -0.0361 0.4000 3.4896
19.0000 -0.0488 -0.0436 -0.0399 -0.0381 -0.0366 0.4000 3.4690
20.0000 -0.0483 -0.0443 -0.0405 -0.0377 -0.0371 0.4000 3.4524
21.0000 -0.0478 -0.0451 -0.0411 -0.0376 -0.0372 0.4000 3.4370
22.0000 -0.0473 -0.0458 -0.0417 -0.0380 -0.0369 0.4000 3.4244
# OPTIMIZATION PARAMETERS 
# nelx: 50
# nely: 50
# max buckling: 13.797
# penalization: 1.484
# initial densities: 0.8
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 10000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([2549, 2651, 2753], dtype=int64)}
# bc: Left Clamped
# 
