# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -4.1368 -3.5256 -3.2119 -3.1164 -2.9960 0.3000 0.9126
2.0000 -4.1545 -3.5212 -3.1691 -3.0624 -2.9230 0.3000 0.8787
3.0000 -4.1993 -3.5121 -3.0777 -2.9458 -2.7636 0.3000 0.8034
4.0000 -4.2539 -3.4915 -2.9637 -2.7902 -2.5541 0.3000 0.7053
5.0000 -4.2904 -3.4838 -2.9105 -2.7098 -2.4480 0.3000 0.6537
6.0000 -4.3256 -3.4837 -2.8765 -2.6559 -2.3772 0.3000 0.6162
7.0000 -4.3584 -3.4854 -2.8489 -2.6125 -2.3213 0.3000 0.5840
8.0000 -4.3844 -3.4898 -2.8326 -2.5863 -2.2875 0.3000 0.5623
9.0000 -4.4142 -3.4960 -2.8152 -2.5592 -2.2528 0.3000 0.5384
10.0000 -4.4365 -3.5009 -2.8014 -2.5391 -2.2276 0.3000 0.5202
11.0000 -4.4495 -3.5027 -2.7891 -2.5229 -2.2085 0.3000 0.5069
12.0000 -4.4587 -3.5039 -2.7779 -2.5094 -2.1927 0.3000 0.4957
13.0000 -4.4649 -3.5050 -2.7686 -2.4990 -2.1809 0.3000 0.4870
14.0000 -4.4673 -3.5042 -2.7582 -2.4881 -2.1693 0.3000 0.4789
15.0000 -4.4633 -3.5003 -2.7493 -2.4796 -2.1609 0.3000 0.4744
16.0000 -4.4529 -3.4923 -2.7342 -2.4654 -2.1473 0.3000 0.4680
17.0000 -4.4406 -3.4833 -2.7197 -2.4519 -2.1352 0.3000 0.4629
18.0000 -4.4218 -3.4711 -2.7017 -2.4353 -2.1210 0.3000 0.4576
19.0000 -4.3979 -3.4562 -2.6811 -2.4164 -2.1052 0.3000 0.4520
20.0000 -4.3799 -3.4456 -2.6667 -2.4032 -2.0946 0.3000 0.4486
21.0000 -4.3562 -3.4313 -2.6478 -2.3856 -2.0804 0.3000 0.4440
22.0000 -4.3387 -3.4204 -2.6346 -2.3730 -2.0697 0.3000 0.4404
23.0000 -4.3229 -3.4101 -2.6228 -2.3619 -2.0606 0.3000 0.4374
24.0000 -4.3081 -3.4001 -2.6118 -2.3515 -2.0523 0.3000 0.4349
25.0000 -4.2893 -3.3877 -2.5980 -2.3386 -2.0423 0.3000 0.4321
26.0000 -4.2587 -3.3678 -2.5755 -2.3177 -2.0266 0.3000 0.4275
27.0000 -4.2228 -3.3446 -2.5493 -2.2934 -2.0086 0.3000 0.4223
28.0000 -4.2065 -3.3345 -2.5376 -2.2828 -2.0007 0.3000 0.4201
29.0000 -4.1806 -3.3193 -2.5200 -2.2663 -1.9886 0.3000 0.4165
30.0000 -4.1712 -3.3138 -2.5138 -2.2605 -1.9841 0.3000 0.4152
31.0000 -4.1596 -3.3074 -2.5065 -2.2538 -1.9789 0.3000 0.4137
32.0000 -4.1425 -3.2980 -2.4961 -2.2441 -1.9716 0.3000 0.4116
33.0000 -4.1245 -3.2875 -2.4853 -2.2343 -1.9642 0.3000 0.4095
34.0000 -4.1084 -3.2778 -2.4750 -2.2254 -1.9576 0.3000 0.4075
35.0000 -4.0943 -3.2689 -2.4657 -2.2175 -1.9519 0.3000 0.4058
36.0000 -4.0850 -3.2633 -2.4598 -2.2125 -1.9483 0.3000 0.4048
37.0000 -4.0738 -3.2563 -2.4527 -2.2065 -1.9442 0.3000 0.4036
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.0
# penalization: 3.0
# initial densities: [0.9995 1.     0.975  ... 0.     0.     0.1488]
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
