# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -3.3034 -2.7547 -2.1396 -1.9901 -1.9492 0.3000 0.4354
2.0000 -2.8163 -2.6536 -2.4564 -2.0435 -1.9039 0.3000 0.4693
3.0000 -2.7178 -2.4118 -2.3595 -2.0192 -1.8277 0.3000 0.4719
4.0000 -2.7034 -2.3706 -2.3401 -2.0147 -1.8077 0.3000 0.4714
5.0000 -2.7028 -2.3507 -2.2979 -2.0130 -1.7756 0.3000 0.4689
6.0000 -2.7039 -2.3395 -2.0984 -2.0080 -1.6851 0.3000 0.4597
7.0000 -2.7042 -2.3291 -2.0045 -1.8666 -1.6635 0.3000 0.4496
8.0000 -2.7032 -2.3219 -2.0028 -1.7100 -1.6603 0.3000 0.4430
9.0000 -2.7029 -2.3179 -2.0018 -1.6609 -1.5983 0.3000 0.4384
10.0000 -2.7028 -2.3151 -2.0009 -1.6611 -1.5023 0.3000 0.4344
11.0000 -2.7028 -2.3136 -2.0000 -1.6622 -1.4756 0.3000 0.4304
12.0000 -2.7027 -2.3131 -1.9991 -1.6634 -1.4733 0.3000 0.4271
13.0000 -2.7027 -2.3135 -1.9987 -1.6641 -1.4721 0.3000 0.4253
14.0000 -2.7027 -2.3147 -1.9985 -1.6647 -1.4707 0.3000 0.4235
15.0000 -2.7027 -2.3162 -1.9980 -1.6656 -1.4687 0.3000 0.4209
16.0000 -2.7027 -2.3183 -1.9972 -1.6664 -1.4670 0.3000 0.4181
17.0000 -2.7027 -2.3199 -1.9962 -1.6670 -1.4655 0.3000 0.4159
18.0000 -2.7027 -2.3214 -1.9953 -1.6673 -1.4642 0.3000 0.4142
19.0000 -2.7027 -2.3224 -1.9944 -1.6674 -1.4630 0.3000 0.4130
20.0000 -2.7027 -2.3235 -1.9936 -1.6673 -1.4616 0.3000 0.4116
21.0000 -2.7027 -2.3246 -1.9930 -1.6671 -1.4605 0.3000 0.4105
22.0000 -2.7027 -2.3266 -1.9922 -1.6669 -1.4594 0.3000 0.4091
23.0000 -2.7027 -2.3291 -1.9911 -1.6668 -1.4585 0.3000 0.4077
24.0000 -2.7027 -2.3313 -1.9902 -1.6667 -1.4579 0.3000 0.4065
25.0000 -2.7027 -2.3329 -1.9894 -1.6664 -1.4573 0.3000 0.4057
26.0000 -2.7027 -2.3351 -1.9884 -1.6660 -1.4566 0.3000 0.4046
27.0000 -2.7027 -2.3367 -1.9877 -1.6657 -1.4562 0.3000 0.4039
28.0000 -2.7027 -2.3383 -1.9870 -1.6652 -1.4558 0.3000 0.4031
29.0000 -2.7027 -2.3397 -1.9864 -1.6648 -1.4553 0.3000 0.4025
30.0000 -2.7027 -2.3407 -1.9859 -1.6645 -1.4549 0.3000 0.4021
31.0000 -2.7027 -2.3429 -1.9850 -1.6639 -1.4542 0.3000 0.4012
32.0000 -2.7027 -2.3446 -1.9842 -1.6635 -1.4538 0.3000 0.4006
33.0000 -2.7027 -2.3459 -1.9836 -1.6632 -1.4534 0.3000 0.4001
34.0000 -2.7027 -2.3478 -1.9827 -1.6627 -1.4529 0.3000 0.3993
35.0000 -2.7027 -2.3495 -1.9818 -1.6622 -1.4522 0.3000 0.3986
36.0000 -2.7027 -2.3506 -1.9812 -1.6620 -1.4519 0.3000 0.3982
37.0000 -2.7027 -2.3524 -1.9804 -1.6619 -1.4517 0.3000 0.3976
38.0000 -2.7027 -2.3540 -1.9796 -1.6617 -1.4514 0.3000 0.3971
39.0000 -2.7027 -2.3557 -1.9788 -1.6615 -1.4512 0.3000 0.3966
40.0000 -2.7027 -2.3577 -1.9778 -1.6613 -1.4511 0.3000 0.3961
41.0000 -2.7027 -2.3596 -1.9771 -1.6613 -1.4511 0.3000 0.3956
42.0000 -2.7027 -2.3615 -1.9765 -1.6615 -1.4513 0.3000 0.3953
43.0000 -2.7027 -2.3632 -1.9761 -1.6618 -1.4516 0.3000 0.3950
44.0000 -2.7027 -2.3647 -1.9757 -1.6621 -1.4520 0.3000 0.3948
45.0000 -2.7027 -2.3668 -1.9751 -1.6625 -1.4525 0.3000 0.3944
46.0000 -2.7027 -2.3696 -1.9743 -1.6631 -1.4531 0.3000 0.3940
47.0000 -2.7027 -2.3714 -1.9738 -1.6635 -1.4535 0.3000 0.3938
48.0000 -2.7027 -2.3733 -1.9731 -1.6640 -1.4539 0.3000 0.3935
49.0000 -2.7027 -2.3750 -1.9724 -1.6644 -1.4543 0.3000 0.3932
50.0000 -2.7027 -2.3762 -1.9719 -1.6648 -1.4545 0.3000 0.3930
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.37
# penalization: 3.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
