# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -11.7155 -8.6529 -6.3702 -5.7121 -5.3146 0.3000 0.8824
2.0000 -9.3127 -7.7472 -5.7286 -5.2274 -4.7804 0.3000 0.8094
3.0000 -7.3622 -6.5448 -4.9830 -4.5822 -4.1306 0.3000 0.7383
4.0000 -5.9317 -5.4494 -4.2847 -3.9800 -3.5581 0.3000 0.6772
5.0000 -5.7940 -5.2210 -4.1204 -3.8379 -3.4291 0.3000 0.6659
6.0000 -5.3223 -4.4224 -3.5414 -3.3311 -2.9618 0.3000 0.6249
7.0000 -5.1678 -4.1711 -3.3379 -3.1555 -2.8106 0.3000 0.6101
8.0000 -5.0529 -4.0389 -3.1895 -3.0215 -2.7193 0.3000 0.5988
9.0000 -4.8514 -3.8278 -2.9485 -2.8006 -2.5621 0.3000 0.5794
10.0000 -4.7491 -3.7341 -2.8297 -2.6844 -2.4714 0.3000 0.5688
11.0000 -4.7224 -3.6993 -2.7838 -2.6426 -2.4328 0.3000 0.5645
12.0000 -4.6491 -3.6232 -2.6815 -2.5408 -2.3321 0.3000 0.5536
13.0000 -4.5912 -3.5625 -2.6039 -2.4691 -2.2450 0.3000 0.5439
14.0000 -4.5365 -3.5100 -2.5583 -2.4225 -2.1942 0.3000 0.5382
15.0000 -4.5002 -3.4730 -2.5266 -2.3965 -2.1557 0.3000 0.5330
16.0000 -4.4618 -3.4350 -2.4957 -2.3682 -2.1205 0.3000 0.5276
17.0000 -4.4218 -3.3931 -2.4625 -2.3348 -2.0837 0.3000 0.5208
18.0000 -4.4013 -3.3683 -2.4447 -2.3116 -2.0639 0.3000 0.5159
19.0000 -4.3909 -3.3542 -2.4341 -2.2921 -2.0527 0.3000 0.5129
20.0000 -4.3844 -3.3452 -2.4247 -2.2805 -2.0457 0.3000 0.5098
21.0000 -4.3748 -3.3359 -2.4157 -2.2702 -2.0384 0.3000 0.5069
22.0000 -4.3579 -3.3226 -2.4034 -2.2595 -2.0282 0.3000 0.5026
23.0000 -4.3459 -3.3178 -2.3937 -2.2610 -2.0259 0.3000 0.4965
24.0000 -4.3403 -3.3149 -2.3896 -2.2598 -2.0243 0.3000 0.4944
25.0000 -4.3324 -3.3101 -2.3842 -2.2567 -2.0215 0.3000 0.4913
26.0000 -4.3245 -3.3043 -2.3798 -2.2509 -2.0183 0.3000 0.4881
27.0000 -4.3187 -3.3030 -2.3769 -2.2527 -2.0182 0.3000 0.4852
28.0000 -4.3094 -3.3042 -2.3741 -2.2618 -2.0212 0.3000 0.4801
29.0000 -4.3017 -3.2947 -2.3675 -2.2547 -2.0116 0.3000 0.4794
30.0000 -4.2903 -3.2792 -2.3576 -2.2434 -1.9956 0.3000 0.4785
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.0
# penalization: 1.0
# initial densities: 1.0
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 0.2, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
