# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -20.6371 -20.6275 -19.4057 -19.3952 -18.3442 0.3000 2.9659
2.0000 -14.5342 -13.2114 -13.1840 -13.1380 -12.2459 0.3000 2.3616
3.0000 -13.6678 -11.6281 -10.8298 -10.8152 -10.1702 0.3000 1.9636
4.0000 -13.5572 -10.9988 -9.4658 -9.4301 -9.1159 0.3000 1.6960
5.0000 -13.7163 -10.7003 -8.7257 -8.6344 -8.5454 0.3000 1.5074
6.0000 -13.9086 -10.4650 -8.2764 -8.1235 -8.0899 0.3000 1.3576
7.0000 -13.9829 -10.1636 -7.8647 -7.8203 -7.7773 0.3000 1.2374
8.0000 -13.9042 -9.7897 -7.6088 -7.5875 -7.3726 0.3000 1.1315
9.0000 -13.6295 -9.3063 -7.4373 -7.4054 -6.8334 0.3000 1.0229
10.0000 -13.2536 -8.8660 -7.5637 -7.5087 -6.6046 0.3000 0.9386
11.0000 -12.9276 -8.5803 -7.8866 -7.7502 -6.5765 0.3000 0.8922
12.0000 -12.6406 -8.3680 -8.0590 -7.8807 -6.6899 0.3000 0.8641
13.0000 -12.3259 -8.1543 -8.0938 -7.9026 -6.9191 0.3000 0.8395
14.0000 -11.9477 -7.9093 -7.8443 -7.7374 -6.9484 0.3000 0.8138
15.0000 -11.6115 -7.7001 -7.4724 -7.3781 -6.5604 0.3000 0.7941
16.0000 -11.2605 -7.4811 -6.9412 -6.7291 -6.5809 0.3000 0.7749
17.0000 -10.9384 -7.2783 -6.5502 -6.3164 -5.9643 0.3000 0.7583
18.0000 -10.6032 -7.0676 -6.1733 -5.5769 -5.1794 0.3000 0.7414
19.0000 -10.2889 -6.8745 -5.2093 -4.7757 -4.7556 0.3000 0.7259
20.0000 -10.0726 -6.7412 -4.6629 -4.6623 -4.6161 0.3000 0.7156
21.0000 -9.8579 -6.6082 -4.5730 -4.3364 -4.2382 0.3000 0.7057
22.0000 -9.6599 -6.4848 -4.4890 -4.1744 -3.8639 0.3000 0.6965
23.0000 -9.5129 -6.3926 -4.4268 -4.1381 -3.8244 0.3000 0.6898
24.0000 -9.3457 -6.2830 -4.3548 -4.0965 -3.7777 0.3000 0.6818
25.0000 -9.2015 -6.1881 -4.2940 -4.0605 -3.7369 0.3000 0.6748
26.0000 -9.1031 -6.1243 -4.2533 -4.0450 -3.7090 0.3000 0.6701
27.0000 -9.0186 -6.0665 -4.2175 -4.0335 -3.6836 0.3000 0.6657
28.0000 -8.9243 -6.0027 -4.1784 -4.0215 -3.6555 0.3000 0.6609
29.0000 -8.8375 -5.9447 -4.1442 -4.0106 -3.6294 0.3000 0.6566
30.0000 -8.7602 -5.8935 -4.1135 -4.0012 -3.6061 0.3000 0.6529
31.0000 -8.6634 -5.8281 -4.0744 -3.9892 -3.5760 0.3000 0.6480
32.0000 -8.6139 -5.7931 -4.0539 -3.9827 -3.5596 0.3000 0.6454
33.0000 -8.5650 -5.7590 -4.0339 -3.9759 -3.5430 0.3000 0.6429
34.0000 -8.5135 -5.7217 -4.0131 -3.9681 -3.5249 0.3000 0.6401
35.0000 -8.4777 -5.6954 -3.9989 -3.9620 -3.5122 0.3000 0.6381
36.0000 -8.4351 -5.6635 -3.9833 -3.9534 -3.4973 0.3000 0.6357
37.0000 -8.3840 -5.6254 -3.9680 -3.9396 -3.4794 0.3000 0.6329
38.0000 -8.3428 -5.5964 -3.9588 -3.9260 -3.4653 0.3000 0.6307
39.0000 -8.2936 -5.5621 -3.9509 -3.9077 -3.4484 0.3000 0.6280
40.0000 -8.2625 -5.5402 -3.9480 -3.8956 -3.4376 0.3000 0.6263
41.0000 -8.2384 -5.5233 -3.9462 -3.8861 -3.4291 0.3000 0.6248
42.0000 -8.2195 -5.5092 -3.9448 -3.8779 -3.4224 0.3000 0.6237
43.0000 -8.1980 -5.4921 -3.9433 -3.8678 -3.4142 0.3000 0.6222
44.0000 -8.1781 -5.4751 -3.9422 -3.8583 -3.4060 0.3000 0.6208
45.0000 -8.1596 -5.4596 -3.9411 -3.8496 -3.3983 0.3000 0.6196
46.0000 -8.1398 -5.4427 -3.9401 -3.8396 -3.3900 0.3000 0.6182
47.0000 -8.1086 -5.4155 -3.9385 -3.8233 -3.3772 0.3000 0.6160
48.0000 -8.0778 -5.3876 -3.9370 -3.8072 -3.3645 0.3000 0.6139
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.0
# penalization: 3.0
# initial densities: [0.6929 0.5959 0.5208 ... 0.2577 0.0394 0.5086]
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 0.2, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
