# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -5.3975 -4.3955 -3.8178 -3.0954 -2.8639 0.3000 0.6788
2.0000 -5.0119 -4.2406 -3.7820 -2.9840 -2.7870 0.3000 0.7046
3.0000 -5.0000 -4.2346 -3.7768 -2.9799 -2.7833 0.3000 0.7036
4.0000 -5.0000 -4.2321 -3.7677 -2.9786 -2.7805 0.3000 0.6984
5.0000 -5.0000 -4.2312 -3.7692 -2.9786 -2.7783 0.3000 0.6944
6.0000 -4.9999 -4.2297 -3.7717 -2.9798 -2.7750 0.3000 0.6861
7.0000 -4.9999 -4.2290 -3.7770 -2.9820 -2.7724 0.3000 0.6771
8.0000 -4.9999 -4.2285 -3.7859 -2.9850 -2.7855 0.3000 0.6670
9.0000 -5.0000 -4.2281 -3.7931 -2.9873 -2.7887 0.3000 0.6606
10.0000 -5.0000 -4.2277 -3.7960 -2.9887 -2.7774 0.3000 0.6570
11.0000 -5.0000 -4.2271 -3.7974 -2.9895 -2.7695 0.3000 0.6548
12.0000 -5.0000 -4.2259 -3.7992 -2.9903 -2.7689 0.3000 0.6520
13.0000 -5.0000 -4.2245 -3.8014 -2.9913 -2.7683 0.3000 0.6491
14.0000 -5.0000 -4.2234 -3.8024 -2.9918 -2.7678 0.3000 0.6473
15.0000 -5.0000 -4.2229 -3.8036 -2.9925 -2.7674 0.3000 0.6454
16.0000 -5.0000 -4.2222 -3.8059 -2.9937 -2.7670 0.3000 0.6424
17.0000 -5.0000 -4.2216 -3.8067 -2.9941 -2.7666 0.3000 0.6411
18.0000 -5.0000 -4.2208 -3.8073 -2.9943 -2.7660 0.3000 0.6400
19.0000 -5.0000 -4.2192 -3.8082 -2.9946 -2.7650 0.3000 0.6383
20.0000 -5.0000 -4.2172 -3.8092 -2.9947 -2.7640 0.3000 0.6364
21.0000 -5.0000 -4.2158 -3.8096 -2.9946 -2.7633 0.3000 0.6354
22.0000 -5.0000 -4.2136 -3.8102 -2.9942 -2.7622 0.3000 0.6342
23.0000 -5.0000 -4.2118 -3.8104 -2.9938 -2.7612 0.3000 0.6333
24.0000 -5.0000 -4.2089 -3.8109 -2.9930 -2.7596 0.3000 0.6318
25.0000 -5.0000 -4.2063 -3.8112 -2.9921 -2.7582 0.3000 0.6306
26.0000 -5.0000 -4.2043 -3.8114 -2.9913 -2.7572 0.3000 0.6298
27.0000 -5.0000 -4.2020 -3.8113 -2.9905 -2.7560 0.3000 0.6291
28.0000 -5.0000 -4.1988 -3.8112 -2.9892 -2.7544 0.3000 0.6281
29.0000 -5.0000 -4.1955 -3.8112 -2.9880 -2.7529 0.3000 0.6272
30.0000 -5.0000 -4.1926 -3.8111 -2.9870 -2.7515 0.3000 0.6265
31.0000 -5.0000 -4.1896 -3.8109 -2.9860 -2.7502 0.3000 0.6257
32.0000 -5.0000 -4.1871 -3.8108 -2.9851 -2.7492 0.3000 0.6251
33.0000 -5.0000 -4.1848 -3.8105 -2.9843 -2.7481 0.3000 0.6245
34.0000 -5.0000 -4.1817 -3.8100 -2.9832 -2.7468 0.3000 0.6238
35.0000 -5.0000 -4.1794 -3.8095 -2.9824 -2.7457 0.3000 0.6234
36.0000 -5.0000 -4.1770 -3.8089 -2.9814 -2.7447 0.3000 0.6230
37.0000 -5.0000 -4.1733 -3.8081 -2.9800 -2.7430 0.3000 0.6224
38.0000 -5.0000 -4.1682 -3.8071 -2.9782 -2.7408 0.3000 0.6215
39.0000 -5.0000 -4.1657 -3.8068 -2.9773 -2.7399 0.3000 0.6211
40.0000 -5.0000 -4.1623 -3.8065 -2.9762 -2.7388 0.3000 0.6206
41.0000 -5.0000 -4.1598 -3.8063 -2.9753 -2.7380 0.3000 0.6202
42.0000 -5.0000 -4.1578 -3.8061 -2.9747 -2.7374 0.3000 0.6200
43.0000 -5.0000 -4.1541 -3.8058 -2.9735 -2.7364 0.3000 0.6195
44.0000 -5.0000 -4.1507 -3.8056 -2.9724 -2.7355 0.3000 0.6191
45.0000 -5.0000 -4.1477 -3.8055 -2.9715 -2.7348 0.3000 0.6188
46.0000 -5.0000 -4.1446 -3.8052 -2.9705 -2.7340 0.3000 0.6185
47.0000 -5.0000 -4.1434 -3.8052 -2.9701 -2.7338 0.3000 0.6184
48.0000 -5.0000 -4.1416 -3.8053 -2.9697 -2.7336 0.3000 0.6181
49.0000 -5.0000 -4.1385 -3.8054 -2.9689 -2.7331 0.3000 0.6177
50.0000 -5.0000 -4.1350 -3.8054 -2.9679 -2.7326 0.3000 0.6173
51.0000 -5.0000 -4.1331 -3.8054 -2.9674 -2.7323 0.3000 0.6171
52.0000 -5.0000 -4.1290 -3.8053 -2.9662 -2.7316 0.3000 0.6166
53.0000 -5.0000 -4.1273 -3.8052 -2.9657 -2.7314 0.3000 0.6164
54.0000 -5.0000 -4.1253 -3.8049 -2.9650 -2.7310 0.3000 0.6163
55.0000 -5.0000 -4.1228 -3.8045 -2.9642 -2.7306 0.3000 0.6160
56.0000 -5.0000 -4.1204 -3.8041 -2.9633 -2.7302 0.3000 0.6158
57.0000 -5.0000 -4.1194 -3.8040 -2.9629 -2.7301 0.3000 0.6157
58.0000 -5.0000 -4.1176 -3.8039 -2.9621 -2.7298 0.3000 0.6155
59.0000 -5.0000 -4.1138 -3.8037 -2.9605 -2.7294 0.3000 0.6151
60.0000 -5.0000 -4.1093 -3.8036 -2.9588 -2.7290 0.3000 0.6147
61.0000 -5.0000 -4.1075 -3.8035 -2.9581 -2.7289 0.3000 0.6145
62.0000 -5.0000 -4.1048 -3.8033 -2.9570 -2.7286 0.3000 0.6142
63.0000 -5.0000 -4.1034 -3.8032 -2.9564 -2.7285 0.3000 0.6141
64.0000 -5.0000 -4.1019 -3.8031 -2.9559 -2.7283 0.3000 0.6140
65.0000 -5.0000 -4.1001 -3.8029 -2.9551 -2.7281 0.3000 0.6139
66.0000 -5.0000 -4.0969 -3.8025 -2.9538 -2.7277 0.3000 0.6136
67.0000 -5.0000 -4.0948 -3.8022 -2.9529 -2.7274 0.3000 0.6135
68.0000 -5.0000 -4.0934 -3.8020 -2.9522 -2.7273 0.3000 0.6134
69.0000 -5.0000 -4.0893 -3.8015 -2.9504 -2.7268 0.3000 0.6131
70.0000 -5.0000 -4.0870 -3.8013 -2.9495 -2.7267 0.3000 0.6129
71.0000 -5.0000 -4.0836 -3.8009 -2.9481 -2.7265 0.3000 0.6127
72.0000 -5.0000 -4.0815 -3.8007 -2.9474 -2.7264 0.3000 0.6125
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.2
# penalization: 3.0
# initial densities: [0.0301 0.     0.     ... 0.     0.     0.    ]
