# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -3.8505 -3.3403 -2.7499 -2.4844 -2.4210 0.3000 0.7702
2.0000 -3.4323 -3.0299 -2.9467 -2.9148 -2.7706 0.3000 0.8681
3.0000 -3.2584 -2.9866 -2.6320 -2.5876 -2.4379 0.3000 0.8681
4.0000 -3.0568 -2.8815 -2.8065 -2.7422 -2.5407 0.3000 0.9182
5.0000 -2.9772 -2.8361 -2.7883 -2.6593 -2.6323 0.3000 0.9376
6.0000 -2.9451 -2.8134 -2.7429 -2.7182 -2.6528 0.3000 0.9494
7.0000 -2.8949 -2.7942 -2.7337 -2.6986 -2.6535 0.3000 0.9607
8.0000 -2.8667 -2.7724 -2.7148 -2.6757 -2.6709 0.3000 0.9682
9.0000 -2.8182 -2.7944 -2.6649 -2.6527 -2.5979 0.3000 0.9775
10.0000 -2.8087 -2.7149 -2.6634 -2.5155 -2.4443 0.3000 0.9877
11.0000 -2.7787 -2.7179 -2.6949 -2.6112 -2.4747 0.3000 0.9872
12.0000 -2.7637 -2.7319 -2.7167 -2.5853 -2.4186 0.3000 0.9848
13.0000 -2.7535 -2.7324 -2.7258 -2.5853 -2.4225 0.3000 0.9904
14.0000 -2.7463 -2.7437 -2.7038 -2.5749 -2.4239 0.3000 0.9938
15.0000 -2.7399 -2.7365 -2.7155 -2.5593 -2.4256 0.3000 0.9974
16.0000 -2.7278 -2.7269 -2.7165 -2.5156 -2.4359 0.3000 1.0012
17.0000 -2.7122 -2.7043 -2.6935 -2.4919 -2.4377 0.3000 1.0029
18.0000 -2.7051 -2.7008 -2.6798 -2.4681 -2.4326 0.3000 1.0032
19.0000 -2.7030 -2.6993 -2.6775 -2.4679 -2.4334 0.3000 1.0036
20.0000 -2.7027 -2.6993 -2.6787 -2.4681 -2.4334 0.3000 1.0025
21.0000 -2.7028 -2.7001 -2.6839 -2.4684 -2.4343 0.3000 0.9980
22.0000 -2.7028 -2.7007 -2.6861 -2.4653 -2.4356 0.3000 0.9926
23.0000 -2.7028 -2.7012 -2.6852 -2.4612 -2.4365 0.3000 0.9880
24.0000 -2.7032 -2.7022 -2.6803 -2.4535 -2.4371 0.3000 0.9807
25.0000 -2.7028 -2.7018 -2.6751 -2.4499 -2.4346 0.3000 0.9781
26.0000 -2.7027 -2.7019 -2.6713 -2.4479 -2.4318 0.3000 0.9753
27.0000 -2.7028 -2.7022 -2.6666 -2.4465 -2.4272 0.3000 0.9723
28.0000 -2.7030 -2.7024 -2.6581 -2.4449 -2.4195 0.3000 0.9687
29.0000 -2.7028 -2.7020 -2.6509 -2.4435 -2.4145 0.3000 0.9665
30.0000 -2.7027 -2.7020 -2.6429 -2.4428 -2.4091 0.3000 0.9627
31.0000 -2.7027 -2.7022 -2.6336 -2.4424 -2.4037 0.3000 0.9586
32.0000 -2.7027 -2.7025 -2.6289 -2.4424 -2.4019 0.3000 0.9563
33.0000 -2.7031 -2.7027 -2.6231 -2.4426 -2.4002 0.3000 0.9529
34.0000 -2.7029 -2.7026 -2.6196 -2.4417 -2.3992 0.3000 0.9513
35.0000 -2.7030 -2.7025 -2.6137 -2.4419 -2.3964 0.3000 0.9474
36.0000 -2.7027 -2.7022 -2.6109 -2.4416 -2.3970 0.3000 0.9465
37.0000 -2.7027 -2.7021 -2.6063 -2.4418 -2.3969 0.3000 0.9440
38.0000 -2.7027 -2.7021 -2.6000 -2.4424 -2.3961 0.3000 0.9406
39.0000 -2.7028 -2.7023 -2.5879 -2.4437 -2.3952 0.3000 0.9341
40.0000 -2.7027 -2.7023 -2.5862 -2.4440 -2.3957 0.3000 0.9330
41.0000 -2.7027 -2.7025 -2.5841 -2.4448 -2.3971 0.3000 0.9307
42.0000 -2.7028 -2.7027 -2.5812 -2.4454 -2.3972 0.3000 0.9287
43.0000 -2.7028 -2.7026 -2.5780 -2.4457 -2.3967 0.3000 0.9267
44.0000 -2.7028 -2.7025 -2.5735 -2.4461 -2.3964 0.3000 0.9240
45.0000 -2.7027 -2.7024 -2.5712 -2.4462 -2.3964 0.3000 0.9227
46.0000 -2.7028 -2.7024 -2.5649 -2.4468 -2.3971 0.3000 0.9193
47.0000 -2.7027 -2.7023 -2.5618 -2.4470 -2.3983 0.3000 0.9179
48.0000 -2.7028 -2.7023 -2.5550 -2.4474 -2.4017 0.3000 0.9149
49.0000 -2.7028 -2.7022 -2.5468 -2.4478 -2.4057 0.3000 0.9119
50.0000 -2.7027 -2.7023 -2.5424 -2.4479 -2.4079 0.3000 0.9106
51.0000 -2.7027 -2.7024 -2.5373 -2.4481 -2.4103 0.3000 0.9092
52.0000 -2.7027 -2.7026 -2.5279 -2.4485 -2.4147 0.3000 0.9070
53.0000 -2.7028 -2.7027 -2.5171 -2.4488 -2.4194 0.3000 0.9049
54.0000 -2.7028 -2.7026 -2.5095 -2.4490 -2.4217 0.3000 0.9037
55.0000 -2.7028 -2.7026 -2.4921 -2.4482 -2.4264 0.3000 0.9009
56.0000 -2.7027 -2.7027 -2.4848 -2.4471 -2.4277 0.3000 0.8995
57.0000 -2.7029 -2.7027 -2.4784 -2.4454 -2.4263 0.3000 0.8978
58.0000 -2.7028 -2.7026 -2.4761 -2.4450 -2.4218 0.3000 0.8966
59.0000 -2.7027 -2.7026 -2.4758 -2.4458 -2.4163 0.3000 0.8954
60.0000 -2.7027 -2.7027 -2.4783 -2.4482 -2.4152 0.3000 0.8933
61.0000 -2.7027 -2.7027 -2.4808 -2.4498 -2.4167 0.3000 0.8918
62.0000 -2.7027 -2.7027 -2.4822 -2.4508 -2.4177 0.3000 0.8905
63.0000 -2.7028 -2.7027 -2.4860 -2.4526 -2.4203 0.3000 0.8881
64.0000 -2.7028 -2.7026 -2.4865 -2.4528 -2.4203 0.3000 0.8873
