# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -14.6313 -13.2262 -12.8565 -11.9116 -11.5521 0.3000 3.9407
2.0000 -14.5381 -13.0205 -12.5356 -11.4083 -10.8860 0.3000 3.4721
3.0000 -14.4674 -12.7439 -12.1457 -10.8348 -10.1470 0.3000 2.9505
4.0000 -14.4166 -12.5561 -11.8754 -10.4597 -9.7134 0.3000 2.6219
5.0000 -14.3487 -12.4363 -11.6580 -10.1730 -9.4214 0.3000 2.3927
6.0000 -14.2477 -12.3469 -11.4643 -9.9259 -9.1848 0.3000 2.2183
7.0000 -14.0956 -12.2705 -11.2942 -9.7141 -8.9971 0.3000 2.1025
8.0000 -13.8965 -12.1927 -11.1287 -9.5156 -8.8278 0.3000 2.0207
9.0000 -13.6863 -12.1199 -10.9734 -9.3401 -8.6800 0.3000 1.9656
10.0000 -13.4791 -12.0578 -10.8187 -9.1742 -8.5471 0.3000 1.9203
11.0000 -13.2791 -11.9989 -10.6876 -9.0241 -8.4097 0.3000 1.8760
12.0000 -13.1011 -11.9525 -10.5878 -8.8979 -8.2871 0.3000 1.8423
13.0000 -12.9089 -11.8974 -10.4868 -8.7502 -8.1510 0.3000 1.8081
14.0000 -12.7777 -11.8600 -10.4237 -8.6422 -8.0503 0.3000 1.7816
15.0000 -12.6668 -11.8145 -10.4085 -8.5433 -7.9489 0.3000 1.7571
16.0000 -12.5595 -11.7688 -10.3994 -8.4489 -7.8482 0.3000 1.7341
17.0000 -12.4986 -11.7439 -10.3998 -8.3935 -7.7911 0.3000 1.7219
18.0000 -12.3964 -11.6995 -10.4066 -8.2961 -7.6932 0.3000 1.7015
19.0000 -12.3235 -11.6628 -10.4135 -8.2238 -7.6210 0.3000 1.6856
20.0000 -12.2706 -11.6316 -10.4227 -8.1668 -7.5649 0.3000 1.6719
21.0000 -12.2126 -11.5926 -10.4378 -8.1014 -7.5006 0.3000 1.6556
22.0000 -12.1751 -11.5595 -10.4403 -8.0590 -7.4577 0.3000 1.6448
23.0000 -12.1341 -11.5203 -10.4409 -8.0154 -7.4097 0.3000 1.6335
24.0000 -12.1065 -11.4942 -10.4444 -7.9871 -7.3753 0.3000 1.6260
25.0000 -12.0864 -11.4752 -10.4493 -7.9622 -7.3497 0.3000 1.6205
26.0000 -12.0695 -11.4650 -10.4552 -7.9411 -7.3267 0.3000 1.6161
27.0000 -12.0480 -11.4519 -10.4644 -7.9133 -7.2957 0.3000 1.6100
28.0000 -12.0222 -11.4345 -10.4738 -7.8802 -7.2572 0.3000 1.6025
29.0000 -11.9982 -11.4193 -10.4828 -7.8512 -7.2226 0.3000 1.5954
30.0000 -11.9810 -11.4081 -10.4910 -7.8306 -7.1983 0.3000 1.5900
31.0000 -11.9734 -11.4016 -10.4962 -7.8196 -7.1853 0.3000 1.5867
32.0000 -11.9648 -11.3943 -10.5043 -7.8044 -7.1680 0.3000 1.5820
33.0000 -11.9549 -11.3837 -10.5142 -7.7861 -7.1477 0.3000 1.5760
34.0000 -11.9488 -11.3738 -10.5160 -7.7723 -7.1342 0.3000 1.5717
35.0000 -11.9418 -11.3601 -10.5122 -7.7571 -7.1206 0.3000 1.5675
36.0000 -11.9339 -11.3437 -10.5074 -7.7411 -7.1055 0.3000 1.5628
37.0000 -11.9284 -11.3322 -10.5047 -7.7330 -7.0960 0.3000 1.5599
38.0000 -11.9222 -11.3223 -10.5020 -7.7268 -7.0866 0.3000 1.5571
39.0000 -11.9173 -11.3132 -10.5002 -7.7223 -7.0777 0.3000 1.5548
40.0000 -11.9122 -11.3041 -10.4986 -7.7186 -7.0683 0.3000 1.5524
41.0000 -11.9098 -11.2984 -10.4983 -7.7167 -7.0628 0.3000 1.5510
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.0
# penalization: 3.0
# initial densities: [1.     1.     1.     ... 0.     0.     0.0026]
# FEA MODEL DATA 
# material: {'Ex': 0.2, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
