# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -8.2857 -8.0281 -7.7535 -7.5450 -6.6134 0.3000 2.3872
2.0000 -8.1634 -7.3883 -7.1499 -7.1281 -6.7516 0.3000 2.3889
3.0000 -7.6286 -7.1740 -6.7901 -6.3623 -6.1675 0.3000 2.3552
4.0000 -7.2340 -6.8930 -6.3466 -6.2123 -6.0117 0.3000 2.3129
5.0000 -7.0986 -6.5659 -6.3836 -6.3065 -6.0600 0.3000 2.2942
6.0000 -6.8491 -6.5069 -6.3993 -6.1809 -5.9779 0.3000 2.3115
7.0000 -6.6836 -6.6279 -6.4405 -6.2274 -5.8938 0.3000 2.3235
8.0000 -6.6672 -6.6526 -6.4624 -6.2201 -5.8853 0.3000 2.3178
9.0000 -6.6671 -6.6569 -6.4634 -6.2194 -5.8850 0.3000 2.3161
10.0000 -6.6670 -6.6644 -6.4640 -6.2178 -5.8837 0.3000 2.3124
11.0000 -6.6683 -6.6669 -6.4621 -6.2160 -5.8821 0.3000 2.3095
12.0000 -6.6881 -6.6796 -6.3876 -6.1629 -5.8340 0.3000 2.2398
13.0000 -6.6948 -6.6696 -6.3608 -6.1329 -5.7953 0.3000 2.2182
14.0000 -6.6693 -6.6551 -6.3468 -6.1161 -5.7765 0.3000 2.2127
15.0000 -6.6675 -6.6573 -6.3373 -6.1035 -5.7626 0.3000 2.1997
16.0000 -6.6702 -6.6608 -6.3238 -6.0857 -5.7421 0.3000 2.1808
17.0000 -6.6670 -6.6606 -6.3136 -6.0739 -5.7232 0.3000 2.1689
18.0000 -6.6702 -6.6656 -6.3041 -6.0616 -5.7014 0.3000 2.1534
19.0000 -6.6675 -6.6656 -6.3003 -6.0566 -5.6932 0.3000 2.1488
20.0000 -6.6738 -6.6672 -6.2944 -6.0464 -5.6715 0.3000 2.1335
21.0000 -6.6694 -6.6642 -6.2865 -6.0372 -5.6499 0.3000 2.1208
22.0000 -6.6683 -6.6632 -6.2834 -6.0339 -5.6408 0.3000 2.1159
23.0000 -6.6675 -6.6625 -6.2785 -6.0274 -5.6299 0.3000 2.1091
24.0000 -6.6670 -6.6645 -6.2735 -6.0204 -5.6220 0.3000 2.1024
25.0000 -6.6677 -6.6663 -6.2703 -6.0167 -5.6185 0.3000 2.0984
26.0000 -6.6670 -6.6653 -6.2625 -6.0078 -5.6115 0.3000 2.0930
27.0000 -6.6674 -6.6651 -6.2554 -5.9981 -5.6045 0.3000 2.0879
28.0000 -6.6669 -6.6652 -6.2501 -5.9936 -5.5981 0.3000 2.0852
29.0000 -6.6673 -6.6664 -6.2400 -5.9861 -5.5858 0.3000 2.0789
30.0000 -6.6676 -6.6665 -6.2337 -5.9805 -5.5806 0.3000 2.0747
31.0000 -6.6668 -6.6653 -6.2274 -5.9740 -5.5759 0.3000 2.0714
32.0000 -6.6667 -6.6655 -6.2240 -5.9706 -5.5728 0.3000 2.0691
33.0000 -6.6668 -6.6662 -6.2190 -5.9661 -5.5676 0.3000 2.0659
34.0000 -6.6683 -6.6666 -6.2113 -5.9594 -5.5599 0.3000 2.0607
35.0000 -6.6670 -6.6656 -6.2043 -5.9534 -5.5538 0.3000 2.0571
36.0000 -6.6668 -6.6659 -6.2010 -5.9498 -5.5518 0.3000 2.0555
37.0000 -6.6677 -6.6660 -6.1899 -5.9378 -5.5454 0.3000 2.0504
38.0000 -6.6667 -6.6647 -6.1811 -5.9292 -5.5402 0.3000 2.0473
39.0000 -6.6667 -6.6648 -6.1706 -5.9191 -5.5342 0.3000 2.0429
40.0000 -6.6667 -6.6654 -6.1571 -5.9072 -5.5269 0.3000 2.0376
41.0000 -6.6667 -6.6663 -6.1463 -5.8978 -5.5206 0.3000 2.0330
42.0000 -6.6679 -6.6667 -6.1352 -5.8883 -5.5138 0.3000 2.0278
43.0000 -6.6667 -6.6655 -6.1264 -5.8810 -5.5085 0.3000 2.0245
44.0000 -6.6667 -6.6661 -6.1205 -5.8764 -5.5048 0.3000 2.0221
45.0000 -6.6673 -6.6667 -6.1163 -5.8734 -5.5019 0.3000 2.0199
46.0000 -6.6670 -6.6662 -6.1118 -5.8708 -5.4980 0.3000 2.0174
47.0000 -6.6668 -6.6660 -6.1063 -5.8678 -5.4935 0.3000 2.0143
48.0000 -6.6668 -6.6661 -6.0996 -5.8638 -5.4874 0.3000 2.0104
49.0000 -6.6668 -6.6663 -6.0925 -5.8594 -5.4801 0.3000 2.0060
50.0000 -6.6668 -6.6666 -6.0865 -5.8552 -5.4737 0.3000 2.0024
51.0000 -6.6670 -6.6667 -6.0827 -5.8527 -5.4692 0.3000 2.0000
52.0000 -6.6673 -6.6666 -6.0781 -5.8495 -5.4639 0.3000 1.9969
53.0000 -6.6670 -6.6658 -6.0704 -5.8437 -5.4544 0.3000 1.9908
54.0000 -6.6669 -6.6654 -6.0657 -5.8397 -5.4478 0.3000 1.9864
55.0000 -6.6670 -6.6650 -6.0603 -5.8330 -5.4386 0.3000 1.9799
56.0000 -6.6668 -6.6647 -6.0593 -5.8310 -5.4362 0.3000 1.9776
57.0000 -6.6669 -6.6650 -6.0588 -5.8277 -5.4329 0.3000 1.9743
58.0000 -6.6668 -6.6654 -6.0591 -5.8250 -5.4305 0.3000 1.9713
59.0000 -6.6669 -6.6665 -6.0608 -5.8214 -5.4275 0.3000 1.9669
60.0000 -6.6674 -6.6668 -6.0625 -5.8192 -5.4256 0.3000 1.9641
61.0000 -6.6670 -6.6662 -6.0645 -5.8170 -5.4232 0.3000 1.9611
62.0000 -6.6667 -6.6665 -6.0655 -5.8155 -5.4220 0.3000 1.9597
63.0000 -6.6675 -6.6667 -6.0664 -5.8138 -5.4207 0.3000 1.9582
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.15
# penalization: 3.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 0.2, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
