# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -10.3676 -10.2261 -9.2360 -6.8389 -6.3685 0.3000 1.6878
2.0000 -10.0449 -9.9233 -8.9570 -6.6637 -6.3459 0.3000 1.7161
3.0000 -10.0017 -9.8771 -8.9063 -6.6376 -6.3453 0.3000 1.7100
4.0000 -10.0010 -9.8800 -8.8954 -6.6337 -6.3474 0.3000 1.6901
5.0000 -10.0003 -9.9019 -8.8911 -6.6394 -6.3519 0.3000 1.6731
6.0000 -10.0006 -9.9357 -8.8816 -6.6513 -6.3544 0.3000 1.6540
7.0000 -10.0005 -9.9618 -8.8671 -6.6620 -6.3549 0.3000 1.6406
8.0000 -10.0006 -9.9781 -8.8526 -6.6693 -6.3533 0.3000 1.6319
9.0000 -10.0031 -9.9922 -8.8259 -6.6765 -6.3520 0.3000 1.6209
10.0000 -10.0005 -9.9957 -8.8070 -6.6749 -6.3514 0.3000 1.6153
11.0000 -10.0029 -9.9992 -8.7928 -6.6751 -6.3491 0.3000 1.6104
12.0000 -10.0004 -9.9986 -8.7697 -6.6729 -6.3397 0.3000 1.6043
13.0000 -10.0029 -9.9995 -8.7566 -6.6745 -6.3274 0.3000 1.5995
14.0000 -10.0034 -9.9978 -8.7479 -6.6724 -6.3134 0.3000 1.5959
15.0000 -10.0001 -9.9935 -8.7411 -6.6688 -6.3011 0.3000 1.5941
16.0000 -9.9999 -9.9921 -8.7378 -6.6667 -6.2800 0.3000 1.5903
17.0000 -10.0000 -9.9911 -8.7370 -6.6652 -6.2629 0.3000 1.5874
18.0000 -10.0000 -9.9908 -8.7379 -6.6643 -6.2430 0.3000 1.5847
19.0000 -10.0000 -9.9911 -8.7409 -6.6633 -6.2184 0.3000 1.5816
20.0000 -10.0000 -9.9912 -8.7439 -6.6626 -6.1984 0.3000 1.5795
21.0000 -10.0001 -9.9925 -8.7489 -6.6630 -6.1746 0.3000 1.5771
22.0000 -10.0001 -9.9946 -8.7547 -6.6642 -6.1542 0.3000 1.5752
23.0000 -10.0001 -9.9965 -8.7607 -6.6649 -6.1371 0.3000 1.5738
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.1
# penalization: 3.0
# initial densities: [1. 1. 1. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 0.2, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
