# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -12.3815 -11.9731 -11.2515 -11.0532 -10.8346 0.3000 4.0055
2.0000 -10.9518 -10.7301 -10.2970 -10.1592 -9.9838 0.3000 3.8194
3.0000 -9.9176 -9.3831 -9.3288 -8.8994 -8.6538 0.3000 3.7786
4.0000 -9.3016 -9.1926 -8.8763 -8.6288 -8.5420 0.3000 3.7897
5.0000 -8.9224 -8.7951 -8.4560 -8.3489 -8.2874 0.3000 3.7768
6.0000 -8.6507 -7.7414 -7.4659 -7.2615 -7.2093 0.3000 3.4171
7.0000 -7.9382 -7.3635 -7.0907 -6.9474 -6.9276 0.3000 3.0497
8.0000 -7.4819 -6.9410 -6.8250 -6.6297 -6.5311 0.3000 2.9219
9.0000 -6.9033 -6.8826 -6.2239 -6.1882 -6.1075 0.3000 3.0432
10.0000 -6.6991 -6.5962 -6.2980 -6.0580 -5.9825 0.3000 2.9308
11.0000 -6.3683 -6.2392 -5.9303 -5.6775 -5.4000 0.3000 2.9147
12.0000 -6.2205 -6.1106 -5.7954 -5.5692 -5.4537 0.3000 2.8916
13.0000 -6.1252 -6.0137 -5.7080 -5.5440 -5.5395 0.3000 2.8991
14.0000 -5.9824 -5.9492 -5.8301 -5.6583 -5.5511 0.3000 2.9493
15.0000 -5.8999 -5.7290 -5.6498 -5.5440 -5.3177 0.3000 2.9279
16.0000 -5.7784 -5.6224 -5.5125 -5.4915 -5.2692 0.3000 2.9263
17.0000 -5.6747 -5.6572 -5.4491 -5.3324 -5.2679 0.3000 2.9172
18.0000 -5.6478 -5.5625 -5.4121 -5.3077 -5.2570 0.3000 2.8993
19.0000 -5.6130 -5.5303 -5.3931 -5.2988 -5.2364 0.3000 2.8982
20.0000 -5.5715 -5.4922 -5.3726 -5.2963 -5.2292 0.3000 2.8971
21.0000 -5.5395 -5.4616 -5.3572 -5.2850 -5.2287 0.3000 2.9029
22.0000 -5.4597 -5.3925 -5.3443 -5.2540 -5.2097 0.3000 2.8848
23.0000 -5.4466 -5.3836 -5.3349 -5.2529 -5.2298 0.3000 2.8874
24.0000 -5.4118 -5.4096 -5.3616 -5.3300 -5.2777 0.3000 2.8803
25.0000 -5.4193 -5.3940 -5.3387 -5.3115 -5.2363 0.3000 2.8904
26.0000 -5.6103 -5.3671 -5.3055 -5.2908 -5.2191 0.3000 2.9480
27.0000 -5.5444 -5.3632 -5.2892 -5.2354 -5.2110 0.3000 2.9425
28.0000 -5.4923 -5.3353 -5.2784 -5.2056 -5.1784 0.3000 2.9194
29.0000 -5.4523 -5.3104 -5.2640 -5.1978 -5.1710 0.3000 2.9040
30.0000 -5.3826 -5.2836 -5.2462 -5.1977 -5.1307 0.3000 2.8957
31.0000 -5.3094 -5.2604 -5.1043 -5.0289 -4.9612 0.3000 2.8557
32.0000 -5.2839 -5.2420 -5.1074 -5.0257 -4.9556 0.3000 2.8585
33.0000 -5.2577 -5.2231 -5.1075 -5.0333 -4.9252 0.3000 2.8508
34.0000 -5.2336 -5.2059 -5.1052 -5.0356 -4.9118 0.3000 2.8408
35.0000 -5.1975 -5.1736 -5.1073 -5.0322 -4.9097 0.3000 2.8426
36.0000 -5.1805 -5.1678 -5.1010 -5.0398 -4.9060 0.3000 2.8420
37.0000 -5.1641 -5.1426 -5.0834 -4.9891 -4.9721 0.3000 2.8219
38.0000 -5.1533 -5.1131 -5.0858 -5.0213 -4.9875 0.3000 2.8240
39.0000 -5.1284 -5.1008 -5.0973 -5.0609 -5.0053 0.3000 2.8437
40.0000 -5.1134 -5.1105 -5.0819 -5.0296 -5.0017 0.3000 2.8502
41.0000 -5.0924 -5.0848 -5.0710 -5.0359 -4.9616 0.3000 2.8769
42.0000 -5.0903 -5.0770 -5.0411 -4.9650 -4.9484 0.3000 2.8787
43.0000 -5.0850 -5.0598 -5.0256 -4.9858 -4.9372 0.3000 2.8786
44.0000 -5.0687 -5.0550 -5.0453 -4.9751 -4.9551 0.3000 2.8716
45.0000 -5.0616 -5.0523 -5.0484 -4.9743 -4.9572 0.3000 2.8706
46.0000 -5.0606 -5.0457 -5.0390 -4.9835 -4.9521 0.3000 2.8695
47.0000 -5.0507 -5.0452 -5.0413 -5.0041 -4.9459 0.3000 2.8629
48.0000 -5.0481 -5.0424 -5.0364 -5.0161 -4.9373 0.3000 2.8550
49.0000 -5.0431 -5.0340 -5.0252 -5.0081 -4.9309 0.3000 2.8559
50.0000 -5.0388 -5.0322 -5.0150 -5.0078 -4.9358 0.3000 2.8580
51.0000 -5.0362 -5.0330 -5.0149 -5.0101 -4.9365 0.3000 2.8597
52.0000 -5.0279 -5.0258 -5.0218 -4.9929 -4.9414 0.3000 2.8806
53.0000 -5.0275 -5.0256 -5.0219 -4.9942 -4.9427 0.3000 2.8839
54.0000 -5.0257 -5.0222 -5.0218 -4.9972 -4.9348 0.3000 2.8865
55.0000 -5.0169 -5.0070 -5.0052 -4.9827 -4.9264 0.3000 2.8998
56.0000 -5.0092 -4.9999 -4.9949 -4.9754 -4.9186 0.3000 2.8964
57.0000 -5.0035 -4.9959 -4.9915 -4.9782 -4.9181 0.3000 2.8876
58.0000 -5.0005 -4.9943 -4.9878 -4.9746 -4.9139 0.3000 2.8851
59.0000 -5.0000 -4.9940 -4.9875 -4.9730 -4.9122 0.3000 2.8799
60.0000 -5.0000 -4.9938 -4.9880 -4.9701 -4.9080 0.3000 2.8694
61.0000 -5.0001 -4.9943 -4.9873 -4.9635 -4.8983 0.3000 2.8524
62.0000 -4.9999 -4.9963 -4.9873 -4.9599 -4.8924 0.3000 2.8407
63.0000 -5.0000 -4.9990 -4.9866 -4.9590 -4.8874 0.3000 2.8293
64.0000 -5.0009 -4.9999 -4.9857 -4.9587 -4.8846 0.3000 2.8238
65.0000 -5.0003 -4.9995 -4.9829 -4.9587 -4.8816 0.3000 2.8165
66.0000 -5.0011 -4.9991 -4.9806 -4.9579 -4.8796 0.3000 2.8065
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.2
# penalization: 3.0
# initial densities: [1.     1.     1.     ... 0.     0.     0.0026]
# FEA MODEL DATA 
# material: {'Ex': 0.2, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
