# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -12.7729 -12.6546 -12.0464 -11.8735 -10.5266 0.3000 2.9890
2.0000 -9.4730 -9.0322 -8.4420 -8.0119 -7.8610 0.3000 3.2538
3.0000 -9.0110 -8.0818 -7.8438 -7.4744 -7.2853 0.3000 3.4485
4.0000 -8.6390 -7.8084 -7.4350 -7.2050 -7.0796 0.3000 3.6995
5.0000 -8.3270 -7.6542 -7.5213 -7.1769 -6.9857 0.3000 4.0533
6.0000 -8.0721 -7.4515 -7.3049 -7.0180 -6.9599 0.3000 4.2490
7.0000 -7.8228 -7.2544 -7.1359 -7.0978 -6.9822 0.3000 4.4423
8.0000 -7.6580 -7.1376 -7.0573 -7.0389 -7.0057 0.3000 4.4888
9.0000 -7.4746 -7.0705 -6.9570 -6.9276 -6.8642 0.3000 4.4357
10.0000 -7.3581 -6.9917 -6.9234 -6.8466 -6.8176 0.3000 4.3880
11.0000 -7.3419 -6.9779 -6.9096 -6.8344 -6.8121 0.3000 4.3924
12.0000 -7.3144 -6.9575 -6.8881 -6.8854 -6.8629 0.3000 4.3960
13.0000 -7.2027 -7.1175 -6.8421 -6.7880 -6.7308 0.3000 4.4794
14.0000 -7.0276 -6.5943 -6.4972 -6.4213 -6.3462 0.3000 4.4348
15.0000 -6.7705 -6.5171 -6.2583 -6.2017 -6.1549 0.3000 4.3118
16.0000 -6.7521 -6.5008 -6.2633 -6.1921 -6.1845 0.3000 4.3171
17.0000 -6.6617 -6.4254 -6.1907 -6.1360 -6.1165 0.3000 4.3720
18.0000 -6.5841 -6.3509 -6.2224 -6.1183 -6.1064 0.3000 4.3405
19.0000 -6.5357 -6.2744 -6.1628 -6.0694 -6.0638 0.3000 4.3813
20.0000 -6.5183 -6.2565 -6.1472 -6.0537 -6.0438 0.3000 4.3693
21.0000 -6.4794 -6.1900 -6.1059 -6.0539 -6.0019 0.3000 4.2519
22.0000 -6.4741 -6.1857 -6.0924 -6.0498 -5.9981 0.3000 4.2453
23.0000 -6.4631 -6.1765 -6.0836 -6.0352 -6.0168 0.3000 4.2426
24.0000 -6.3952 -6.1263 -6.0474 -6.0036 -5.9835 0.3000 4.2315
25.0000 -6.3350 -6.1174 -6.0312 -6.0081 -5.9773 0.3000 4.1501
26.0000 -6.1854 -6.1210 -6.0733 -6.0011 -5.9420 0.3000 4.2001
27.0000 -6.1325 -6.0928 -5.9734 -5.9123 -5.8477 0.3000 4.1260
28.0000 -6.0844 -6.0116 -5.9194 -5.8335 -5.8222 0.3000 3.9912
29.0000 -6.0621 -5.9986 -5.9102 -5.8392 -5.8339 0.3000 3.9357
30.0000 -6.0671 -5.9712 -5.8792 -5.8309 -5.7656 0.3000 3.8343
31.0000 -6.0279 -5.9186 -5.8369 -5.8330 -5.7305 0.3000 3.8827
