# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -1.5827 -1.5080 -1.3297 -1.3025 -1.2479 0.3826 0.4459
2.0000 -1.6417 -1.5721 -1.4169 -1.4097 -1.3856 0.3434 0.5033
3.0000 -1.6446 -1.5817 -1.5161 -1.5108 -1.4736 0.3288 0.5279
4.0000 -1.6444 -1.5925 -1.5702 -1.5697 -1.5348 0.3195 0.5443
5.0000 -1.6439 -1.6105 -1.6050 -1.6005 -1.5817 0.3129 0.5558
6.0000 -1.6435 -1.6297 -1.6272 -1.6133 -1.6063 0.3083 0.5636
7.0000 -1.6442 -1.6406 -1.6398 -1.6275 -1.6225 0.3050 0.5685
8.0000 -1.6429 -1.6407 -1.6224 -1.6020 -1.5986 0.3000 0.5668
9.0000 -1.6334 -1.6275 -1.6080 -1.5907 -1.5606 0.3000 0.5520
10.0000 -1.6293 -1.6085 -1.6042 -1.5799 -1.5311 0.3000 0.5325
11.0000 -1.6479 -1.5977 -1.5758 -1.5533 -1.5103 0.3000 0.5159
12.0000 -1.6411 -1.5865 -1.5552 -1.5369 -1.4881 0.3000 0.5036
13.0000 -1.6402 -1.5807 -1.5340 -1.5185 -1.4702 0.3000 0.4942
14.0000 -1.6400 -1.5784 -1.5131 -1.5005 -1.4553 0.3000 0.4867
15.0000 -1.6399 -1.5789 -1.4913 -1.4821 -1.4470 0.3000 0.4800
16.0000 -1.6397 -1.5815 -1.4718 -1.4664 -1.4445 0.3000 0.4748
17.0000 -1.6395 -1.5851 -1.4617 -1.4532 -1.4398 0.3000 0.4712
18.0000 -1.6394 -1.5884 -1.4599 -1.4437 -1.4335 0.3000 0.4696
19.0000 -1.6395 -1.5973 -1.4612 -1.4219 -1.4156 0.3000 0.4663
20.0000 -1.6396 -1.6114 -1.4666 -1.3963 -1.3882 0.3000 0.4619
21.0000 -1.6399 -1.6299 -1.4746 -1.3777 -1.3565 0.3000 0.4572
22.0000 -1.6532 -1.6398 -1.4845 -1.3685 -1.3288 0.3000 0.4522
# OPTIMIZATION PARAMETERS 
# nelx: 30
# nely: 60
# max buckling: 0.61
# penalization: 1.484
# initial densities: 1.0
# FEA MODEL DATA 
# material: {'Ex': 1, 'Ey': 1, 'NUxy': 0.3}
# loads: {'Val': 0.005, 'direction': 'x', 'dof': array([1859, 1921, 1983], dtype=int64)}
# bc: Left Clamped
# 
