# it, buckling[l1, l2, l3, l4, l5], volume, compliance
1.0000 -17.8491 -3.0908 -1.3839 -1.0447 -0.9406 0.3000 172.0404
2.0000 -17.0872 -3.1874 -1.5802 -1.3392 -1.0888 0.3000 192.1001
3.0000 -16.4122 -3.4349 -1.8299 -1.7516 -1.3338 0.3000 216.8315
4.0000 -15.9199 -3.6412 -2.0212 -2.0134 -1.5000 0.3000 234.8490
5.0000 -15.5194 -3.8419 -2.3512 -2.1473 -1.6892 0.3000 251.2110
6.0000 -15.1664 -4.0031 -2.4254 -2.2810 -1.7626 0.3000 266.4271
7.0000 -14.8670 -4.2193 -3.0390 -2.5536 -2.0891 0.3000 284.4687
8.0000 -10.9697 -7.6684 -3.6876 -3.2458 -2.0030 0.3000 189.8081
9.0000 -9.0235 -7.6221 -2.8301 -2.5825 -2.2411 0.3000 206.1161
10.0000 -8.6926 -7.2382 -2.5771 -2.4630 -2.2352 0.3000 208.7479
11.0000 -8.3811 -7.5257 -2.8664 -2.6311 -2.0255 0.3000 210.2846
12.0000 -7.6605 -7.4829 -2.9181 -2.6281 -1.7978 0.3000 209.0638
13.0000 -7.6422 -7.4915 -2.9581 -2.6856 -1.7730 0.3000 205.3542
14.0000 -7.6340 -7.4684 -2.9605 -2.7122 -1.7588 0.3000 203.4167
15.0000 -7.6230 -7.4451 -2.9560 -2.7337 -1.7386 0.3000 200.8707
16.0000 -7.6023 -7.4190 -2.9478 -2.7608 -1.6990 0.3000 196.5076
17.0000 -7.5595 -7.3172 -2.9494 -2.7812 -1.6594 0.3000 191.3817
18.0000 -7.5233 -7.2595 -2.9595 -2.7888 -1.6599 0.3000 190.4858
19.0000 -7.5214 -7.2375 -2.9648 -2.7936 -1.6614 0.3000 189.8059
20.0000 -7.5225 -7.2258 -2.9659 -2.7971 -1.6625 0.3000 189.2782
21.0000 -7.5258 -7.2078 -2.9699 -2.8062 -1.6625 0.3000 188.4265
22.0000 -7.5504 -7.1576 -2.9951 -2.8443 -1.6633 0.3000 186.0525
23.0000 -7.5205 -7.1390 -3.0049 -2.8516 -1.6572 0.3000 186.1190
24.0000 -7.5202 -7.1456 -3.0153 -2.8694 -1.6587 0.3000 185.9984
25.0000 -7.5261 -7.1886 -3.0415 -2.9112 -1.6566 0.3000 185.7763
26.0000 -7.5200 -7.2082 -3.0425 -2.9181 -1.6528 0.3000 185.7612
27.0000 -7.5193 -7.2437 -3.0450 -2.9260 -1.6548 0.3000 185.7172
28.0000 -7.5192 -7.2822 -3.0511 -2.9338 -1.6592 0.3000 185.6838
29.0000 -7.5191 -7.3094 -3.0580 -2.9404 -1.6636 0.3000 185.6705
# OPTIMIZATION PARAMETERS 
# nelx: 60
# nely: 30
# max buckling: 0.133
# penalization: 3.0
# initial densities: [0. 0. 0. ... 0. 0. 0.]
# FEA MODEL DATA 
# material: {'Ex': 10000.0, 'Ey': 2000.0, 'NUxy': 0.3}
# loads: {'Val': -10, 'direction': 'x', 'dof': array([1828, 1950, 2072], dtype=int64)}
# bc: Left Clamped
# 
